1861
qstr_French_Second_Republ French_Second_Republic
qstr_France France
qstr_faction_flag_france faction_flag_france
qstr_faction_color_france faction_color_france
qstr_French French
qstr_Kingdom_of_Belgium Kingdom_of_Belgium
qstr_Belgium Belgium
qstr_faction_flag_belgium faction_flag_belgium
qstr_faction_color_belgiu faction_color_belgium
qstr_Belgian Belgian
qstr_Kingdom_of_Netherlan Kingdom_of_Netherlands
qstr_Netherlands Netherlands
qstr_faction_flag_netherl faction_flag_netherlands
qstr_faction_color_nether faction_color_netherlands
qstr_Dutch Dutch
qstr_United_Kingdom_of_Gr United_Kingdom_of_Great_Britain_and_Ireland
qstr_Britain Britain
qstr_faction_flag_britain faction_flag_britain
qstr_faction_color_britai faction_color_britain
qstr_British British
qstr_Swiss_Confederation Swiss_Confederation
qstr_Switzerland Switzerland
qstr_faction_flag_switzer faction_flag_switzerland
qstr_faction_color_switze faction_color_switzerland
qstr_Swiss Swiss
qstr_Duchy_of_Luxembourg Duchy_of_Luxembourg
qstr_Luxembourg Luxembourg
qstr_faction_flag_luxembo faction_flag_luxembourg
qstr_faction_color_luxemb faction_color_luxembourg
qstr_Luxembourgish Luxembourgish
qstr_Kingdom_of_Spain Kingdom_of_Spain
qstr_Spain Spain
qstr_faction_flag_spain faction_flag_spain
qstr_faction_color_spain faction_color_spain
qstr_Spanish Spanish
qstr_Kingdom_of_Portugal Kingdom_of_Portugal
qstr_Portugal Portugal
qstr_faction_flag_portuga faction_flag_portugal
qstr_faction_color_portug faction_color_portugal
qstr_Portuguese Portuguese
qstr_Kingdom_of_Sardinia Kingdom_of_Sardinia
qstr_Sardinia Sardinia
qstr_faction_flag_italy faction_flag_italy
qstr_faction_color_italy faction_color_italy
qstr_Sardinian Sardinian
qstr_Austrian_Empire Austrian_Empire
qstr_Austria Austria
qstr_faction_flag_austria faction_flag_austria
qstr_faction_color_austri faction_color_austria
qstr_Austrian Austrian
qstr_State_of_the_Church State_of_the_Church
qstr_Papal_Sates Papal_Sates
qstr_faction_flag_papal faction_flag_papal
qstr_faction_color_papal faction_color_papal
qstr_Papal Papal
qstr_Duchy_of_Parma_and_P Duchy_of_Parma_and_Piacenza
qstr_Parma Parma
qstr_faction_flag_parma faction_flag_parma
qstr_faction_color_parma faction_color_parma
qstr_Parmese Parmese
qstr_Grand_Duchy_of_Tusca Grand_Duchy_of_Tuscany
qstr_Tuscany Tuscany
qstr_faction_flag_tuscany faction_flag_tuscany
qstr_faction_color_tuscan faction_color_tuscany
qstr_Tuscan Tuscan
qstr_Kingdom_of_Two_Sicil Kingdom_of_Two_Sicilies
qstr_Two_Sicilies Two_Sicilies
qstr_faction_flag_sicily faction_flag_sicily
qstr_faction_color_sicily faction_color_sicily
qstr_Bourbon Bourbon
qstr_Kingdom_of_Prussia Kingdom_of_Prussia
qstr_Prussia Prussia
qstr_faction_flag_prussia faction_flag_prussia
qstr_faction_color_prussi faction_color_prussia
qstr_Prussian Prussian
qstr_Kingdom_of_Bavaria Kingdom_of_Bavaria
qstr_Bavaria Bavaria
qstr_faction_flag_bavaria faction_flag_bavaria
qstr_faction_color_bavari faction_color_bavaria
qstr_Bavarian Bavarian
qstr_Kingdom_of_Hanover Kingdom_of_Hanover
qstr_Hanover Hanover
qstr_faction_flag_hanover faction_flag_hanover
qstr_faction_color_hanove faction_color_hanover
qstr_Hanoveranian Hanoveranian
qstr_Kingdom_of_Saxony Kingdom_of_Saxony
qstr_Saxony Saxony
