stringsfile version 1
1418
str_no_string NO_STRING!
str_empty_string _
str_yes Yes.
str_no No.
str_blank_string _
str_error_string {!}ERROR!!!ERROR!!!!ERROR!!!ERROR!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!ERROR!!!ERROR!!!!!
str_noone no_one
str_s0 {!}{s0}
str_blank_s1 {!}_{s1}
str_reg1 {!}{reg1}
str_s50_comma_s51 {!}{s50},_{s51}
str_s50_and_s51 {s50}_and_{s51}
str_s52_comma_s51 {!}{s52},_{s51}
str_s52_and_s51 {s52}_and_{s51}
str_s5_s_party {s5}'s_Party
str_msg_battle_won Battle_won!_Press_tab_key_to_leave...
str_randomize Randomize
str_hold_fire Hold_Fire
str_blunt_hold_fire Blunt_/_Hold_Fire
str_finished (Finished)
str_delivered_damage Delivered_{reg60}_damage.
str_cant_use_inventory_now Can't_access_inventory_now.
str_cant_use_inventory_arena Can't_access_inventory_in_the_arena.
str_cant_use_inventory_disguised Can't_access_inventory_while_you're_disguised.
str_cant_use_inventory_tutorial Can't_access_inventory_in_the_training_camp.
str_color_redtogreen1 color_redtogreen1
str_color_redtogreen2 color_redtogreen2
str_color_redtogreen3 color_redtogreen3
str_color_redtogreen4 color_redtogreen4
str_color_redtogreen5 color_redtogreen5
str_color_redtogreen6 color_redtogreen6
str_color_redtogreen7 color_redtogreen7
str_color_redtogreen8 color_redtogreen8
str_color_redtogreen9 color_redtogreen9
str_color_redtogreen10 color_redtogreen10
str_province0 Alsace-Moselle
str_province1 Brittany
str_province2 Lower_Normandy
str_province3 Pays_de_la_Loire
str_province4 Poitou
str_province5 Orleans
str_province6 Aquitaine
str_province7 Limousin
str_province8 Pyrenees
str_province9 Languedoc
str_province10 Provence
str_province11 Rhone
str_province12 Burgundy
str_province13 Franche-Comte
str_province14 Upper_Normandy
str_province15 Picardie
str_province16 Marne
str_province17 Ile_de_France
str_province18 Champagne
str_province19 Lorraine
str_province20 Calais
str_province21 Flanders
str_province22 Wallonia
str_province23 Luxembourg
str_province24 North_Brabant
str_province25 Holland
str_province26 Frisia
str_province27 Corsica
str_province28 Cornwall
str_province29 Sussex
str_province30 Anglia
str_province31 East_Midlands
str_province32 West_Midlands
str_province33 Wales
str_province34 York
str_province35 Scottish_Lowlands
str_province36 Scottish_Highlands
str_province37 Ulster
str_province38 Leinster
str_province39 Connacht
str_province40 Munster
str_province41 Bern
str_province42 Zurich
str_province43 Grisons
str_province44 Balearic_Islands
str_province45 Catalonia
str_province46 Aragon
str_province47 Navarre
str_province48 Cantabria
str_province49 Leon
str_province50 Galicia
str_province51 Valencia
str_province52 Murcia
str_province53 New_Castile
str_province54 Old_Castile
str_province55 Extremadura
str_province56 Granada
str_province57 Seville
str_province58 Gibraltar
str_province59 Algarve
str_province60 Alentejo
str_province61 Central_Portugal
str_province62 Northern_Portugal
str_province63 Sardinia
str_province64 Piedmont
str_province65 Lombardy
str_province66 Parma
str_province67 Veneto
str_province68 South_Tyrol
str_province69 Friuli-Venezia
str_province70 Romagna
str_province71 Marche-Umbria
str_province72 Latium
str_province73 Abruzzo
str_province74 Campania
str_province75 Apulia
str_province76 Calabria
str_province77 Sicily
str_province78 Tuscany
str_province79 Baden-Wurttemberg
str_province80 Ruhr
str_province81 Westphalia
str_province82 Hesse
str_province83 Lower_Saxony
str_province84 Bavaria-Munich
str_province85 Bavaria-Regensburg
str_province86 Bavaria-Nuremberg
str_province87 Schleswig-Holstein
str_province88 North_Schleswig
str_province89 Thuringia
str_province90 Anhalt
str_province91 Mecklenburg
str_province92 Brandenburg
str_province93 Saxony
str_province94 Pomerania
str_province95 Brandenburg-Oder
str_province96 Lower_Silesia
str_province97 Greater_Poland
str_province98 West_Prussia
str_province99 Warmia-Masuria
str_province100 East_Prussia
str_province101 Oldenburg
str_province102 Central_Jutland
str_province103 North_Jutland
str_province104 Zealand_and_Odense
str_province105 Rhineland-Palatinate
str_province106 Upper_Silesia
str_province107 Tyrol
str_province108 Austria
str_province109 Styria
str_province110 Trieste
str_province111 Ljubljana
str_province112 Central_Croatia
