
ui_music_volume|音 乐 音 量 ： 
ui_sound_volume|声 效 音 量 ： 
ui_mouse_sensitivity|鼠 标 灵 敏 度 ： 
ui_invert_mouse_y_axis|反 转 鼠 标 Y轴 
ui_enabled|已 使 用 
ui_disabled|已 禁 用 
ui_damage_to_player|玩 家 受 到 的 伤 害 ： 
ui_reduced_to_1_over_4_easiest|减 少 到 1/4（ 最 简 单 ） 
ui_reduced_to_1_over_2_easy|减 少 到 1/2（ 简 单 ） 
ui_damage_to_friends|友 军 受 到 的 伤 害 ： 
ui_reduced_to_1_over_2_easiest|减 少 到 1/2（ 最 简 单 ） 
ui_reduced_to_3_over_4_easy|减 少 到 3/4（ 简 单 ） 
ui_normal|正 常 
ui_combat_ai|战 斗 AI： 
ui_combat_speed|战 斗 速 度 ： 
ui_good|好 
ui_average_caps|一 般 
ui_poor|差 
ui_faster|加 快 
ui_slower|减 慢 
ui_control_block_direction|控 制 格 挡 方 向 ： 
ui_automatic_recommended|自 动 
ui_manual_easy|手 动 （ 简 单 ） 
ui_manual_hard|手 动 （ 困 难 ） 
ui_by_mouse_movement|根 据 鼠 标 运 动 方 向 
ui_control_attack_direction|控 制 进 攻 方 向 ： 
ui_lance_control|骑 枪 控 制 ： 
ui_by_relative_enemy_position|根 据 敌 人 的 相 对 位 置 
ui_by_inverse_mouse_movement|根 据 鼠 标 运 动 的 反 方 向 
ui_battle_size|战 斗 规 模 ： 
ui_show_attack_direction|显 示 进 攻 方 向 
ui_show_targeting_reticule|显 示 瞄 准 星 
ui_show_names_of_friendly_troops|显 示 友 军 和 部 下 头 上 的 旗 帜 
ui_report_damage|报 告 伤 害 值 
ui_report_shot_difficulty|报 告 射 击 难 度 
ui_difficulty_rating_percentage|难 度 等 级 = %d%%
ui_controls|按 键 设 置 
ui_video_options|显 示 选 项 
ui_done|完 成 
ui_factions|阵 营 
ui_item_itemname|物 品 - %s
ui_prop_propname|属 性 - %s
ui_unknown_unknownname|未 知 - %s
ui_entry_point_entrypointname|入 口 %d
ui_passage_menu_item_passagename|通 道 （ 菜 单 栏 %d） 
ui_plant_plantname|植 物 - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|玩 家 %s的 导 出 文 件 已 经 存 在 ， 是 否 覆 盖 ？ 
ui_yes|是 
ui_no|否 
ui_set_save_file_name|为 这 个 存 档 起 个 名 字 ： 
ui_enter_new_name|键 入 新 名 字 ： 
ui_export_character|导 出 玩 家 角 色 
ui_import_character|导 入 玩 家 角 色 
ui_character_playername_exported_successfully|成 功 导 出 玩 家 角 色 %s。 
ui_character_playername_imported_successfully|成 功 导 入 玩 家 角 色 %s。 
ui_unable_to_open_import_file|无 法 导 入 玩 家 文 件 。 
ui_are_you_sure_you_want_to_import_the_character|你 确 定 想 要 导 入 这 个 角 色 ？ 
ui_unable_to_find_character_import_file|找 不 到 玩 家 导 入 文 件 。 
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount ＆ Blade现 在 运 行 在 试 玩 模 式 ， 请 购 买 游 戏 后 再 导 入 。 
ui_change_skin|皮 肤 
ui_change_hair|发 型 
ui_change_hair_color|发 色 
ui_change_beard|胡 子 
ui_tutorial|教 程 
ui_tutorial_face_generator|用 这 些 按 钮 和 滑 动 条 来 调 整 脸 形 。 在 图 上 拖 动 鼠 标 可 以 转 动 头 部 。 
ui_restore|载 入 
ui_cancel|取 消 
ui_delete|删 除 
ui_confirm_delete_game|你 确 定 你 想 要 删 除 这 个 进 度 吗 ？ 
ui_error_removing_file|删 除 文 件 时 出 错 … … 
ui_day_datedisplay|第 %d天 （ %d： %d%d） 
ui_reset_changes|重 置 
ui_weapon_proficiencies|武 器 熟 练 度 
ui_skills|技 能 
ui_attributes|属 性 
ui_enter_name_here|*在 这 里 输 入 名 字 * 
ui_edit_face|修 改 容 貌 
ui_statistics|统 计 
ui_next|下 一 页 
ui_prev|上 一 页 
ui_learn|学 习 
ui_question_saving_policy|请 选 择 游 戏 的 存 盘 策 略 ： 
