
ui_music_volume|音 樂 音 量 ： 
ui_sound_volume|聲 效 音 量 ： 
ui_mouse_sensitivity|鼠 標 靈 敏 度 ： 
ui_invert_mouse_y_axis|反 轉 鼠 標 Y軸 
ui_enabled|已 使 用 
ui_disabled|已 禁 用 
ui_damage_to_player|玩 家 受 到 的 傷 害 ： 
ui_reduced_to_1_over_4_easiest|減 少 到 1/4（ 最 簡 單 ） 
ui_reduced_to_1_over_2_easy|減 少 到 1/2（ 簡 單 ） 
ui_damage_to_friends|友 軍 受 到 的 傷 害 ： 
ui_reduced_to_1_over_2_easiest|減 少 到 1/2（ 最 簡 單 ） 
ui_reduced_to_3_over_4_easy|減 少 到 3/4（ 簡 單 ） 
ui_normal|正 常 
ui_combat_ai|戰 斗 AI： 
ui_combat_speed|戰 斗 速 度 ： 
ui_good|好 
ui_average_caps|一 般 
ui_poor|差 
ui_faster|加 快 
ui_slower|減 慢 
ui_control_block_direction|控 制 格 擋 方 向 ： 
ui_automatic_recommended|自 動 
ui_manual_easy|手 動 （ 簡 單 ） 
ui_manual_hard|手 動 （ 困 難 ） 
ui_by_mouse_movement|根 據 鼠 標 運 動 方 向 
ui_control_attack_direction|控 制 進 攻 方 向 ： 
ui_lance_control|騎 槍 控 制 ： 
ui_by_relative_enemy_position|根 據 敵 人 的 相 對 位 置 
ui_by_inverse_mouse_movement|根 據 鼠 標 運 動 的 反 方 向 
ui_battle_size|戰 斗 規 模 ： 
ui_show_attack_direction|顯 示 進 攻 方 向 
ui_show_targeting_reticule|顯 示 瞄 准 星 
ui_show_names_of_friendly_troops|顯 示 友 軍 和 部 下 頭 上 的 旗 幟 
ui_report_damage|報 告 傷 害 值 
ui_report_shot_difficulty|報 告 射 擊 難 度 
ui_difficulty_rating_percentage|難 度 等 級 = %d%%
ui_controls|按 鍵 設 置 
ui_video_options|顯 示 選 項 
ui_done|完 成 
ui_factions|陣 營 
ui_item_itemname|物 品 - %s
ui_prop_propname|屬 性 - %s
ui_unknown_unknownname|未 知 - %s
ui_entry_point_entrypointname|入 口 %d
ui_passage_menu_item_passagename|通 道 （ 菜 單 欄 %d） 
ui_plant_plantname|植 物 - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|玩 家 %s的 導 出 文 件 已 經 存 在 ， 是 否 覆 蓋 ？ 
ui_yes|是 
ui_no|否 
ui_set_save_file_name|為 這 個 存 檔 起 個 名 字 ： 
ui_enter_new_name|鍵 入 新 名 字 ： 
ui_export_character|導 出 玩 家 角 色 
ui_import_character|導 入 玩 家 角 色 
ui_character_playername_exported_successfully|成 功 導 出 玩 家 角 色 %s。 
ui_character_playername_imported_successfully|成 功 導 入 玩 家 角 色 %s。 
ui_unable_to_open_import_file|無 法 導 入 玩 家 文 件 。 
ui_are_you_sure_you_want_to_import_the_character|你 確 定 想 要 導 入 這 個 角 色 ？ 
ui_unable_to_find_character_import_file|找 不 到 玩 家 導 入 文 件 。 
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount ＆ Blade現 在 運 行 在 試 玩 模 式 ， 請 購 買 游 戲 後 再 導 入 。 
ui_change_skin|皮 膚 
ui_change_hair|發 型 
ui_change_hair_color|發 色 
ui_change_beard|胡 子 
ui_tutorial|教 程 
ui_tutorial_face_generator|用 這 些 按 鈕 和 滑 動 條 來 調 整 臉 形 。 在 圖 上 拖 動 鼠 標 可 以 轉 動 頭 部 。 
ui_restore|載 入 
ui_cancel|取 消 
ui_delete|刪 除 
ui_confirm_delete_game|你 確 定 你 想 要 刪 除 這 個 進 度 嗎 ？ 
ui_error_removing_file|刪 除 文 件 時 出 錯 … … 
ui_day_datedisplay|第 %d天 （ %d： %d%d） 
ui_reset_changes|重 置 
ui_weapon_proficiencies|武 器 熟 練 度 
ui_skills|技 能 
ui_attributes|屬 性 
ui_enter_name_here|*在 這 裡 輸 入 名 字 * 
ui_edit_face|修 改 容 貌 
ui_statistics|統 計 
ui_next|下 一 頁 
ui_prev|上 一 頁 
ui_learn|學 習 
ui_question_saving_policy|請 選 擇 游 戲 的 存 盤 策 略 ： 
ui_saving_policy_realistic|直 面 人 生 ！ 不 存 盤 就 不 能 退 出 ！ 
ui_saving_policy_nonrealistic|允 許 我 不 存 盤 就 退 出 。 
ui_tutorial_character_generation|現 在 輸 入 你 的 名 字 ， 分 配 你 的 屬 性 ， 技 能 和 武 器 點 數 。 點 取 某 一 項 的 名 稱 獲 知 具 體 信 息 。 
ui_str|力 
ui_agi|敏 
ui_int|智 
ui_cha|魅 
ui_at_learning_limit|（ 達 到 學 習 限 度 ） 
ui_not_enough_skill_points_to_learn|（ 沒 有 足 夠 的 技 能 點 ） 
ui_strength|力 量 
ui_agility|敏 捷 
ui_intelligence|智 力 
ui_charisma|魅 力 
ui_not_enough_attributetype_to_learn_this_skill|（ 沒 有 足 夠 的 %s來 學 習 這 項 技 能 ） 
ui_explanation_one_handed_weapon|單 手 格 斗 武 器 ， 如 劍 ， 單 手 斧 ， 鈍 器 。 
ui_explanation_two_handed_weapon|雙 手 格 斗 武 器 ， 如 雙 手 劍 ， 長 斧 ， 錘 。 
ui_explanation_polearm|長 桿 武 器 ， 如 短 槍 ， 長 槍 ， 棍 棒 等 。 
ui_explanation_archery|弓 。 
ui_explanation_crossbow|弩 。 
ui_explanation_throwing|投 擲 武 器 ， 如 標 槍 ， 飛 鏢 ， 投 石 器 等 。 
ui_explanation_firearms|火 器 ， 如 手 銃 ， 毛 瑟 槍 。 
ui_explanation_strength|力 量 ： 每 點 增 加 1點 生 命 。 下 列 技 能 不 能 超 過 力 量 的 1/3： 鐵 骨 ， 強 擊 ， 強 擲 ， 強 弓 。 
