hint_1|Držením klávesy F1 můžeš svým vojákům přikázat, aby se přesunuli na určité místo.
hint_2|Když prší, koně i lidé se pohybují pomaleji.
hint_3|Když podržíš mezerník, pohyb na mapě světa se zastaví.
hint_4|Nové členy družiny si můžeš najímat v hospodách.
hint_5|V bitvě můžeš své družině vydávat rozkazy.
hint_6|Když má družina vysokou morálku, pohybuje se při cestování po mapě rychleji.
hint_7|Zranění členové družiny se uzdravují rychleji, když odpočívají v hospodě.
hint_8|Věci v inventáři se dají rychle koupit nebo prodat. Stačí podržet klávesu Control a kliknout levým tlačítkem myši.
hint_9|Stiskem klávesy Backspace si v bitvě zobrazíš velitelské rozhraní.
hint_10|Při pobytu ve městě nebo v hradu dostávají jednotky poloviční mzdu. Stejně tak dostávají poloviční žold i jednotky hradní posádky.
hint_11|Z každé oblasti můžeš okamžitě odejít stiskem klávesy Tab.
hint_12|Při míření na vzdáleného nepřítele můžeš podržet klávesu Shift a přiblížit si pohled.
