ui_music_volume|Hlasitost hudby:
ui_sound_volume|Hlasitost zvuku:
ui_mouse_sensitivity|Citlivost myši:
ui_invert_mouse_y_axis|Převrácení osy Y u myši:
ui_enabled|Zapnuto
ui_disabled|Vypnuto
ui_damage_to_player|Zranění hráče:
ui_reduced_to_1_over_4_easiest|Sníženo na 1/4 (Nejsnadnější)
ui_reduced_to_1_over_2_easy|Sníženo na 1/2 (Snadné)
ui_damage_to_friends|Zranění přátel:
ui_reduced_to_1_over_2_easiest|Sníženo na 1/2 (Nejsnadnější)
ui_reduced_to_3_over_4_easy|Sníženo na 3/4 (Snadné)
ui_normal|Normální
ui_combat_ai|Bojová UI:
ui_combat_speed|Rychlost boje:
ui_good|Dobrá
ui_average_caps|Průměrná
ui_poor|Mizerná
ui_faster|Rychlejší
ui_slower|Pomalejší
ui_control_block_direction|Směr blokování
ui_automatic_recommended|Automaticky
ui_manual_easy|Ruční (snadné)
ui_manual_hard|Ruční (těžké)
ui_by_mouse_movement|Podle pohybu myši
ui_control_attack_direction|Směr útoku
ui_lance_control|Ovládání kopí:
ui_by_relative_enemy_position|Podle relativní polohy nepřítele
ui_by_inverse_mouse_movement|Podle inverze pohybu myši
ui_battle_size|Velikost bitev:
ui_show_attack_direction|Zobrazovat směry útoku:
ui_show_targeting_reticule|Zobrazovat zaměřovač:
ui_show_names_of_friendly_troops|Zobrazovat jména spřátelených jednotek:
ui_report_damage|Hlášení o škodách:
ui_report_shot_difficulty|Hlášení o obtížnosti zásahu:
ui_difficulty_rating_percentage|Obtížnost = %d%%
ui_controls|Ovládání
ui_video_options|Grafika
ui_done|Hotovo
ui_factions|Frakce
ui_item_itemname|Předměty - %s
ui_prop_propname|Majetek - %s
ui_unknown_unknownname|Neznámé - %s
ui_entry_point_entrypointname|Vstupní bod %d
ui_passage_menu_item_passagename|Průchod (položka v nabídce %d)
ui_plant_plantname|Rostlina - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Exportovaný soubor pro postavu %s již existuje. Chceš ho přepsat?
ui_yes|Ano
ui_no|Ne
ui_set_save_file_name|Zadej název, pod kterým chceš hru uložit:
ui_enter_new_name|Zadej nové jméno:
ui_export_character|Exportovat postavu
ui_import_character|Importovat postavu
ui_character_playername_exported_successfully|Postava %s byla exportována.
ui_character_playername_imported_successfully|Postava %s byla importována.
ui_unable_to_open_import_file|Importovací soubor se nepodařilo otevřít.
ui_are_you_sure_you_want_to_import_the_character|Opravdu chceš naimportovat postavu?
ui_unable_to_find_character_import_file|Importovací soubor se nepodařilo najít.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Hra Mount&Blade běží ve zkušebním režimu. Aby sis mohl naimportovat postavu, kup si prosím plnou verzi hry.
ui_change_skin|Etnikum
ui_change_hair|Vlasy
ui_change_hair_color|Barva vlasů
ui_change_beard|Vousy
ui_tutorial|Výuka
ui_tutorial_face_generator|Uprav si obličej své postavy pomocí tlačítek a posuvných lišt. Pokud budeš chtít hlavu natočit, klikni na ni a zatáhni za ni myší.
ui_restore|Načíst
ui_cancel|Zrušit
ui_delete|Smazat
ui_confirm_delete_game|Chceš opravdu smazat hru?
ui_error_removing_file|Chyba při odstraňování souboru...
ui_day_datedisplay|Den %d (%d:%d%d)
ui_reset_changes|Vynulovat změny
ui_weapon_proficiencies|Dovednosti
ui_skills|Schopnosti
ui_attributes|Vlastnosti
ui_enter_name_here|*Sem zadej jméno*
ui_edit_face|Editovat obličej (klikni)
ui_statistics|Statistiky
ui_next|Další
ui_prev|Předchozí
ui_learn|Naučit se
ui_question_saving_policy|Jak chceš nastavit ukládání hry?
ui_saving_policy_realistic|  Bez uložení nebude možné opustit hru!  
ui_saving_policy_nonrealistic|  Nechte mě opustit hru bez uložení.  
ui_tutorial_character_generation|Teď si zadej jméno a rozděl postavě vlastnosti, schopnosti a zbraňové body. Můžeš klikat na různé věci na obrazovce a zjišťovat, jak která z nich ovlivní tvou postavu.
ui_str|SIL
ui_agi|POH
ui_int|INT
ui_cha|CHA
ui_at_learning_limit|(Maximální zvládnutí)
ui_not_enough_skill_points_to_learn|(Na to nemáš dost bodů)
