lockitver|DO NOT DELETE THIS LINE! 2896
hint_1|Les arbalètes sont moins efficaces par temps de pluie.
hint_2|Les chevaux et les hommes se déplacent moins rapidement par temps de pluie.
hint_3|Vous pouvez laisser le temps s'écouler sur la carte du monde en maintenant la barre d'espace enfoncée.
hint_4|Vous pouvez recruter de nouveaux hommes pour votre groupe dans les tavernes.
hint_5|Vous pouvez donnez des ordres à votre groupe au cours d'une bataille.
hint_6|Un groupe avec un moral élevé se déplace plus rapidement lorsqu'il voyage sur la carte.
hint_7|Les membres blessés du groupe seront guéris plus rapidement s'ils se reposent dans les tavernes.
hint_8|Pour acheter ou vendre rapidement les objets présents dans la fenêtre Inventaire, maintenez la touche Contrôle enfoncée lorsque vous faites un clic gauche.
hint_9|Vous pouvez appuyer sur la touche Retour-Arrière au cours d'une bataille pour afficher l'interface de commandement.
hint_10|Vos troupes ne recevront que la moitié de leurs soldes lorsque vous restez dans un bourg ou dans un château. De la même façon, elles ne recevront que la moitié de leurs soldes quand vous les mettez en garnison dans un château.
hint_11|Vous pouvez quitter immédiatement n'importe quel endroit en appuyant sur la touche Tab.
hint_12|Vous pouvez maintenir la touche Maj enfoncée pour zoomer pendant que vous visez les ennemis à distance.
