hint_1|Az F1 billentyű megnyomásával és nyomva tartásával megparancsolhatod a katonáidnak, hogy mozogjanak egy helyre.
hint_2|A lovak és a gyalogosok esős időben sokkal lassabban haladnak.
hint_3|A világtérképen a Szóköz billentyű lenyomva tartásával várakozhatsz.
hint_4|A fogadókban új embereket toborozhatsz seregedbe.
hint_5|A csata folyamán is oszthatsz parancsokat katonáidnak.
hint_6|A jó hangulatú sereg gyorsabban halad a térképen.
hint_7|A sebesültek gyorsabban gyógyulnak, ha fogadóban pihenhetnek. 
hint_8|A Felszerelés ablakban a felszerelések adásvételének meggyorsításához bal kattintás közben tartsd lenyomva a Ctrl billentyűt. 
hint_9|Csata közben a Backspace billentyű megnyomásával hívható elő az "Utasítás" felület. 
hint_10|A városban, vagy várban állomásozó katonák csak fele összegű zsoldot kapnak. Ugyanígy félzsoldot kapnak a helyőrségek katonái.
hint_11|Bármely helyszín azonnali elhagyásához nyomd le a Tab billentyűt.
hint_12|Célzáskor ráközelíthetsz a távoli ellenségre a Shift billentyűt lenyomva tartva.
