ui_music_volume|Zene hangereje:
ui_sound_volume|Hangerő:
ui_mouse_sensitivity|Egér érzékenysége:
ui_invert_mouse_y_axis|Inverz egér
ui_enabled|Bekapcsolva
ui_disabled|Letiltva
ui_damage_to_player|Játékos sérülései:
ui_reduced_to_1_over_4_easiest|1/4-re csökkentett (Nagyon könnyű)
ui_reduced_to_1_over_2_easy|1/2-re csökkentett (Könnyű)
ui_damage_to_friends|Szöv. sérülései:
ui_reduced_to_1_over_2_easiest|1/2-re csökkentett (Nagyon könnyű)
ui_reduced_to_3_over_4_easy|3/4-re csökkentett (Könnyű)
ui_normal|Normális
ui_combat_ai|Harci MI:
ui_combat_speed|Harc sebessége:
ui_good|Jó
ui_average_caps|Átlagos
ui_poor|Gyenge
ui_faster|Gyorsabb
ui_slower|Lassabb
ui_control_block_direction|Védekezés irányának vez.:
ui_automatic_recommended|Automatikus
ui_manual_easy|Kézi (egyszerű)
ui_manual_hard|Kézi (nehéz)
ui_by_mouse_movement|Egérmozgatáshoz igazodó
ui_control_attack_direction|Támadás irányának vez.:
ui_lance_control|Lándzsa irányítása:
ui_by_relative_enemy_position|Az ellenség helyzete szerint
ui_by_inverse_mouse_movement|Egérmozgással ellentétesen
ui_battle_size|Csata méret:
ui_show_attack_direction|Támadási irány kijelzése
ui_show_targeting_reticule|Célkereszt
ui_show_names_of_friendly_troops|Baráti egységek zászlaja
ui_report_damage|Sebzés jelzése
ui_report_shot_difficulty|Lövés nehézségének jelzése
ui_difficulty_rating_percentage|Nehézség = %d%%
ui_controls|Irányítás
ui_video_options|Grafikai beáll.
ui_done|Kész
ui_factions|Érdekcsoportok
ui_item_itemname|Tárgy - %s
ui_prop_propname|Tereptárgy - %s
ui_unknown_unknownname|Ismeretlen - %s
ui_entry_point_entrypointname|Belépési pont %d
ui_passage_menu_item_passagename|Átjárás (%d. menüelem)
ui_plant_plantname|Növény - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|%s exportfájlja már létezik. Felülírod?
ui_yes|Igen
ui_no|Nem
ui_set_save_file_name|Add meg e mentett állás nevét:
ui_enter_new_name|Adj meg új nevet:
ui_export_character|Karakter exportálása
ui_import_character|Karakter importálása
ui_character_playername_exported_successfully|%s - a karaktert sikeresen exportáltad.
ui_character_playername_imported_successfully|%s - a karaktert sikeresen importáltad.
ui_unable_to_open_import_file|Az importfájlt nem lehet megnyitni.
ui_are_you_sure_you_want_to_import_the_character|Biztosan importálod a karaktert?
ui_unable_to_find_character_import_file|A karakter importfájlja nem található.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|A Mount&Blade próbaverziójával játszol. Kérlek, vásárold meg a teljes változatot, hogy importálhasd a karaktert.
ui_change_skin|Bőrszín
