ui_texture_detail|Texturareszletesseg:
ui_max_frame_rate|Max. kép/másodperc:
ui_enable_bumpmap|Bump Mapping használata
ui_disable_blood|Vér kikapcsolása
ui_disable_music|Zene kikapcsolása
ui_disable_sound|Hangok kikapcsolása
ui_enable_cheats|Csalások bekapcsolása
ui_enable_edit_mode|Tervezõ mód bekapcsolása (lelassíthatja a játékot)
ui_enable_pixel_shaders|Pixel shaderek használata
ui_enable_sound_variation|Változatos beszédhangok bekapcsolása
ui_enable_vertex_shaders|Renderelés modja:
ui_shadow_quality|Árnyékminõség:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Képkocka/másodperc kijelzõ
ui_start_windowed|Futtatás ablakban
ui_trialmode_caption|Aktiválás
ui_trialmode|Kérlek, szánj egy kis idõt a Mount&&Blade Warband aktiválására. Egyedi, 16 számjegyû termékazonosítódat a dobozban találod.\nHa valamiért mégsem szeretnéd aktiválni a játékodat, tovább játszhatsz próbamódban, de tudnod kell, hogy nem fejlõdhetsz tovább 8. szintnél.
ui_launch_buy|Licenc vásárlása a TaleWorlds.com-on
ui_launch_faq|Gyakorta ismétlõdõ kérdések az aktiválásról
ui_trialmode2|Ahhoz, hogy aktiváld a játékodat, most...
ui_trialmode3|Avagy...
ui_trialmode4|Ha bármi kérdésed van az aktiválási folyamattal kapcsolatban, olvasd el az alábbiakat:
ui_serial_key_caption|Termékazonosító
ui_notification_serial_input|Kérlek, add meg a termékazonosítódat (megteheted másolás/beillesztés útján is), és kattints az Aktiválás gombra
ui_activate|Aktivál
ui_paste|Beilleszt
ui_notification_serial_internet_connection|Az aktiváláshoz mûködõ internet kapcsolatra van szükség!
ui_notification_serial_offline|Ha a számítógéped nem csatlakozik az internethez, a következõk közül választhatsz:
ui_manual_activation|Kézi aktiválás
ui_offline_activation|Hálózat nélküli aktiválás
ui_manual_activation_caption|Kézi aktiválás
ui_offline_activation_caption|Hálózat nélküli aktiválás
ui_cancel2|Mégsem
ui_close|Bezárás
ui_ok2|Rendben
ui_activation_successful|A játék aktiválása sikerült.
ui_activation_successful2|Tartsd meg a termékazonosítódat a késõbbiekre, hogyha esetleg egy másik gépre is szeretnéd telepíteni a Mount&&Blade Warbandet.
ui_activation_denied|Az aktiválás sikertelen.
ui_notification_serial_already_used|Ezt a termékazonosítót már más játékos használja, néhány hét múlva válik újra aktiválhatóvá ezen a számítógépen.
ui_notification_unable_to_connect_to_activation_server|Nem lehet kapcsolódni az aktivációs kiszolgálóhoz!
ui_notification_unable_to_connect_to_activation_server2|Gyõzõdj meg róla, hogy az internet kapcsolatod él és helyesen mûködik, majd próbáld újra! Ha tûzfalat használsz, lehet, hogy engedélyezned kell a játék kommunikációját. Ha semmi más nem sikerül, próbáld meg a kézi aktiválást!
ui_incorrect_serial_number|Nem megfelelõ termékazonosító!
ui_incorrect_hardware_hash|Nem megfelelõ hardverazonosító.
ui_incorrect_activation_code|Nem megfelelõ aktivációs kód.
ui_cant_write_to_registry|A rendszerleíró-adatbázis nem írható! 
ui_video|Videó
ui_audio|Audió
ui_game|Játék
ui_advanced|Haladó
ui_mount_and_blade_is_ready|A Mount&&Blade Warband készen áll.
ui_notification_trial_mode|Ez a Mount&&Blade Warband próbaváltozata. A játék szabadon játszható, amíg a játékos el nem éri a hatodik szintet. A folytatáshoz licenc vásárolható a TaleWorlds.com-on. Az internetes vásárlás mindössze egy percet vesz igénybe, és onnantól kezdve a játék korlátlan, teljes verziója játszhatóvá válik.
ui_there_are_no_modules_installed|Nem található telepített modul.
ui_notification_new_version|Elérhetõ a Mount&&Blade Warband újabb változata.\nA telepített változat verziószáma: %d.%d%d%d.\nA Mount&&Blade Warband legújabb verziójának száma: %d.%d%d%d.\nAz új verzió letölthetõ a www.taleworlds.com-on.
ui_new_version_found|Új verzió érhetõ el!
ui_notification_unable_to_retreive_new_version|Nem érhetõ el újabb verzió. Kérlek próbáld meg késõbb!
ui_new_version|Az új verzió száma:
ui_notification_latest_version|A Mount&&Blade Warband legújabb verziója van telepítve a számítógépeden.
ui_mount_and_blade_is_up_to_date|A Mount&&Blade Warband naprakész!
ui_off|Ki
ui_continue_playing_the_trial_mode|A játék folytatása Próba üzemmódban
ui_faq_caption|GYIK
