hint_1|Możesz rozkazać swoim oddziałom, by zajęły wybrany punkt poprzez wciśnięcie i przytrzymanie przycisku F1.
hint_2|Konie i ludzie poruszają się wolniej w czasie deszczu.
hint_3|Przyciskając spację, możesz zaczekać na mapie świata.
hint_4|W tawernach możesz werbować nowych ludzi do swojego oddziału.
hint_5|Podczas bitwy możesz wydawać oddziałowi rozkazy.
hint_6|Oddział o wysokim morale porusza się szybciej na mapie świata.
hint_7|Ranni członkowie oddziału będą leczyć się szybciej podczas odpoczynku w tawernach.
hint_8|Aby szybko kupować i sprzedawać przedmioty w oknie ekwipunku, przytrzymaj klawisz Control podczas klikania.
hint_9|Za pomocą klawisza Backspace podczas bitwy przywołujesz interfejs dowodzenia.
hint_10|Kiedy przebywasz w mieście lub zamku, płacisz żołnierzom połowę żołdu. Podobnie wypłacasz pieniądze żołnierzom, którzy stanowią garnizon w zamku.
hint_11|Naciskając klawisz Tab możesz natychmiast opuścić każdą lokację.
hint_12|Przytrzymaj SHIFT, aby zrobić zbliżenie, podczas celowania do oddalonego wroga.
