ui_music_volume|Głośność muzyki:
ui_sound_volume|Głośność dźwięku:
ui_mouse_sensitivity|Czułość myszy:
ui_invert_mouse_y_axis|Odwróć oś Y myszy
ui_enabled|Włączono
ui_disabled|Wyłączono
ui_damage_to_player|Obrażenia gracza:
ui_reduced_to_1_over_4_easiest|Zredukowane do 1/4 (Najłatwiej)
ui_reduced_to_1_over_2_easy|Zredukowane do 1/2 (Łatwo)
ui_damage_to_friends|Obrażenia przyjaciół:
ui_reduced_to_1_over_2_easiest|Zredukowane do 1/2 (Najłatwiej)
ui_reduced_to_3_over_4_easy|Zredukowane do 3/4 (Łatwo)
ui_normal|Normalna
ui_combat_ai|SI komputera:
ui_combat_speed|Szybkość walki:
ui_good|Normalna
ui_average_caps|Przeciętna
ui_poor|Słaba
ui_faster|Szybsza
ui_slower|Wolniejsza
ui_control_block_direction|Kierunek blokowania:
ui_automatic_recommended|Automatyczny
ui_manual_easy|Ręczna (łatwo)
ui_manual_hard|Ręczna (trudno)
ui_by_mouse_movement|Wg ruchu myszy
ui_control_attack_direction|Kierunek ataku:
ui_lance_control|Kontrola lancy:
ui_by_relative_enemy_position|Wg relatywnej pozycji wroga
ui_by_inverse_mouse_movement|Odwrócony ruch myszy
ui_battle_size|Rozmiar bitwy:
ui_show_attack_direction|Pokaż kierunek ataku
ui_show_targeting_reticule|Pokaż celownik
ui_show_names_of_friendly_troops|Pokaż sztandar sojuszniczych jednostek
ui_report_damage|Raport o obrażeniach
ui_report_shot_difficulty|Raport o trudności strzału
ui_difficulty_rating_percentage|Stopień trudności = %d%%
ui_controls|Sterowanie
ui_video_options|Grafika
ui_done|Gotowe
ui_factions|Frakcje
ui_item_itemname|Przedmiot - %s
ui_prop_propname|Prop - %s
ui_unknown_unknownname|Nieznany - %s
ui_entry_point_entrypointname|Punkt wejścia %d
ui_passage_menu_item_passagename|Przejście (element menu %d)
ui_plant_plantname|Roślina - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|Eksport pliku dla postaci %s już istnieje. Kontynuować?
ui_yes|Tak
ui_no|Nie
ui_set_save_file_name|Wpisz nazwę dla tego stanu gry:
ui_enter_new_name|Wprowadź nowe imię:
ui_export_character|Eksport postaci
ui_import_character|Import postaci
ui_character_playername_exported_successfully|Postać %s pomyślnie wyeksportowana.
ui_character_playername_imported_successfully|Postać %s pomyślnie zaimportowana.
ui_unable_to_open_import_file|Nie można otworzyć pliku importowania.
ui_are_you_sure_you_want_to_import_the_character|Czy na pewno chcesz zaimportować tę postać?
ui_unable_to_find_character_import_file|Nie można odnaleźć pliku importowania.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|Mount&Blade działa w trybie próbnym. Kup grę, aby zaimportować postać.
ui_change_skin|Twarz
ui_change_hair|Włosy
ui_change_hair_color|Kolor włosów
ui_change_beard|Broda
ui_tutorial|Samouczek
ui_tutorial_face_generator|Dostosuj twarz postaci za pomocą przycisków i suwaków. Aby obrócić głowę, kliknij ją i przeciągnij myszą.
ui_restore|Wczytaj
ui_cancel|Anuluj
ui_delete|Usuń
ui_confirm_delete_game|Czy na pewno chcesz usunąć tę grę?
ui_error_removing_file|Błąd podczas usuwania pliku...
ui_day_datedisplay|Dzień %d (%d:%d%d)
ui_reset_changes|Cofnij zmiany
ui_weapon_proficiencies|Sprawności
ui_skills|Umiejętności
ui_attributes|Atrybuty
ui_enter_name_here|*Wpisz tutaj imię*
ui_edit_face|Edytuj twarz
ui_statistics|Statystyki
ui_next|Dalej
ui_prev|Wstecz
ui_learn|Poznaj
ui_question_saving_policy|Jaka będzie polityka zapisu gry?
ui_saving_policy_realistic|Realistyczna! Nie ma wyjścia bez zapisu!
ui_saving_policy_nonrealistic|Pozwól mi wyjść z gry bez zapisu.
ui_tutorial_character_generation|Teraz wpisz imię i rozdysponuj punkty atrybutów, umiejętności i broni. Możesz klikać różne elementy na ekranie, by poznać ich wpływ na postać.
ui_str|SIŁA
ui_agi|ZRĘ
ui_int|INT
ui_cha|CHA
ui_at_learning_limit|(Osiągnięto maksymalny poziom)
ui_not_enough_skill_points_to_learn|(Za mało punktów do rozwoju)
ui_strength|siła
ui_agility|zręczność
ui_intelligence|inteligencja
ui_charisma|charyzma
ui_not_enough_attributetype_to_learn_this_skill|(Za mała %s, aby rozwinąć tę umiejętność)
ui_explanation_one_handed_weapon|Dotyczy walki jednoręcznymi mieczami, toporami i bronią obuchową.
ui_explanation_two_handed_weapon|Dotyczy walki dwuręcznymi mieczami, dużymi toporami i młotami.
ui_explanation_polearm|Dotyczy walki bronią długą, jak włócznie, lance, kije, itd.
