ui_texture_detail|Poziom detali tekstur:
ui_max_frame_rate|Maks. liczba klatek:
ui_enable_bumpmap|W³¹cz Bump Mapping
ui_disable_blood|Ukryj krew
ui_disable_music|Wy³¹cz muzykê
ui_disable_sound|Wy³¹cz dŸwiêki
ui_enable_cheats|W³¹cz oszustwa
ui_enable_edit_mode|W³¹cz tryb edycji (Uwa¿aj! Ta opcja spowalnia grê)
ui_enable_pixel_shaders|Wykorzystaj Pixel Shader
ui_enable_sound_variation|W³¹cz odmianê dŸwiêków
ui_enable_vertex_shaders|Metoda renderowania:
ui_shadow_quality|Jakoœæ cieni:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Poka¿ klatki/sek.
ui_start_windowed|Uruchom w oknie
ui_trialmode_caption|Aktywacja
ui_trialmode|Mo¿esz teraz dokonaæ aktywacji gry Mount&&Blade Warband za pomoc¹ swojego klucza seryjnego. Twój unikalny, 16-cyfrowy numer seryjny znajduje siê w pude³ku z gr¹.\nJeœli z jakiegokolwiek powodu nie chcesz aktywowaæ gry, nadal mo¿esz kontynuowaæ zabawê w trybie próbnym, ale Twoja postaæ nie bêdzie mog³a osi¹gn¹æ poziomu wy¿szego ni¿ 8.
ui_launch_buy|Kup licencjê z TaleWorlds.com
ui_launch_faq|Sprzeda¿ online - Najczêœciej Zadawane Pytania
ui_trialmode2|Aby aktywowaæ grê...
ui_trialmode3|Lub mo¿esz te¿...
ui_trialmode4|Jeœli masz jakiekolwiek pytania o proces aktywacji, mo¿esz przeczytaæ...
ui_serial_key_caption|Klucz seryjny
ui_notification_serial_input|WprowadŸ poni¿ej swój numer seryjny (mo¿esz go skopiowaæ i wkleiæ) i kliknij przycisk Aktywuj
ui_activate|Aktywuj
ui_paste|Wklej
ui_notification_serial_internet_connection|Aktywacja wymaga aktywnego po³¹czenia z Internetem!
ui_notification_serial_offline|Jeœli komputer nie ma dostêpu do Internetu, mo¿esz równie¿ u¿yæ:
ui_manual_activation|Aktywacja rêczna
ui_offline_activation|Aktywacja offline
ui_manual_activation_caption|Aktywacja rêczna
ui_offline_activation_caption|Aktywacja offline
ui_cancel2|Anuluj
ui_close|Zamknij
ui_ok2|OK
ui_activation_successful|Aktywacja zakoñczona powodzeniem!
ui_activation_successful2|Zachowaj swój klucz seryjny. Mo¿esz go potrzebowaæ w przysz³oœci do zainstalowania gry Mount&&Blade Warband na nowym komputerze.
ui_activation_denied|Odmowa aktywacji!
ui_notification_serial_already_used|Numer seryjny zosta³ ju¿ u¿yty na innym komputerze. Musisz odczekaæ kilka tygodni, aby ponownie aktywowaæ na tym komputerze.
ui_notification_unable_to_connect_to_activation_server|Nie mo¿na po³¹czyæ siê z serwerem aktywacji!
ui_notification_unable_to_connect_to_activation_server2|Nie mo¿na siê po³¹czyæ z serwerem aktywacji! Upewnij siê, czy twoje po³¹czenie z Internetem jest aktywne i dzia³a prawid³owo, a nastêpnie spróbuj ponownie.
ui_incorrect_serial_number|Nieprawid³owy numer seryjny!
ui_incorrect_hardware_hash|Nieprawid³owy identyfikator komputera!
ui_incorrect_activation_code|Nieprawid³owy kod aktywacyjny!
ui_cant_write_to_registry|Nie mo¿na zapisaæ w rejestrze!
ui_video|Grafika
ui_audio|DŸwiêk
ui_game|Gra
ui_advanced|Zaawansowane
ui_mount_and_blade_is_ready|Gra Mount&&Blade Warband jest gotowa.
ui_notification_trial_mode|Mount&&Blade Warband pracuje aktualnie w trybie próbnym. W tym trybie mo¿esz swobodnie graæ, dopóki Twoja postaæ nie osi¹gnie 6. poziomu. Aby graæ dalej, kup licencjê na taleworlds.com. Zakup licencji i odblokowanie pe³nego trybu trwa tylko chwilê.
ui_there_are_no_modules_installed|Nie zainstalowano ¿adnych modu³ów!
ui_notification_new_version|Dostêpna jest nowsza wersja gry Mount&Blade Warband.\nObecnie zainstalowana jest wersja %d.%d%d%d.\nNajnowsza wersja Mount&Blade Warband to %d.%d%d%d.\nNow¹ wersjê mo¿esz pobraæ z witryny www.taleworlds.com.
ui_new_version_found|Dostêpna jest nowa wersja!
