lockitver|DO NOT DELETE THIS LINE! 2552
hint_1|Kundaklı yaylar yağmurda daha az etkilidir.
hint_2|Atlar ve insanlar yağmurlu havada daha yavaş hareket ederler.
hint_3|Haritada beklemek için boşluk tuşunu basılı tutabilirsiniz.
hint_4|Hanlarda grubunuza yeni asker alabilirsiniz.
hint_5|Savaş sırasında grubunuza emirler verebilirsiniz.
hint_6|Morali yüksek bir parti haritada daha hızlı hareket eder.
hint_7|Yaralı grup elemanları handa dinlenirken daha hızlı iyileşirler.
hint_8|Eşyaları hızlıca alıp satmak için Ctrl tuşuna basılı tutarken üzerlerine tıklayabilirsiniz.
hint_9|Savaş sırasında Silme (Backspace) tuşuna basarak emir verme panelini açabilirsiniz.
hint_10|Şehirlerde ve kalelerde dinlenirken askerlerinize yarım maaş verirsiniz. Aynı şey kale garnizonundaki askerler için de geçerlidir.
hint_11|Dilediğiniz zaman TAB tuşuna basarak herhangi bir yerden çıkabilirsiniz.
hint_12|Uzaktaki düşmanları daha iyi hedef alabilmek için (Shift) tuşuyla görüntüyü yakınlaştırabilirsiniz.
