ui_napoleonic_key_does_not_exist|This mod requires the Napoleonic Wars DLC to play!
ui_delete_module_workshop|Are you sure you want to delete and unsubscribe from the module?
ui_delete_module|Are you sure you want to delete the module?
ui_delete_native_module|You cannot delete Native.

lockitver|DO NOT DELETE THIS LINE! 2665
ui_music_volume|Müzik:
ui_sound_volume|Ses:
ui_mouse_sensitivity|Fare Hassasiyeti:
ui_invert_mouse_y_axis|Fare Y Eksenini Ters Çevir:
ui_enabled|Açık
ui_disabled|Kapalı
ui_damage_to_player|Oyuncunun Aldığı Zarar:
ui_reduced_to_1_over_4_easiest|1/4 oranına indirilmiş (En Kolayı)
ui_reduced_to_1_over_2_easy|1/2 oranına indirilmiş (Kolay)
ui_damage_to_friends|Dostların Aldığı Zarar:
ui_reduced_to_1_over_2_easiest|1/2 oranına indirilmiş (En Kolayı)
ui_reduced_to_3_over_4_easy|3/4 oranına indirilmiş (Kolay)
ui_normal|Normal
ui_combat_ai|Dövüş Yapay Zekası:
ui_combat_speed|Dövüş Hızı:
ui_good|İyi
ui_average_caps|Ortalama
ui_poor|Zayıf
ui_faster|Hızlı
ui_slower|Yavaş
ui_control_block_direction|Bloklama Yönü Kontrolü:
ui_automatic_recommended|Otomatik
ui_manual_easy|Manüel (Kolay)
ui_manual_hard|Manüel (Zor)
ui_by_mouse_movement|Fare hareketine göre
ui_control_attack_direction|Saldırma Yönü Kontrölü:
ui_lance_control|Kargı Kontrolü:
ui_by_relative_enemy_position|Düşmanın konumuna göre
ui_by_inverse_mouse_movement|Fare hareketinin tersine göre
ui_battle_size|Muharebe Büyüklüğü:
ui_show_attack_direction|Saldırı Yönünü Göster
ui_show_targeting_reticule|Hedef Noktasını Göster
ui_show_names_of_friendly_troops|Dost Askerlerin İsimlerini Göster
ui_report_damage|Zararı Bildir
ui_report_shot_difficulty|Vuruş Zorluğunu Bildir
ui_difficulty_rating_percentage|Zorluk Derecesi = %d%%
ui_controls|Kontroller
ui_video_options|Ekran Seçenekleri
ui_done|Tamam
ui_factions|Taraflar
ui_item_itemname|Eşya - %s
ui_prop_propname|Prop - %s
ui_unknown_unknownname|Bilinmeyen - %s
ui_entry_point_entrypointname|Giriş Noktası %d
ui_passage_menu_item_passagename|Geçit (menü objesi %d)
ui_plant_plantname|Bitki - %s
ui_export_file_for_character_playername_already_exists_overwrite_it|%s karakteri için ihraç dosyası zaten mevcut. Üstüne yazılsın mı?
ui_yes|Evet
ui_no|Hayır
ui_set_save_file_name|Bu kayıt dosyasına isim verin:
ui_enter_new_name|Yeni bir isim girin:
ui_export_character|Karakter İhraç Et
ui_import_character|Karakter İthal Et
ui_character_playername_exported_successfully|%s karakteri başarılı bir şekilde ihraç edildi.
ui_character_playername_imported_successfully|%s karakteri başarılı bir şekilde ithal edildi.
ui_unable_to_open_import_file|İthalat dosyası açılamıyor.
ui_are_you_sure_you_want_to_import_the_character|Karakteri ithal etmek istediğinize emin misiniz?
ui_unable_to_find_character_import_file|İthalat dosyası bulunamıyor.
ui_mount_and_blade_is_running_in_trial_mode_please_buy_the_game_for_importing_a_character|At&Kılıç deneme sürümünde çalışıyor. Karakter ithal etmek için lütfen oyunu satın alın.
ui_change_skin|Cilt
ui_change_hair|Saç
ui_change_hair_color|Saç rengini değiştir
ui_change_beard|Sakal
ui_tutorial|Başlangıç Yardımı
ui_tutorial_face_generator|Butonlarla ve ayar çubuklarıyla karakterinizin yüzünü değiştirin. Başı döndürmek için, üzerine tıklayın ve tuşu bırakmadan fareyi oynatın.
ui_restore|Yükle
ui_cancel|İptal
ui_delete|Sil
ui_confirm_delete_game|Bu oyunu silmek istediğinize emin misiniz?
ui_error_removing_file|Dosyayı silmede hata...
ui_day_datedisplay|Gün %d (%d:%d%d)
ui_reset_changes|Eskiye Dön
ui_weapon_proficiencies|Hünerler
ui_skills|Beceriler
ui_attributes|Özellikler 
ui_enter_name_here|*İsminizi Buraya Yazın*
ui_edit_face|Yüzü Değiştir
ui_statistics|İstatistikler
ui_next|Sonraki
ui_prev|Önceki
ui_learn|Öğren
ui_question_saving_policy|Oyunun kaydetme yöntemi nasıl olsun?
ui_saving_policy_realistic|Gerçekçi! Kaydetmeden çıkmak olmasın!
ui_saving_policy_nonrealistic|Kaydetmeden çıkma hakkım olsun.
ui_tutorial_character_generation|Şimdi isminizi girip özellik, yetenek ve silah hüneri puanlarını dağıtın. Ekrandaki değişik ögelere tıklayarak her birinin karakterinizi nasıl etkileyeceğini öğrenebilirsiniz.
ui_str|GÜÇ
ui_agi|ÇVK
ui_int|ZEKA
ui_cha|KRZM
ui_at_learning_limit|(Öğrenme limitinde)
ui_not_enough_skill_points_to_learn|(Öğrenmek için yeterli beceri puanı yok)
ui_strength|güç
ui_agility|çeviklik
ui_intelligence|zeka
ui_charisma|karizma
ui_not_enough_attributetype_to_learn_this_skill|(Bu beceriyi öğrenmek için yeterli %s yok)
ui_explanation_one_handed_weapon|Tek elli kılıçların, baltaların ve keskin olmayan silahların kullanımını kapsar.
ui_explanation_two_handed_weapon|Çift elli kılıçların, büyük baltaların ve balyozların kullanımını kapsar.
ui_explanation_polearm|Mızrak, kargı, asa gibi uzun silahların kullanımını kapsar.
ui_explanation_archery|Yayların kullanımını kapsar.
ui_explanation_crossbow|Kundaklı yaylarının kullanımını kapsar.
ui_explanation_throwing|Cirit, dart, taş gibi fırlatılan silahların kullanımını kapsar.
ui_explanation_firearms|Tabanca ve tüfeklerin kullanımını kapsar.
ui_explanation_strength|Güç: Her iki puan sağlığınıza +1 ekler. Şu beceriler Güç puanınızın 1/3'ünden daha fazla yükseltilemez: demirvücut, güçlü darbe, güçlü fırlatma, güçlü germe.
ui_explanation_agility|Çeviklik: Her puan beş silah hüneri puanı verir ve silah hızını %0.5 artırır. Şu beceriler Çeviklik puanınızın 1/3'ünden daha fazla yükseltilemez: kalkan, atletizm, silah ustası, binicilik, atlı okçuluk.
ui_explanation_intelligence|Zeka: Zekaya verilen her puan fazladan bir beceri puanı kazandırır. Şu beceriler Zeka puanınızın 1/3'ünden daha fazla yükseltilemez: talimci, iz sürme, taktik, yön bulma, tesbit etme, envanter yönetimi, yara bakımı, cerrahlık, ilk yardım.
