lockitver|DO NOT DELETE THIS LINE! 2552
ui_texture_detail|Doku Detayý:
ui_max_frame_rate|Saniyede Maksimum Kare Sayýsý:
ui_enable_bumpmap|Bump Mapping Kullan
ui_disable_blood|Kan Gösterme
ui_disable_music|Müziði Kapat
ui_disable_sound|Sesi Kapat
ui_enable_cheats|Hileyi Aç
ui_enable_edit_mode|Edit Modunu Aç
ui_enable_pixel_shaders|Pixel Shaderlarý Aç
ui_enable_sound_variation|Ses Varyasyonunu Aç
ui_enable_vertex_shaders|Gösterim Yöntemi:
ui_shadow_quality|Gölge Kalitesi:
ui_directx_7|DirectX 7
ui_directx_9|DirectX 9
ui_show_framerate|Saniyedeki Kare Sayýsýný Göster
ui_start_windowed|Pencereli Baþlat
ui_trialmode_caption|Aktivasyon
ui_trialmode|Mount&&Blade Warband'i aktive etmeniz gerekmektedir. Size ait 16 haneli seri numaranýzý satýn aldýðýnýz kutuda ya da internet üzerinden aldýysanýz e-postanýzda bulabilirsiniz. Herhangi bir nedenden ötürü oyunu þu anda aktive etmek istemiyorsanýz oyunu deneme modunda oynamaya devam edebilirsiniz, fakat bu modda 8. seviyeyi geçmeniz mümkün olmayacaktýr.
ui_launch_buy|TaleWorlds.com'dan Lisans Satýn Al
ui_launch_faq|Ýnternet Üzerinden Satýþ SSS
ui_trialmode2|Oyununuzu þimdi aktive etmek için...
ui_trialmode3|Veya...
ui_trialmode4|Aktivasyon sistemi hakkýnda sorularýnýz varsa, þurayý okuyabilirsiniz...
ui_serial_key_caption|Seri Numarasý
ui_notification_serial_input|Seri numaranýzý aþaðýya yazýn (kopyalayýp yapýþtýrabilirsiniz) ve Aktifleþtir butonuna týklayýn
ui_notification_serial_input_vc|Bu modül çalýþmak için Viking Conquest seri numarasý gerektirir. Viking Conquest seri numaranýzý aþaðýya yazýn (kopyalayýp yapýþtýrabilirsiniz) ve Aktifleþtir butonuna týklayýn
ui_activate|Aktifleþtir
ui_paste|Yapýþtýr
ui_notification_serial_internet_connection|Aktifleþtirme iþlemi internet baðlantýsý gerektirir!
ui_notification_serial_offline|Eðer bu bilgisayarýn internete baðlantýsý yoksa þunu deneyebilirsiniz:
ui_manual_activation|Manüel Aktivasyon
ui_offline_activation|Çevrimdýþý Aktivasyon
ui_manual_activation_caption|Manüel Aktivasyon
ui_offline_activation_caption|Çevrimdýþý Aktivasyon
ui_cancel2|Ýptal
ui_close|Kapat
ui_ok2|Tamam
ui_activation_successful|Oyun baþarýlý bir þekilde aktive edildi.
ui_activation_successful2|Lütfen seri numaranýzý gelecekte rahatça bulabilmeniz için saklayýn. Ýleride Mount&&Blade Warband'i yeni bir makineye kurmak isterseniz, seri numaranýza ihtiyacýnýz olacaktýr.
ui_activation_denied|Aktivasyon Baþarýsýz!
ui_notification_serial_already_used|Seri Numarasý baþka bir bilgisayar için kullanýlmýþ. Bu bilgisayarda yeniden aktifleþtirebilmek için birkaç hafta beklemeniz gerekiyor.
ui_notification_unable_to_connect_to_activation_server|Aktivasyon sunucusuna baðlanýlamýyor!
