dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Přeji si odložit jmenování lorda, dokud se neporadím se svými poddanými.
dlga_award_fief_to_vassal_defer:close_window|Jak si přeješ, {pane/paní}. Můžeš toto rozhodnutí učinit později.
dlga_award_fief_to_vassal_2:close_window|Jak si přeješ, {pane/má paní}. {reg6?I:{reg7?Budeš:{s11}}} tedy {reg3?novou paní:novým pánem} sídla {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} nemůže být pod správou jen tak někoho. Koho tím mám pověřit?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Prosím, kéž mi {s65} vyhoví. Toužím mít {s1} pro sebe. (léna: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, {s1} bys {měl/měla} mít pro sebe. (léna: {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm. Tak dobrá, {playername}, tvé rady si velice cením. {reg6?I:{reg7?Ty:{s11}}} tedy budeš  {reg3?nová paní:nový pán} von {s1}.
dlga_start:fighter_talk|Zdravím tě. Cvičíme se tu v bojových uměních. A jak se na tebe tak dívám, tak by ti to taky neuškodilo. Nechceš se k nám přidat? Ukážeme ti pár užitečných triků. A když nebudeš něčemu rozumět, klidně se zeptej a já se ti všechno pokusím co nejlépe vysvětlit.
dlga_start:fighter_talk.1|V čem se chceš cvičit?
dlga_fighter_pretalk:fighter_talk|Pověz, v čem přesně se chceš cvičit.
dlga_fighter_talk:fighter_talk_train_attack|Chci si procvičit útok.
dlga_fighter_talk:fighter_talk_train_parry|Chci si zdokonalit schopnost vykrývat útoky zbraní.
dlga_fighter_talk:fighter_talk_train_combat|Dejme si tréninkový zápas!
dlga_fighter_talk:close_window|[Odejít]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Dobrá. Útoky se vedou ze čtyř základních směrů - shora, máchnutím zprava a zleva a bodnutím. Teď ti budu říkat, ze kterého směru mě máš napadnout, a ty to budeš dle mých pokynů provádět. ^^(Přidrž levé myšítko a pohybem myší urči směr, ve kterém chceš zaútočit. Chceš-li například provést útok shora, stiskni levé tlačítko a zároveň pohni myší vzhůru. Ikony na obrazovce ti napoví, co přesně máš provést.)
dlga_fighter_talk_train_attack_2:close_window|Tak můžeme začít. Jsem {připraven/připravena}.
