str_no_string|ŽÁDNÉ ŘETĚZCE!
str_empty_string|
str_yes|Ano.
str_no|Ne.
str_blank_string|
str_noone|nikdo
str_s50_and_s51|{s50} a {s51}
str_s52_and_s51|{s52} a {s51}
str_s5_s_party|{s5} a jeho družina
str_given_by_s1_at_s2|Zadaný {s1} v obci {s2}
str_given_by_s1_in_wilderness|Zadaný {s1} v terénu
str_s7_raiders|{s7} nájezdníci
str_bandits_eliminated_by_another|O bandity, kteří působili potíže, už se postarala jiná družina.
str_msg_battle_won|{Vyhrál/Vyhrála} jsi bitvu! Pro pokračování stiskni TAB...
str_tutorial_map1|Právě si prohlížíš mapu území. Kliknutím levého tlačítka myši na mapu přesuneš na dané území družinu, vstoupíš do vybraného města nebo můžeš pronásledovat vybranou družinu. Když se po mapě území nepohybuješ, nečekáš nebo neodpočíváš, neběží ti čas. Pokud chceš někde počkat, prostě stiskni a podrž mezerník.
str_randomize|Náhodně
str_charge|Útok
str_color|Barva
str_flip_horizontal|Otočit horizontálně
str_flip_vertical|Otočit vertikálně
str_hold_fire|Nestřílet
str_blunt_hold_fire|Tupé zbraně / Nestřílet
str_tutorial_ammo_refilled|Střelivo doplněno
str_tutorial_failed|Tentokrát dostáváš na pamětnou, ale neboj se. Řiď se pozorně pokyny a příště si určitě povedeš líp. Stiskem tabulátoru se vrátíš do hlavní nabídky, kde si můžeš tuto lekci zopakovat.
str_finished|(Dokončeno)
str_delivered_damage|{Způsobil/Způsobila} jsi zranění za {reg60}.
str_archery_target_hit|Vzdálenost: {reg61} yardů. Skóre: {reg60}
str_use_baggage_for_inventory|Pomocí zavazadla se můžeš během bitvy dostat do inventáře (máš ho na výchozí pozici).
str_cant_use_inventory_now|Do inventáře teď nemáš přístup.
str_cant_use_inventory_arena|Do inventáře nemáš v aréně přístup.
str_cant_use_inventory_disguised|Do inventáře nemáš v převleku přístup.
str_cant_use_inventory_tutorial|Do inventáře nemáš na cvičišti přístup.
str_1_denar|1 denár
str_reg1_denars|{reg1} denárů
str_january_reg1_reg2|{reg1}. ledna {reg2}
str_february_reg1_reg2|{reg1}. února {reg2}
str_march_reg1_reg2|{reg1}. března {reg2}
str_april_reg1_reg2|{reg1}. dubna {reg2}
str_may_reg1_reg2|{reg1}. května {reg2}
str_june_reg1_reg2|{reg1}. června {reg2}
