ip_morale|Morálka
ip_morale_text|Morálka představuje schopnost a ochotu jednotek v družině sebrat všechnu svou odvahu, výdrž a disciplínu, aby mohly čelit všem nástrahám boje i úmornému pochodu. Neznamená to samé co spokojenost - elitní jednotky mohou reptat a mručet nad všemožnými útrapami tažení, ale když začnou létat šípy, na všechny stížnosti zapomenou a postaví se nepříteli. Na druhou stranu velitel, který svým vojákům poskytuje všechno, nač si vzpomenou, může brzy zjistit, že jeho mužstvo začíná být změkčilé, a když jde do tuhého, „hrdinové“ se roztřesou jako vyděšení králíci.^^ Morálka účinkuje především na chování družiny v bitvě - určuje, jak budou agresivní jednotky napadat nepřátele a nakolik je pravděpodobné, že se za nepříznivé situace obrátí na útěk. Tato vlastnost též ovlivňuje rychlost pochodu - méně motivovaná skupina se pohybuje pomaleji, neboť její členové nemají žádný důvod se nějak zvlášť namáhat. Musí se proto častěji zastavovat a čekat na opozdilce. A konečně tam, kde morálka opravdu velmi upadá, může situace vyústit až v dezerci.^^ Některé faktory, které morálku ovlivňují, jsou intuitivní. Například charismatický velitel s patřičnou pověstí a zkušenostmi z vyhraných bitev může trochu své slávy vrhnout i na své lidi a dodávat jim tak pocit důležitosti a sebevědomí. Ti, kteří se starají o to, aby menáž jejich vojáků byla dostatečně rozmanitá a žold byl vyplácen včas, dokazují, že jim na jejich svěřencích záleží. Je proto méně pravděpodobné, že by je při takové péči vedli někam vstříc katastrofě.^^ Jiné faktory jsou již méně intuitivní - zvláště ty, které se týkají soudržnosti celé skupiny. Například členové malé družiny, kteří musejí často bok po boku vzdorovat nepříznivým podmínkám, si dají pozor, aby před svými druhy neprojevili známky zbabělosti. Oproti tomu u početnější výpravy takové sepjetí neuvidíme, neboť velitel již nemůže tolik dohlížet na jednotlivé vojáky, naslouchat jejich stížnostem a řešit případné spory. Časté bitvy pak pouta mezi tvými muži utuží, delší období bez bojů v nich naopak probudí pocit nudy a rozdmýchává různé rozmíšky, hádanice a rozbroje.^^ Informace o morálce, které získáš kliknutím na tlačítko 'hlášení', ti jasně naznačí, co morálku tvých mužů v současné době ovlivňuje nejvíce.
ip_economy|Ekonomika
ip_economy_text|Obyvatelstvo calradijských měst a vesnic potřebuje rozmanitou škálu zboží, aby si zachovalo zdraví a výkonnost. Ze všeho nejdůležitější jsou potraviny. Hlavní zdejší plodinou je obilí, lidé však potřebují i tuk a bílkoviny, jejichž zdrojem je maso, ryby nebo sýr. Uchovat maso v poživatelném stavu dá téměř stejnou práci, jako je vyprodukovat, a proto je velice žádaným artiklem i sůl. Hned po jídle následují látky: silná vlna, lehčí len, anebo přepychový samet. A konečně lidé také potřebují různé nástroje, aby se mohli věnovat svým řemeslům: železářské, hrnčířské či kožené zboží, a samozřejmě zbraně, zbroj a koně pro válku.^^Většina zemědělských plodin se pěstuje ve vesnicích, ve městech zase sídlí řemeslníci, kteří se snaží být mistry svého oboru a prodávají různé výrobky, jako jsou například látky nebo železářské zboží. V různých částech země lze také narazit na různé suroviny. Klíčem k bohatství je tedy obchod, a to jak mezi vesnicemi, tak i mezi menšími a hlavními městy.^^Pokud trh funguje, jak má, bude všemožné zboží k dispozici a za rozumné ceny, obyvatelstvo v srdci země bude zdravé a aktivní a z okolních krajů se k vám budou sbíhat spousty přistěhovalců. Hlavní středisko bude sice více produkovat a konzumovat, ale o to více bude svým pánům odvádět i na daních. Pokud však obchody začnou váznout, dělníci z měst a vesnic si budou muset hledat práci jinde a veškerá hospodářská aktivita se tím zastaví. Proto je v zájmu každého panovníka dohlížet na to, aby se válka a bandité a podobná verbež od obchodních cest vždy drželi dále. Chytrý obchodník však také vyhledává města, která jsou od zbytku země odříznuta, neboť v nich díky cenovým rozdílům může dosáhnout tučného zisku.^^Jelikož vesničané často chtějí své výrobky prodávat ve městech, místní trhy bývají tiché, neboť usedlíci raději levně nakupují a draze prodávají. Skuteční kupci proto raději obchodují ve městech a obchody na vesnicích obvykle zachraňují jen ti, kteří se zde narychlo zastaví, aby nakoupili zásoby, a na ceny v danou chvíli příliš nehledí.^^Chceš-li se dozvědět o tom, co právě ovlivňuje prosperitu daného kraje, promluv si s tamějším cechmistrem. Další informace ti mohou podat i různí kolemjdoucí, i když ti většinou nevědí víc, než co se týká „jejich“ oboru.
ip_courtship|Postavení u dvora
ip_courtship_text|Během hry se možná budeš chtít přivdat nebo přiženit do některé z calradijských šlechtických rodin. Sňatek sice není povinností pro rozšiřování moci a upevňování postavení, dá ti však možnost vylepšit vztahy se šlechtici a lépe uplatňovat nárok na trůn.^^Podmínky pro tento životní krok jsou pro muže a ženy různé. Muž obvykle musí postupovat tradičním způsobem - zajistit si mezi calradijskými šlechtici dobrou pověst a postavení, dohodnout se s nevěstinými rodiči či ochránci a pak se dámě svého srdce patřičně dvořit. Pokud si nepotrpíš na průtahy a nechce se ti postupovat zavedeným způsobem, můžeš zvolit přímější cestu - v tom případě ale počítej s tím, že to příslušným způsobem ovlivní tvé vztahy s místními pány.^^Jako muž se také musíš připravit na to, že s tebou o přízeň tvé vyvolené budou soupeřit i jiní nápadníci. A vkus dam je také dosti nevyzpytatelný, takže se může klidně stát, že tvá milovaná ti tvou náklonnost neoplatí stejnou mincí. Tak jako všude jinde se ani v Calradii lásce vždycky nedaří. Samozřejmě můžeš srdce své dámy získat jiným, méně gentlemanským způsobem, ale opět si musíš uvědomit, že se to odrazí na tvé pověsti.^^Chceš-li se začít někomu dvořit, musíš se nejprve zapojit do života místní aristokratické společnosti a účastnit se slavností a turnajů. Cenným zdrojem informací na toto téma ti také mohou být různí potulní trubadúři a básníci, kteří ti přitom prozradí i nejnovější klepy.^^Ženy se také mohou vdát, musejí však počítat s tím, že calradijská společnost velice dbá na tradice a že honbu za dobrodružstvím jen málokdo považuje za poslání vhodné pro dámu. Proto možná nějakou dobu potrvá, než se mezi šlechtici najde někdo dostatečně osvícený, kdo bude ochoten si tě vzít.^^Ženské hrdinky mají tu výhodu, že se nikomu nemusí složitě dvořit a po sňatku mohou od svého muže získat mnohem víc. Jako dobrodružka se tak můžeš rychle dostat k moci - a nemáš-li přehnané morální zábrany, můžeš pak svého muže využít jako nástroj pro své politické ambice.
ip_politics|Politika
ip_politics_text|Přestože v Calradii žije více různých kultur, všechny mají jedno společné: feudální společenské zřízení. To je založeno na vztazích mezi jednotlivci, konkrétně přísahou vazala jeho lennímu pánovi. Za svou přísahu pak vazal obvykle obdrží léno, tedy kousek země, o kterou se stará a z jejíchž výtěžků obvykle cvičí vojáky, s nimiž se pak v případě potřeby bije za svého pána. Ten má zase za úkol své vazaly chránit a chovat se k nim spravedlivě.^^Tak to funguje alespoň teoreticky. Praxe nicméně často vypadá poněkud jinak - vazalové ne vždy pracují v zájmu svých frakcí, zvlášť když se hádají mezi sebou. Povaha šlechticů je také různá, takže mezi nimi často bují různé neshody, tahanice a půtky. Nebo se také stává, že se spolu dva šlechtici přátelí, ale pak mezi ně vrazí klín nějaká překážka - například se dvoří stejné dámě, nebo jednomu z nich král věnuje větší pozornost a druhý na něho žárlí. Pohromou pro přátelství mohou být i nově dobyté země, na které si oba dělají nárok, a neštěstím také je, když oba druhové touží po nějakém titulu, který může získat pouze jeden z nich (například titul maršála a velitele, organizujícího všechna velká tažení).^^Jakmile některá calradijská země vyhlásí válku jiné, velmi záleží na politické jednotě každého ze zúčastněných království. Na ní totiž závisí, kolik a jak kvalitních vojáků bude možné naverbovat do armády. Je-li říše soudržná, její šlechtici se spojí, vytáhnou na nepřátele jako jeden muž a obvykle je také porazí. Pokud je ale země zmítána nesváry, nepokoji a hašteřením, její páni často neuposlechnou výzvy k boji, anebo se z něj při známce prvních potíží stáhnou a půjdou si za vlastními záležitostmi. Politická soudržnost ovlivňuje válečnické umění i tehdy, když se zrovna žádné velké tažení nekoná. Vládci rozdělené frakce si obvykle hledí svého, nestarají se o vytváření hlídek, a ani nepřijedou na pomoc svým napadeným bližním.^^Přestože se zdá, že starat se o vády a přenice, když za obzorem již číhá nepřítel, je poněkud sebevražedné, ve skutečnosti dochází k takovým situacím velmi často. Šlechtici totiž nejsou skutečně věrní žádné konkrétní frakci nebo kultuře, nýbrž sami sobě a svým rodinám. Pokud se tedy nějaký urozený pán obává, že v jeho zemi zavládne chaos, nebo má pocit, že ho jeho pán zanedbává, obvykle si najde způsob, jak se vyvléci ze stávající přísahy a přejít na opačnou stranu. Někdy to může být i prospěšné - postavit se na stranu bývalých nepřátel a proměnit je ve spojence občas není úplně na škodu.
ip_character_backgrounds|Historie postavy
ip_character_backgrounds_text|Původ tvé postavy bude takový, jaký jí určíš. Ovlivní to nejen její úvodní schopnosti a vybavení, ale i směr, jakým se bude její dobrodružná kariéra ubírat.^^Válka a politika v Calradii je již tradičně v rukou aristokracie. Jako šlechtic se tedy mezi urozené pány můžeš dostat poměrně rychle. Avšak jako žena nebo jako hrdina sprostého původu nejspíš na cestě do vyšší společnosti narazíš na mnohé překážky. Rozhodneš-li se začít jako šlechtic, pak volíš tu 'snadnou' cestu. Coby šlechtična nebo neurozený člověk už budeš mít situaci o něco těžší. A hledáš-li opravdovou výzvu, můžeš začít jako neurozená paní, jejíž postavení je v úvodu hry nejobtížnější.^^Hrát za ženu má ale i své světlé stránky. Stačí chopit se zbraní, prokázat své bojové umění, a hned na sebe upoutáš pozornost. Tvá pověst se proto bude šířit mnohem rychleji, než by tomu bylo u mužského protějšku. Také se budeš moci snáze vdát za někoho výše postaveného, neboť sňatek tohoto druhu není takovou výjimkou, než kdyby tomu bylo naopak. A po svatbě můžeš mnohem lépe a účinněji využívat nově nabyté strategické moci.^^Ale v tom, jak vysokého postavení můžeš dosáhnout, ti hra žádné meze neklade. Urozený či neurozený, žena nebo muž - každý z nich se může stát vládcem celé Calradie. Stačí prokázat dostatečnou statečnost a mít trochu štěstí nebo patřičné bohatství.
ip_military_campaigns|Vojenská tažení
ip_military_campaigns_text|Když calradijská království táhnou do války, mohou jejich vojska útočit dvojím způsobem. Někdy se pokusí napadnout vesničany a začnou pustošit venkov, čímž naruší prestiž a hospodářství svého nepřítele. Nebo se mohou pokusit obléhat a obsazovat hrady a města, a tím se zmocňovat země. Tato druhá možnost obvykle zahrnuje dlouhá a krvavá obléhání, ale výsledky jsou mnohem přesvědčivější.^^V tomto ohledu je třeba zdůraznit, že calradijské země nemají stálé armády, které by zůstávaly v poli tak dlouho, jak by si jejich pán přál. Ve skutečnosti tyto země chrání nejvýznačnější šlechtici a jejich družiny. Ti občas podnikají vlastní nájezdy na nepřátelská území, ale důležitější bitvy se obvykle odehrávají, až když se shromáždí větší množství bojovníků. V jejich čele stojí královský maršál - šlechtic, kterého jmenuje král. Ten před začátkem tažení všechna vojska svolává a pak je vede do boje. Přitom si ale musí dávat pozor, aby se vojáci na bojišti nezdržovali příliš dlouho. Jinak se armády začnou rozpadat, vazalové začnou odcházet za vlastními záležitostmi a vojsko začne být zranitelné. Protiútoky mohou být za takové situace osudné.^^Z tohoto důvodu se calradijské války podobají souboji mezi dvěma bojovníky - obě strany sbírají síly a snaží se protivníkovi zasadit rozhodující úder. Pokud je však maršál příliš ukvapený a neshromáždí dostatečně velké vojsko, může být jeho útok zcela neúčinný. Jestliže bude naopak příliš dlouho váhat, může celé tažení skončit ještě dřív, než vůbec začne. Dále platí, že větší říše má výhodu nad menší, tak jako silnější válečník nad slabším. Přitom je ale třeba počítat i s politickou soudržností dotyčné říše, podobně jako bojovník s větší výdrží spíše překoná svého soka. Občas se dvě vojska střetnou tváří v tvář a propukne bitva, ve které hraje roli jak počet vojáků, tak i jejich morálka.^^Informace o nepřátelích obvykle nejsou příliš přesné. Útočníci proto potřebují často prozkoumávat nepřátelská území a zjišťovat, které pevnosti jsou zranitelnější. Vojsko bránící vlast pak bude těžit z toho, že noviny o postupujících útočnících se rychle rozkřiknou po celé zemi a města i hrady budou na jejich útok připraveny. Avšak i takovéto informace nemusejí být zcela přesné, zvlášť co se týče počtu táhnoucích protivníků. Obránci, kteří se chystají na obléhání nebo k obraně vesnice, mohou zastihnout soupeře nepřipravené. Ale také se mohou přepočítat a ocitnout se na straně přepadených sami. Útočníci naopak musejí po nepřátelském území postupovat s nejvyšší opatrností, přičemž se útočnější maršálové obvykle dostanou dále než ti opatrnější.^^Od tebe se čeká, že se připojíš k válečnému tažení své frakce, a to buď tím, že své vojáky připojíš k armádám svého pána, nebo že se vydáš na průzkum nepřátelského území. Může se ale stát, že ti tvůj maršál bude připadat příliš opatrný, nebo naopak příliš agresivní. V tom případě lze mezi ostatními šlechtici rozvinout síť intrik a pokusit se vrchního velitele vyměnit, případně si zajistit dostatečnou podporu a jeho místo zaujmout sám.^^Trvání většiny válek je omezeno. Král táhnoucí do boje se v zájmu cti snaží toto střetnutí po nějakou dobu udržet. Pokud se však boje vlečou příliš dlouho, začne se útočník obvykle sám od sebe stahovat, aby na jeho zemi mezitím někdo nezaútočil. Calradijští vládci totiž velice dobře vědí, že ten, kdo je dnes jejich přítelem, může zítra klidně změnit barvy.
