imod_plain|Normální %s
imod_cracked|Nevyhovující %s
imod_rusty|Horší %s
imod_bent|Nekvalitní %s
imod_chipped|Nekvalitní %s
imod_battered|Slabší %s
imod_poor|Ucházející %s
imod_crude|Lacinější %s
imod_old|Starší %s
imod_cheap|Lacinější %s
imod_fine|Ryzí %s
imod_well_made|Kvalitní %s
imod_sharp|Ostřejší %s
imod_balanced|Kvalitní %s
imod_tempered|Masivní %s
imod_deadly|Smrtící %s
imod_exquisite|Legendární %s
imod_masterwork|Vynikající %s
imod_heavy|Těžší %s
imod_strong|Silnější %s
imod_powerful|Mocnější %s
imod_tattered|Nekvalitní %s
imod_ragged|Starší %s
imod_rough|Hrubší %s
imod_sturdy|Pevnější %s
imod_thick|Silnější %s
imod_hardened|Pevnější %s
imod_reinforced|Kvalitní %s
imod_superb|Vynikající %s
imod_lordly|Božský %s
imod_lame|Chromý %s
imod_swaybacked|Neposlušný %s
imod_stubborn|Vzdorovitý %s
imod_timid|Bázlivý %s
imod_meek|Pokorný %s
imod_spirited|Horlivý %s
imod_champion|Rytířský %s
imod_fresh|Čerstvé %s
imod_day_old|Včerejší %s
imod_two_day_old|Předvčerejší %
imod_smelling|Páchnoucí %s
imod_rotten|Hnijící %s
imod_large_bag|Velký pytel (%s)
