p_zendar|Zendar
p_town_1|Sargoth
p_town_2|Tir
p_town_3|Veluka
p_town_4|Suno
p_town_5|Jelkala
p_town_6|Praven
p_town_7|Uxkal
p_town_8|Rejvadin
p_town_9|Kúdán
p_town_10|Tulga
p_town_11|Curaw
p_town_12|Wercheg
p_town_13|Rivacheg
p_town_14|Halmar
p_town_15|Jalen
p_town_16|Dirim
p_town_17|Ichamur
p_town_18|Narra
p_town_19|Šariz
p_town_20|Durquba
p_town_21|Ahmerrad
p_town_22|Baríjje
p_castle_1|Hrad Culmarr
p_castle_2|Hrad Malajurg
p_castle_3|Hrad Buluga
p_castle_4|Hrad Radogir
p_castle_5|Hrad Telrog
p_castle_6|Hrad Tilbaut
p_castle_7|Hrad Sungetche
p_castle_8|Hrad Jeirbe
p_castle_9|Hrad Jamiche
p_castle_10|Hrad Alburk
p_castle_11|Hrad Curin
p_castle_12|Hrad Chalbek
p_castle_13|Hrad Kelredan
p_castle_14|Hrad Maras
p_castle_15|Hrad Ergellon
p_castle_16|Hrad Almerra
p_castle_17|Hrad Distar
p_castle_18|Hrad Ismirala
p_castle_19|Hrad Yruma
p_castle_20|Hrad Derchios
p_castle_21|Hrad Ibdeles
p_castle_22|Hrad Unuzdak
p_castle_23|Hrad Tevarin
p_castle_24|Hrad Reindi
p_castle_25|Hrad Rjibelet
p_castle_26|Hrad Senuzga
p_castle_27|Hrad Rindjar
p_castle_28|Hrad Grunwalder
p_castle_29|Hrad Nelag
p_castle_30|Hrad Asugan
p_castle_31|Hrad Vyincourt
p_castle_32|Hrad Knudarr
p_castle_33|Hrad Etrosk
p_castle_34|Hrad Hrus
p_castle_35|Hrad Haringot
p_castle_36|Hrad Jelbegi
p_castle_37|Hrad Dramug
p_castle_38|Hrad Tulbuke
p_castle_39|Hrad Slezk
p_castle_40|Hrad Uhún
p_castle_41|Hrad Jameyyed
p_castle_42|Hrad Teramma
p_castle_43|Hrad Sharwa
p_castle_44|Hrad Durrin
p_castle_45|Hrad Caraf
p_castle_46|Hrad Weyyah
p_castle_47|Hrad Samarra
p_castle_48|Hrad Bardaq
p_village_1|Jaragar
p_village_2|Burglen
p_village_3|Azgad
p_village_4|Nomar
p_village_5|Kulum
p_village_6|Emirin
p_village_7|Amere
p_village_8|Haen
p_village_9|Buvran
p_village_10|Mechin
p_village_11|Dusturil
p_village_12|Emer
p_village_13|Nemeja
p_village_14|Sumbuja
p_village_15|Rijbelet
p_village_16|Šapešte
p_village_17|Mazen
p_village_18|Ulburban
p_village_19|Hanun
p_village_20|Uslum
p_village_21|Bazek
p_village_22|Šulús
p_village_23|Ilvia
p_village_24|Ruldi
p_village_25|Dašbiga
p_village_26|Pagundúr
p_village_27|Glunmar
p_village_28|Taš Kulun
p_village_29|Buillin
p_village_30|Ruvar
p_village_31|Ambean
p_village_32|Tosdár
p_village_33|Ruluns
p_village_34|Elerda
p_village_35|Fearichen
p_village_36|Jajek
p_village_37|Ada Kulun
p_village_38|Ibiran
p_village_39|Reveran
p_village_40|Saren
p_village_41|Dugan
p_village_42|Dirig Aban
p_village_43|Zaguš
p_village_44|Pešmi
p_village_45|Bulugúr
p_village_46|Fedner
p_village_47|Epeš
p_village_48|Vejdar
p_village_49|Tismir
p_village_50|Karindi
p_village_51|Jelbegi
p_village_52|Amaške
p_village_53|Balanli
p_village_54|Chide
p_village_55|Tadsaméš
p_village_56|Fenada
p_village_57|Uškuru
p_village_58|Vezin
p_village_59|Dumar
p_village_60|Tálberl
p_village_61|Aldelen
p_village_62|Rebache
p_village_63|Rduna
p_village_64|Serindiar
p_village_65|Ijinda
p_village_66|Fisdnar
p_village_67|Tebandra
p_village_68|Ibdeles
p_village_69|Kwynn
p_village_70|Dirigsene
p_village_71|Čibtín
p_village_72|Elberl
p_village_73|Chaeza
p_village_74|Ajike
p_village_75|Bhúlabán
p_village_76|Kedelke
p_village_77|Rizi
p_village_78|Sarimiš
p_village_79|Istiniar
p_village_80|Vajejeg
p_village_81|Odasan
p_village_82|Jalibe
p_village_83|Gisim
p_village_84|Chelez
p_village_85|Ismirala
p_village_86|Slezk
p_village_87|Udiniáda
p_village_88|Tulbuk
p_village_89|Uhún
p_village_90|Jamiš
p_village_91|Ajn Assuádí
p_village_92|Dhibbajn
p_village_93|Qaljut
p_village_94|Mazigh
p_village_95|Tamnuh
p_village_96|Habba
p_village_97|Sechtem
p_village_98|Mawiti
p_village_99|Jišara
p_village_100|Iqbajl
p_village_101|Uzgha
p_village_102|Šibál Zumr
p_village_103|Midžajet
p_village_104|Tazdžunat
p_village_105|Aab
p_village_106|Hawaha
p_village_107|Unrija
p_village_108|Mit Nun
p_village_109|Tilimsal
p_village_110|Rušdigh
p_salt_mine|Solný důl
p_four_ways_inn|Hospoda Na čtyřcestí
p_test_scene|testovací scéna
p_battlefields|bojiště
p_dhorak_keep|Pevnost Dhorak
p_training_ground|Cvičiště
p_training_ground_1|Cvičiště
p_training_ground_2|Cvičiště
p_training_ground_3|Cvičiště
p_training_ground_4|Cvičiště
p_training_ground_5|Cvičiště
p_steppe_bandit_spawn_point|Stepi
p_taiga_bandit_spawn_point|Tundra
p_forest_bandit_spawn_point|Lesy
p_mountain_bandit_spawn_point|Vysočina
p_sea_raider_spawn_point_1|Pobřeží
p_sea_raider_spawn_point_2|Pobřeží
p_desert_bandit_spawn_point|Pouště
