pt_none|nic
pt_rescued_prisoners|Zachránění vězni
pt_enemy|Nepřítel
pt_hero_party|Družina hrdinů
pt_village_defenders|Obránci vesnice
pt_cattle_herd|Stádo dobytka
pt_looters|Kořistníci
pt_manhunters|Lovci lidí
pt_steppe_bandits|Stepní nájezdníci
pt_taiga_bandits|Banditi z tundry
pt_desert_bandits|Pouštní bandité
pt_forest_bandits|Lesní bandité
pt_mountain_bandits|Horští bandité
pt_sea_raiders|Námořní piráti
pt_deserters|Dezertéři
pt_merchant_caravan|Obchodní karavana
pt_troublesome_bandits|Obtížní bandité
pt_bandits_awaiting_ransom|Bandité očekávající výkupné
pt_kidnapped_girl|Unesená dívka
pt_village_farmers|Vesničtí rolníci
pt_spy_partners|Bezvýznamní poutníci
pt_runaway_serfs|Uprchlí nevolníci
pt_spy|Prostý měšťan
pt_sacrificed_messenger|Obětovaný posel
pt_forager_party|Skupina pastevců
pt_scout_party|Zvědové
pt_patrol_party|Hlídka
pt_messenger_party|Posel
pt_raider_party|Nájezdníci
pt_raider_captives|Zajatci nájezdníků
pt_kingdom_caravan_party|Karavana
pt_prisoner_train_party|Vězeňský transport
pt_default_prisoners|Základní vězni
pt_routed_warriors|Uprchlí nepřátelé
pt_center_reinforcements|Posily
pt_kingdom_hero_party|Válečná družina
pt_steppe_bandit_lair|Doupě stepních banditů
pt_taiga_bandit_lair|Doupě banditů z tundry
pt_desert_bandit_lair|Doupě pouštních banditů
pt_forest_bandit_lair|Tábor lesních banditů
pt_mountain_bandit_lair|Skrýš horských banditů
pt_sea_raider_lair|Přístaviště mořských pirátů
pt_looter_lair|Skrýš únosců
pt_leaded_looters|Tlupa loupežníků
