qstr_Next_Page|Další strana 
qstr_Game_Rules:^|Pravidla hry:^
qstr_0|0
qstr_Show_game_rules|Zobrazit pravidla hry
qstr_Continue...|Pokračovat...
qstr_Candidate_#1:_{s1}|Kandidát #1: {s1}
qstr_Candidate_#2:_{s1}|Kandidát #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} z {s4} si přeje vybrat nového maršála a pozval své vazaly na poradu. Pravděpodobnými kandidáty jsou {s1} a {s2}.
qstr_Who_do_you_wish_to_s|Koho chceš podporovat?
qstr_{s1}_gives_his_suppo|{s1} vyjadřuje svou podporu kandidátovi jménem {s2}.
qstr_Number_of_Supporters|Počet stoupenců: {reg0}
qstr_{s2}_has_heard_his_v|{s2} vyslechl rady svých vazalů. Vybral za maršála {s3} kandidáta {s1}.
qstr_Action|Akce
qstr_Mount|Koně
qstr_Attack_Type|Typ útoku
qstr_Stand_Ground|Zůstat na místě
qstr_Charge|Do útoku
qstr_Follow_Me|Za mnou
qstr_Hold_This_Position|Držet pozici
qstr_Spread_Out|Rozptýlit se
qstr_Stand_Closer|Držet se blíž
qstr_Fall_Back|Stáhnout se
qstr_Advance|Postupovat
qstr_Dismount|Sesednout
qstr_Fire_At_Will|Střílet dle libosti
qstr_Hold_Your_Fire|Nestřílet
qstr_Use_Blunt_Weapons|Použít tupé zbraně
qstr_Use_Any_Weapon|Použít jakoukoliv zbraň
qstr_Ready|Připraveno
qstr_Wounded|Zraněno
qstr_Dead|Zabito
qstr_Number_of_men_knocke|Počet omráčených mužů: {reg1}
qstr_Number_of_men_left:_|Počet opuštěných mužů: {reg1}
qstr_Opponents_Beaten:_{r|Poražení protivníci: {reg1}
qstr_Opponents_Remaining:|Zbývající protivníci: {reg1}
qstr_Remain_in_retirement|Zůstat na odpočinku.
qstr_Go_back_to_the_adven|Vrátit se k dobrodružnému životu.
qstr_You_have_retired_at_|Na {reg4}. úrovni ses po {reg5} dnech dobrodružného života odebral na odpočinek.
qstr_Effect_on_Score|Účinek na hodnocení
qstr_Settlements_owned_by|Počet sídlišť, která vlastníš: {reg0}
qstr_Friendly_Settlements|Přátelská sídliště: {reg0}
qstr_Hostile_Settlements:|Nepřátelská sídliště: {reg0}
qstr_Friendly_Lords:_{reg|Přátelští lordi: {reg0}
qstr_Enemy_Lords:_{reg0}|Nepřátelští lordi: {reg0}
qstr_Victories:_{reg0}|Vítězství: {reg0}
qstr_Defeats:_{reg0}|Porážky: {reg0}
qstr_Quests_Completed:_{r|Dokončené úkoly: {reg0}
qstr_Companions_Found:_{r|Nalezení společníci: {reg0}
qstr_Companions_Lost/Depa|Ztracení/opustivší společníci: {reg0} 
qstr_Wealth:_{reg0}_denar|Majetek: {reg0} denárů 
qstr_Inventory:_{reg0}_de|Inventář: {reg0} denárů 
qstr_Renown:_{reg0}|Sláva: {reg0} 
qstr_Experience:_{reg0}|Zkušenosti: {reg0}
qstr_Days_Passed:_{reg0}|Uplynulo dní: {reg0}
qstr_Difficulty:_{reg0}%|Obtížnost: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|CELKOVÉ HODNOCENÍ: {reg0}
qstr_None|Nic
qstr_{s1}_of_{s3}_was_def|{s1} z {s3} byl poražen v bitvě, ale podařilo se mu uprchnout.
qstr_{s54}_is_a_claimant_|{s54} si dělá nárok na trůn země {s56}.
qstr_nowhere|nikde
qstr_{s57}_and_{s58}|{s57} a {s58}
qstr_{reg3?She:He}|{reg3?Ona:On}
qstr_The_town_of_{s50}|Město {s50}
qstr_The_village_of_{s50}|Vesnice {s50}, poblíž které leží {s52},
qstr_{s51}_belongs_to_{s1|Vládcem sídla {s51} je {s1} v říše {s2}.^
qstr_{s7}_and_{s8}|{s7} a {s8}
qstr_{s2}It_has_no_villag|{s2}Zde nejsou žádné vesnice.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Patří mu vesnice:Patří mu vesnice} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Bohatství: {s50}
qstr_noone|nikdo
qstr_{s9}_and_{s10}|{s9} a {s10}
qstr_{s5}_has_been_defeat|{s5} byl poražen!
qstr_{s7}_opened_the_gate|{s7} otvírá bránu
qstr_{s7}_closed_the_gate|{s7} zavírá bránu
qstr_+{reg1}_to_party_mor|+{reg1} k morálce družiny
qstr_Requires_{reg1}_inte|Přečtení vyžaduje inteligenci {reg1} 
qstr_Reading_Progress:_{r|Průběh čtení: {reg1}%
qstr_wound_treament|léčení ran
qstr_trainer|trenér
qstr_surgery|operace
qstr_+1_to_{s1}_while_in_|+1 k {s1} když je v inventáři
qstr_Move_here|Přesunout sem
qstr_View_notes|Prohlédnout si poznámky
qstr_Accompany|Přidružit se
qstr_killed|smrt
qstr_wounded|zranění
qstr_{s0}^TOTAL:_{reg3}__|{s0}^CELKEM: {reg3} ({s2})
qstr_^None|^Žádné
qstr_nothing|nic
qstr_{reg0}_village{reg1?|{reg0} vesnice{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} hrad{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} hrad{reg1?s:} a {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} město{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} město{reg1?s:} a {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} město{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Tví protivníci jsou připraveni na souboj.
qstr_Try_to_destroy_as_ma|Pokus se zničit co nejvíce terčů. Na vyčištění dráhy máš dvě a půl minuty.
qstr_Stay_behind_the_line|Zůstaň za čárou na zemi a střílej na terče. Snaž se nepromrhat ani jeden šíp.
qstr_Battle_Advantage_=_{|Poměr sil = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} chce, abys dále {šel/šla} za jeho armádou, dokud ti nedá jiný pokyn.
qstr__Being_Raided_|(probíhá přepadení)
qstr__Looted_|(vydrancováno)
qstr__Under_Siege_|(v obležení)
qstr_The_village_of_{s1}_|Vesnice {s1} byla vydrancována nájezdníky, kterými byli {s2}.
qstr_{s3}_is_no_longer_un|{s3} už není v obležení.
qstr_Small_bands_of_enemi|Tam, kde leží {s1}, byla spatřena malá tlupa nepřátel.
qstr_Enemy_patrols_spotte|Tam, kde leží {s1}, byly spatřeny nepřátelské hlídky.
qstr_Medium_sized_group_o|Tam, kde leží {s1}, byla spatřena středně velká skupina nepřátel.
qstr_Significant_group_of|Tam, kde leží {s1}, byla spatřena poměrně velká skupina nepřátel.
qstr_Army_of_enemies_spot|Tam, kde leží {s1}, byla spatřena armáda nepřátel.
qstr_Large_army_of_enemie|Tam, kde leží {s1}, byla spatřena velká armáda nepřátel.
qstr_Great_host_of_enemie|Tam, kde leží {s1}, byla spatřena obrovská spousta nepřátel.
qstr_{s1}_has_been_besieg|{s1} právě obléhá {s2} z říše {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|{s1} je novým maršálem von {s2}.
qstr_You_gained_{reg12}_r|Sláva zvýšena o {reg12}.
qstr_You_lose_{reg12}_ren|Sláva snížena o {reg12}.
qstr_Your_relation_with_{|Tvůj vztah s místem {s1} se zlepšil.
qstr_Your_relation_with_{s|Tvůj vztah s místem {s1} se zhoršil.
qstr_You_gain_honour.|{Získal/Získala} jsi čest.
qstr_You_lose_honour.|{Ztratil/Ztratila} jsi čest.
qstr_{s1}_has_declared_wa|{s1} vyhlašuje válku říši {s2}.
qstr_{s1}_and_{s2}_have_m|{s1} a {s2} spolu uzavřeli mír. 
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?před nedávnem byl:je právě teď} v sídle zvaném {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} cestuje do {s3} a {reg3?byl:měl by být} poblíž {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?byl:je} v poli a {reg3?byl:měl by být} nedaleko místa, kde leží {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?byl:je} držen jako zajatec v {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?byl:byl} zajat {reg4?jejími:jeho} nepřáteli.
qstr_{reg3?{s2}_s_locatio|{reg3?{s2} pobyt nebyl znám:Nevím, kde {s2} je}.
qstr_{s6}_has_joined_your|{s6} se přidává ke tvé družině
qstr_You_now_owe_{reg2}_d|Dlužíš teď {s1} částku {reg2} denárů.
qstr_Renown_value_for_thi|Za vítězství v této bitvě získáš {reg8} bodů slávy.
qstr_You_have_run_into_a_|{Vlezl/Vlezla} jsi do pasti!
qstr_You_are_attacked_by_|Zaútočila na tebe skupina banditů!
qstr_Holding|Drží pozici
qstr_Following|Následují
