fac_no_faction|Sin facciÃ³n
fac_commoners|Plebeyos
fac_outlaws|Forajidos
fac_neutral|Neutral
fac_innocents|Inocentes
fac_merchants|Mercaderes
fac_culture_1|Tropa
fac_culture_2|Tropa
fac_culture_3|Tropa
fac_culture_4|Tropa
fac_culture_5|Tropa
fac_culture_6|Tropa
fac_culture_7|Tropa
fac_culture_8|Tropa
fac_culture_9|Tropa
fac_culture_10|Tropa
fac_culture_11|Oficial de Artillería de Campaña 
fac_culture_12|Oficial de Obús
fac_culture_13|Oficial de Obús Pesado
fac_culture_14|Operador de Artillería de Campaña
fac_culture_15|Operador de Obús
fac_culture_16|Operador de Ametralladora
fac_culture_17|Tripulación de Artillería de Campaña
fac_culture_18|Operador de Ametralladora
fac_player_faction|FacciÃ³n del Jugador
fac_player_supporters_faction|FacciÃ³n del Jugador
fac_kingdom_1|Reino de Swadia
fac_kingdom_2|Reino de Vaegir
fac_kingdom_3|Khanato de Khergit
fac_kingdom_4|Reino del Norte
fac_kingdom_5|Reino de Rhodok
fac_kingdom_6|Sultanato SarranÃ­
fac_kingdom_7|Imperio Británico
fac_kingdom_8|Reino de los Países Bajos
fac_kingdom_9|Imperio Español
fac_kingdom_10|Emirato de Túnez
fac_kingdom_11|Reino de las Dos Sicilias
fac_kingdom_12|Shahdom de Persia
fac_kingdom_13|Suíza
fac_kingdom_14|Jedivato de Egipto
fac_kingdom_15|Sultanato de Marruecos
fac_kingdom_16|Reino de Portugal
fac_kingdom_17|Sultanato de Omán
fac_kingdom_18|Reino de Dinamarca
fac_kingdom_19|Estados Papales
fac_kingdom_20|Colonias Británicas
fac_kingdom_21|Emirato de Afganistán
fac_kingdom_22|Emirato de Bujará
fac_kingdom_23|Kanato de Jiva
fac_kingdom_24|Reino de Grecia
fac_kingdom_25|Principados Rumanos
fac_kingdom_26|Reino de Bélgica
fac_kingdom_27|Reino de Wurttemberg
fac_kingdom_28|Principado de Serbia
fac_kingdom_29|Reino de Suecia
fac_kingdom_30|Reino de Baviera
fac_kingdom_31|Reino de Hannover
fac_kingdom_32|Emirato de Shammar
fac_kingdom_33|Emirato de Néyed
fac_kingdom_usa|Estados Unidos de América
fac_kingdom_china|Imperio Qing
fac_manhunters|Cazahombres
fac_deserters|Desertores
fac_mountain_bandits|Bandidos de la montaÃ±a
fac_forest_bandits|Bandidos del bosque
fac_ccoop_all_stars|All Stars
