p_zendar|Zendar
p_town_1|Sargoth
p_town_2|Tihr
p_town_3|Veluca
p_town_4|Suno
p_town_5|Jelkala
p_town_6|Praven
p_town_7|Uxkhal
p_town_8|Reyvadin
p_town_9|Khudan
p_town_10|Tulga
p_town_11|Curaw
p_town_12|Wercheg
p_town_13|Rivacheg
p_town_14|Halmar
p_town_15|Yalen
p_town_16|Dhirim
p_town_17|Ichamur
p_town_18|Narra
p_town_19|Shariz
p_town_20|Durquba
p_town_21|Ahmerrad
p_town_22|Bariyye
p_castle_1|Castillo Culmarr
p_castle_2|Castillo Malayurg
p_castle_3|Castillo Bulugha
p_castle_4|Castillo Radoghir
p_castle_5|Castillo Tehlrog
p_castle_6|Castillo Tilbaut
p_castle_7|Castillo Sungetche
p_castle_8|Castillo Jeirbe
p_castle_9|Castillo Jamiche
p_castle_10|Castillo Alburq
p_castle_11|Castillo Curin
p_castle_12|Castillo Chalbek
p_castle_13|Castillo Kelredan
p_castle_14|Castillo Maras
p_castle_15|Castillo Ergellon
p_castle_16|Castillo Almerra
p_castle_17|Castillo Distar
p_castle_18|Castillo Ismirala
p_castle_19|Castillo Yruma
p_castle_20|Castillo Derchios
p_castle_21|Castillo Ibdeles
p_castle_22|Castillo Unuzdaq
p_castle_23|Castillo Tevarin
p_castle_24|Castillo Reindi
p_castle_25|Castillo Ryibelet
p_castle_26|Castillo Senuzgda
p_castle_27|Castillo Rindyar
p_castle_28|Castillo Grunwalder
p_castle_29|Castillo Nelag
p_castle_30|Castillo Asugan
p_castle_31|Castillo Vyincourd
p_castle_32|Castillo Knudarr
p_castle_33|Castillo Etrosq
p_castle_34|Castillo Hrus
p_castle_35|Castillo Haringoth
p_castle_36|Castillo Jelbegi
p_castle_37|Castillo Dramug
p_castle_38|Castillo Tulbuk
p_castle_39|Castillo Slezkh
p_castle_40|Castillo Uhhun
p_castle_41|Castillo Jameyyed
p_castle_42|Castillo Teramma
p_castle_43|Castillo Sharwa
p_castle_44|Castillo Durrin
p_castle_45|Castillo Caraf
p_castle_46|Castillo Weyyah
p_castle_47|Castillo Samarra
p_castle_48|Castillo Bardaq
p_village_1|Yaragar
p_village_2|Burglen
p_village_3|Azgad
p_village_4|Nomar
p_village_5|Kulum
p_village_6|Emirin
p_village_7|Amere
p_village_8|Haen
p_village_9|Buvran
p_village_10|Mechin
p_village_11|Dusturil
p_village_12|Emer
p_village_13|Nemeja
p_village_14|Sumbuja
p_village_15|Ryibelet
p_village_16|Shapeshte
p_village_17|Mazen
p_village_18|Ulburban
p_village_19|Hanun
p_village_20|Uslum
p_village_21|Bazeck
p_village_22|Shulus
p_village_23|Ilvia
p_village_24|Ruldi
p_village_25|Dashbigha
p_village_26|Pagundur
p_village_27|Glunmar
p_village_28|Tash Kulun
p_village_29|Buillin
p_village_30|Ruvar
p_village_31|Ambean
p_village_32|Tosdhar
p_village_33|Ruluns
p_village_34|Ehlerdah
p_village_35|Fearichen
p_village_36|Jayek
p_village_37|Ada Kulun
p_village_38|Ibiran
p_village_39|Reveran
p_village_40|Saren
p_village_41|Dugan
p_village_42|Dirigh Aban
p_village_43|Zagush
p_village_44|Peshmi
p_village_45|Bulugur
p_village_46|Fedner
p_village_47|Epeshe
p_village_48|Veidar
p_village_49|Tismirr
p_village_50|Karindi
p_village_51|Jelbegi
p_village_52|Amashke
p_village_53|Balanli
p_village_54|Chide
p_village_55|Tadsamesh
p_village_56|Fenada
p_village_57|Ushkuru
p_village_58|Vezin
p_village_59|Dumar
p_village_60|Tahlberl
p_village_61|Aldelen
p_village_62|Rebache
p_village_63|Rduna
p_village_64|Serindiar
p_village_65|Iyindah
p_village_66|Fisdnar
p_village_67|Tebandra
p_village_68|Ibdeles
p_village_69|Kwynn
p_village_70|Dirigsene
p_village_71|Tshibtin
p_village_72|Elberl
p_village_73|Chaeza
p_village_74|Ayyike
p_village_75|Bhulaban
p_village_76|Kedelke
p_village_77|Rizi
p_village_78|Sarimish
p_village_79|Istiniar
p_village_80|Vayejeg
p_village_81|Odasan
p_village_82|Yalibe
p_village_83|Gisim
p_village_84|Chelez
p_village_85|Ismirala
p_village_86|Slezkh
p_village_87|Udiniad
p_village_88|Tulbuk
p_village_89|Uhhun
p_village_90|Jamiche
p_village_91|Ayn Assuadi
p_village_92|Dhibbain
p_village_93|Qalyut
p_village_94|Mazigh
p_village_95|Tamnuh
p_village_96|Habba
p_village_97|Sekhtem
p_village_98|Mawiti
p_village_99|Fishara
p_village_100|Iqbayl
p_village_101|Uzgha
p_village_102|Shibal Zumr
p_village_103|Mijayet
p_village_104|Tazjunat
p_village_105|Aab
p_village_106|Hawaha
p_village_107|Unriya
p_village_108|Mit Nun
p_village_109|Tilimsal
p_village_110|Rushdigh
p_salt_mine|Mina de sal
p_four_ways_inn|Posada las Cuatro Direcciones
p_test_scene|escena de prueba
p_battlefields|Campos de batalla
p_dhorak_keep|Fuerte Dhorak
p_training_ground|Campo de entrenamiento
p_training_ground_1|Campo de entrenamiento
p_training_ground_2|Campo de entrenamiento
p_training_ground_3|Campo de entrenamiento
p_training_ground_4|Campo de entrenamiento
p_training_ground_5|Campo de entrenamiento
p_steppe_bandit_spawn_point|la estepa
p_taiga_bandit_spawn_point|la tundra
p_forest_bandit_spawn_point|el bosque
p_mountain_bandit_spawn_point|las tierras altas
p_sea_raider_spawn_point_1|la costa
p_sea_raider_spawn_point_2|la costa
p_desert_bandit_spawn_point|el desierto
