pt_none|ninguno
pt_rescued_prisoners|Prisioneros rescatados
pt_enemy|Enemigo
pt_hero_party|Grupo del Héroe
pt_village_defenders|Defensores de la aldea
pt_cattle_herd|Rebaño de ganado
pt_looters|Saqueadores
pt_manhunters|Cazahombres
pt_steppe_bandits|Bandidos de la estepa
pt_taiga_bandits|Bandidos de la tundra
pt_desert_bandits|Bandidos del desierto
pt_forest_bandits|Bandidos del bosque
pt_mountain_bandits|Bandidos de la montaña
pt_sea_raiders|Piratas
pt_deserters|Desertores
pt_merchant_caravan|Caravana mercantil
pt_troublesome_bandits|Bandidos problemáticos
pt_bandits_awaiting_ransom|Bandidos secuestradores
pt_kidnapped_girl|Doncella secuestrada
pt_village_farmers|Campesinos
pt_spy_partners|Viajeros corrientes
pt_runaway_serfs|Siervos fugitivos
pt_spy|Ciudadano corriente
pt_sacrificed_messenger|Mensajero sacrificado
pt_forager_party|Grupo rastreador
pt_scout_party|Exploradores
pt_patrol_party|Patrulla
pt_messenger_party|Mensajero
pt_raider_party|Salteadores
pt_raider_captives|Salteadores prisioneros
pt_kingdom_caravan_party|Caravana
pt_prisoner_train_party|Tren de prisioneros
pt_default_prisoners|Prisioneros normales
pt_routed_warriors|Enemigos derrotados
pt_center_reinforcements|Refuerzos
pt_kingdom_hero_party|Grupo de guerra
pt_steppe_bandit_lair|Guarida de los bandidos de la estepa
pt_taiga_bandit_lair|Guarida de los bandidos de la tundra
pt_desert_bandit_lair|Guarida de los bandidos del desierto
pt_forest_bandit_lair|Campamento de los bandidos del bosque
pt_mountain_bandit_lair|Guarida de los bandidos de la montaña
pt_sea_raider_lair|Desembarco de los piratas
pt_looter_lair|Guarida de los secuestradores
pt_leaded_looters|Banda de ladrones
