qstr_res_cape1|res cape1
qstr_res_cape2|res cape2
qstr_thawb1_belt1|thawb1 belt1
qstr_banner_ria1|banner ria1
qstr_Next_Page|Página Siguiente
qstr_Game_Rules:^|Reglas del juego:^
qstr_0|0
qstr_Lv._{reg0}|Lv. {reg0}
qstr_Show_game_rules|Mostrar las reglas
qstr_Choose_name_for_your|Choose name for your faction:
qstr_Continue...|Continuar...
qstr_Candidate_#1:_{s1}|Candidato #1: {s1}
qstr_Candidate_#2:_{s1}|Candidato #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} del {s4} desea elegir un nuevo mariscal, y para ello invita a sus vasallos a un consejo. {s1} y {s2} son los candidatos para el puesto.
qstr_Who_do_you_wish_to_s|¿A quién queréis apoyar?
qstr_{s1}_gives_his_suppo|{s1} da su apoyo a {s2}.
qstr_Number_of_Supporters|Número de partidarios: {reg0}
qstr_{s2}_has_heard_his_v|{s2} ha escuchado el consejo de sus vasallos y ha elegido a {s1} como mariscal del {s3}.
qstr__| 
qstr_Mount|Montad
qstr_Attack_Type|Tipo de ataque
qstr_Retreat|Retirarse
qstr_Charge|Cargad
qstr_Follow_Me|Seguidme
qstr_Form_Square|Formación Cuadrada
qstr_Spread_Out|Alejaos
qstr_Stand_Closer|Acercaos
qstr_Fall_Back|Retroceded
qstr_Advance|Avanzad
qstr_Dismount|Desmontad
qstr_Fire_At_Will|Disparad a discreción
qstr_Hold_Your_Fire|No disparéis
qstr_Use_Ranged_Weapons|Usen Armas a Distancia
qstr_Use_Melee_Weapons|Usen Armas Cuerpo a Cuerpo
qstr_Ready|Listos
qstr_Wounded|Heridos
qstr_Dead|Muertos
qstr_Cannot_form_square:_|No se puede formar el Cuadrado : Seleccionaste muchas Companias.
qstr_Cannot_form_square:_w|No se puede formar el Caudrado : Seleccionaste las Companias incorrectas (Solo Infanteria de Linea e Infanteria de Guardia pueden formar el Cuadrado).
qstr_Number_of_men_knocke|Número de hombres inconscientes: {reg1}
qstr_Number_of_men_left:_|Número de hombres restantes: {reg1}
qstr_Opponents_Beaten:_{r|Oponentes vencidos: {reg1}
qstr_Opponents_Remaining:|Oponentes en pie: {reg1}
qstr_Remain_in_retirement|Permanecer en retiro.
qstr_Go_back_to_the_adven|Regresar a la aventura.
qstr_You_have_retired_at_|Os habéis retirado a nivel {reg4} tras {reg5} días de aventuras.
qstr_Effect_on_Score|Efecto en la puntuación
qstr_Settlements_owned_by|Vuestros asentamientos: {reg0}
qstr_Friendly_Settlements|Asentamientos amigos: {reg0}
qstr_Hostile_Settlements:|Asentamientos hostiles: {reg0}
qstr_Friendly_Lords:_{reg|Señores amigos: {reg0}
qstr_Enemy_Lords:_{reg0}|Señores hostiles: {reg0}
qstr_Victories:_{reg0}|Victorias: {reg0}
qstr_Defeats:_{reg0}|Derrotas: {reg0}
qstr_Quests_Completed:_{r|Misiones completadas: {reg0}
qstr_Companions_Found:_{r|Compañeros encontrados: {reg0}
qstr_Companions_Lost/Depa|Compañeros perdidos/retirados: {reg0}
qstr_Wealth:_{reg0}_$|Wealth: {reg0} $
qstr_Inventory:_{reg0}_$|Inventory: {reg0} $
qstr_Renown:_{reg0}|Renombre: {reg0}
qstr_Experience:_{reg0}|Experiencia: {reg0}
qstr_Days_Passed:_{reg0}|Días transcurridos: {reg0}
qstr_Difficulty:_{reg0}%|Dificultad: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|PUNTUACION TOTAL: {reg0}
qstr_Income_from_factorie|Ingresos de las Fabricas:
qstr_{reg10}|{reg10}
qstr_None|Ninguno
qstr_Back|Volver
qstr_Empty|Vacio
qstr_1._{s1}|1. {s1}
qstr___c.|  c.
qstr_90%|90%
qstr_2._{s1}|2. {s1}
qstr__%| %
qstr_3._{s1}|3. {s1}
qstr_4._{s1}|4. {s1}
qstr_5._{s1}|5. {s1}
qstr_6._{s1}|6. {s1}
qstr_7._{s1}|7. {s1}
qstr_8._{s1}|8. {s1}
qstr_Form_Square^^Selecte|Formar Cuadrado^^ Las companias seleccionadas (no más de dos)^ Van a formar el cuadrado. Es efectivo Cuerpo a Cuerpo^ especialmente contra caballeria, pero vulnerable^ al fuego enemigo. Para que las companias^ puedan formar el cuadrado, deben ser ^ al menos 25 en total.^Tipo de Compania: Infanteria de Linea, Guardia.
qstr_pbs_activeability_me|pbs activeability merge
qstr_Merge_Companies^^Sel|Unir Companias^^Las companias seleccionadas (no menos de una)^ van a fusionarse.
qstr_pbs_activeability_di|pbs activeability digin
qstr_Dig_In^^Selected_com|Cavar una trinchera^^Las Companias seleccionadas van a cavar,^creando una trinchera en sus posiciones.^Solo se puede hacer una vez por batalla.^Companias que pueden hacer esto: Infantería de Linea y de Guardia.
qstr_pbs_activeability_co|pbs activeability coveringfire on
qstr_pbs_activeability_ga|pbs activeability gas
qstr_Gas_Attack^^.^Compan|Ataque de Gas^^.^Companias que pueden hacer esto: Cañones de Campaña y Obuses.
qstr_pbs_activeability_gr|pbs activeability grenades
qstr_Grenade_Attack^^Sele|Ataque de Granadas^^Las companias seleccionadas lanzaran un ataque de granadas en un rango de 50 metros, lanzando^granadas de mano a los enemigos que esten cerca.^Se puede hacer cada 3 minutos.^Solo lo pueden hacer las tropas de choque.
qstr_Suppression_fire:_on|Fuego de Supresión: Activado
qstr_Suppression_fire:_of|Fuego de Supresión: Desactivado
qstr_pbs_activeability_cov|pbs activeability coveringfire off
qstr_Suppression_fire:_on/|Fuego de Supresión: Activado/Desactivado
qstr_pbs_activeability_cove|pbs activeability coveringfire onoff
qstr_No_companies_selecte|No hay companias seleccionadas
qstr_pbs_activeability_cover|pbs activeability coveringfire noselected
qstr_{s1}^^Turning_on_sup|{s1}^^Activando el modo de supresión aumentará la cadencia^ y bajará el nivel de disciplina de los enemigos,^y perderas drasticamente la puntería.^Cualquier Compania puede aplicarla.
qstr_Gas_masks:_always_we|Mascaras de Gas: Siempre puestas
qstr_pbs_activeability_gas|pbs activeability gasmasks on
qstr_Gas_masks:_at_will|Mascaras de Gas: Cuando sea necesario
qstr_pbs_activeability_gasm|pbs activeability gasmasks off
qstr_Gas_masks:_always_wea|Mascaras de Gas: Siempre puestas/Cuando sea necesario
qstr_pbs_activeability_gasma|pbs activeability gasmasks onoff
qstr_pbs_activeability_gasmas|pbs activeability gasmasks noselected
qstr_{s1}^^Gas_masks_make|{s1}^^Las mascaras de Gas hacen que las tropas sean invulnerables al gas venenoso pero reduce la puntería y la energia de las tropas.^Cualquier Compania puede aplicarla.
qstr_{reg0}%|{reg0}%
qstr_{reg0}_c.|{reg0} c.
qstr_Cannot_dig_in:_wrong|No se puede Cavar:Las companias no son validas (Solo infanteria de Linea y de Guardia).
qstr_Cannot_launch_gas_at|No se puede Lanzar el ataque de gas: Las companias no son validas (Solo los artilleros pueden usar el ataque de Gas).
qstr_Cannot_launch_grenad|No se puede lanzar el ataque de Granadas: Las companias no son validas (Solo las fuerzas de choque pueden lanzar granadas).
qstr_Select_2_or_more_com|Selecciona 2 o más companias para fusionarlas.
qstr_Others|Otros
qstr_Outlaws|Bandidos
qstr_Mercenary|Mercenarios
qstr_Close|Cerrar
qstr_Click_the_center_but|Hace click en el botón del centro para cambiar de facción^Hace Click en los avatares para ver más información de ellos
qstr_Level:_{reg3}^Health|Level: {reg3}^Health: {reg4}
qstr_Attributes|Atributos
qstr_STR^AGI^INT^CHA|FUE^AGI^INT^CAR
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|Habilidades
qstr_Ironflesh^Power_Stri|Piel Curtida^Fuerza de Golpe^Fuerza de Lanzamiento^Fuerza de Tenzado^Escudo^Atletismo^Montar^Disparo Montado
qstr_Proficiencies|Habilidades en Armas
qstr_1H_Weapons^2H_Weapon|Arma a 1M^Arma a 2M^Enastadas^Arqueria^Rifles^Lanzables
qstr_Equipments|Equipamiento
qstr_Factions|Factiones
qstr_Show_towns|Mostrar Ciudades
qstr_Show_castles|Mostrar Castillos
qstr_Show_villages|Mostrar poblados
qstr_Tip:_move_the_mouse_|Consejo: mueve el mouse a los bloques negros para ver sus nombres.
qstr_The_World_Map|El mapamundi
qstr_Done|Hecho
qstr_Language:|Language:
qstr_English|English
qstr_Russian|Russian
qstr_German|German
qstr_Turkish|Turkish
qstr_Spanish|Spanish
qstr_Italian|Italian
qstr_French|French
qstr_Polish|Polish
qstr_Press_Escape_to_clos|Presione Escape para cerrar el menú...
qstr_Army_of_{s7}|Army of {s7}
qstr_Attribute_points_{re|Puntos de Atributo {reg40}
qstr_Skill_points_{reg41}|Puntos de habilidad {reg41}
qstr_Weapon_points_{reg42|Puntos de habilidad en armas {reg42}
qstr_Save|Guardar
qstr_Reset|Reiniciar
