dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Szeretném elodázni egy úrral való megbeszélésemet, amíg nem tanácskoztam az alattvalóimmal.
dlga_award_fief_to_vassal_defer:close_window|Ahogy óhajtod, {uram/úrnőm}. Dönthetsz ebben az ügyben később is.
dlga_award_fief_to_vassal_2:close_window|Ahogy óhajtod, {uram/úrnőm}. {reg6?Én:{reg7?Te:{s11}}} leszel {s1}  új {reg3?úrnője:ura}.
dlga_event_triggered:center_captured_rebellion|{s1} jelenleg senki kezében nincs. Ki feleljen érte?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Kérlek, {s65}, legyen {s1} a saját birtokom. (hűbérbirtokok: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, legyen {s1} a te birtokod. (hűbérbirtokok: {s0})
dlga_center_captured_rebellion_2:close_window|Hmmm. Rendben, {playername}. Nagyra értékelem javaslatodat. {reg6?Én:{reg7?Te:{s11}}} leszek/leszel {s1} új {reg3?úrnője:ura}.
dlga_start:fighter_talk|Adj' Isten! Harci készségeinket fejlesztjük egy kis edzéssel. Úgy látom, rád férne egy kis gyakorlás. Csatlakozz és mutathatunk pár fogást. Ha kérdésed lenne a harcmodorokkal kapcsolatban, kérdezz és ha megválaszolom a legjobb tudásom szerint.
dlga_start:fighter_talk.1|Mit akarsz gyakorolni?
dlga_fighter_pretalk:fighter_talk|Mondd, milyen jellegű gyakorláshoz van kedved.
dlga_fighter_talk:fighter_talk_train_attack|A támadást akarom gyakorolni.
dlga_fighter_talk:fighter_talk_train_parry|A fegyveres védekezést akarom gyakorolni.
dlga_fighter_talk:fighter_talk_train_combat|Gyakoroljuk a harcot.
dlga_fighter_talk:close_window|[Távozás]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Jól van. Négy fő támadási irány létezik. A lecsapás, a jobbról lendítés, a balról lendítés és a döfés. Most meg fogom mondani, melyik irányból támadj és te megpróbálod végrehajtani a megfelelő támadást. ^^(Nyomd meg a bal egérgombot és mozgasd az egeret a támadás irányának meghatározásához. Például, ha lecsapást szeretnél végrehajtani, felfelé mozgasd az egeret, abban a pillanatban, amikor megnyomtad a bal egérgombot. A képernyőn látható ikonok segítséget nyújtanak a helyes végrehajtáshoz.)
dlga_fighter_talk_train_attack_2:close_window|Készen állok. Kezdjük!
dlga_fighter_talk_train_attack_2:fighter_pretalk|Inkább mást akarok csinálni
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|A pajzzsal ellentétben, ha fegyvereddel hárítasz, csak egy irányból érkező támadást tudsz megállítani. Ha például felfelé hárítasz, a lecsapásokkal szemben védekezhetsz, de az oldalról érkező lendítések és a döfések ellen nem.^^(A hárításhoz nyomva kell tartanod a jobb egérgombot.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Most különböző módon foglak támadni és megvárom, míg végrehajtod a megfelelő hárítást a támadást megelőzően. Próbálj meg minél gyorsabban hárítani. ^^(Ez a gyakorlás egyszerűen megy, ha  beállítod az "automatikus hárítási irányt", amely egyébként az alapértelmezett beállítás. Ha a Beállítások menüben megváltoztatod a védekezés irányát az "egér mozgatásával", vagy "billentyűzet" beállításokra, magadnak kell megválasztanod a hárítás irányát. Ez sokkal nagyobb kihívást jelent, de érdekesebbé is teszi a játékot. A gyakorlás akkor lehet nagyon hasznos, ha ez utóbbi beállításokat használod.)
dlga_fighter_talk_train_parry_3:close_window|Kezdjük. Készen állok!
dlga_fighter_talk_train_parry_3:fighter_pretalk|Inkább mást akarok csinálni
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Az edzés kiváló módszer, ha fel szeretnél készülni az éles harcra. Most nem halálos fegyverekkel küzdünk meg egymással, a küzdelem addig tart, míg egyikünk földre nem kerül. Persze így is begyűjthetsz pár horzsolást, de még mindig jobb, mintha élesben levágnának.
dlga_fighter_talk_train_combat_2:close_window|Kezdjük. Készen állok!
dlga_fighter_talk_train_combat_2:fighter_pretalk|Inkább mást akarok csinálni
dlga_start:fighter_parry_try_again|Jó. Sikeresen hárítottad a támadásaimat. Megismételheted a gyakorlást és megpróbálhatsz egyre gyorsabban hárítani, amíg elégedett nem vagy védekező készségeiddel. Szeretnél még gyakorolni?
dlga_start:fighter_parry_try_again.1|Hát, ez nem ment túl jól, igaz? (Ne feledd, ahhoz, hogy a hárítás sikeres legyen, nem csak le kell nyomnod, de nyomva is kell tartanod a jobb egérgombot.) Megpróbálod még egyszer?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Igen. Próbáljuk meg még egyszer.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Nem, azt hiszem, egyelőre elég ennyi.
dlga_start:fighter_parry_warn|Hahó, pajtás! A védekezést gyakoroljuk! A támadásomat kell kivédened, nem pedig visszatámadnod.
dlga_fighter_parry_warn:fighter_talk_train_parry|Bocsáss meg. Próbáljuk meg még egyszer.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Elnézést. Be kell fejeznem a gyakorlást.
dlga_fighter_talk_leave_parry:close_window|Rendben. Ahogy kívánod.
dlga_start:fighter_combat_try_again|Hát, ez nem ment túl jól, ugye? Semmi gond, de legközelebb ne kövesd el ugyanazokat a hibákat. Megpróbálod még egyszer?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Igen. Jöhet a következő kör.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Nem. Nekem ennyi elég volt.
dlga_fighter_talk_leave_combat:close_window|Hát, rendben. Ha meggondolnád magad, szólj.
dlga_start:fighter_combat_try_again.1|Hé, egész jól öklözöl. Ezúttal elgyőztél, de legközelebb óvatosabb leszek. Megpróbáljuk még egyszer?
dlga_start:fighter_talk.2|Remek. Most már minden irányból tudsz támadni. Ha szeretnéd, megpróbálhatjuk újra, vagy menj tovább egy másik feladathoz.
dlga_start:archer_challenge_2|Nem rossz! Egyáltalán nem rossz! Úgy tűnik, elsajátítottad az íjászat alapjait. Most próbáld meg ugyanezt számszeríjjal. Vedd fel azt a számszeríjat és a nyílvesszőket és lőj arra a három célpontra. A számszeríjjal sokkal könnyebb lőni, mint az íjjal, de minden lövést követően újra kell töltened.
dlga_start:archer_challenge_2.1|Jó. Nem okozott nehézséget a számszeríj használata sem. Most a dobófegyverek használatát tanulhatod meg. Vedd fel azokat a gerelyeket és próbáld meg eltalálni azt a három célpontot.
dlga_start:ranged_end|Nos, elsajátítottad az alapvető készségeket, amelyek a célzófegyverek három típusának használatához szükségesek. Fejlődni innen már a gyakorlással fogsz. Minden egyes nap gyakorolj és idővel ugyanolyan jó leszel, mint Calradia legjobb céllövői.
dlga_ranged_end:close_window|Most, ha még nem tetted volna meg, menj és beszélj a közelharcosokkal, vagy a lovas kiképzővel. Tőlük is fontos készségeket tanulhatsz.
dlga_start:archer_talk|Jó napot neked, ifjú barátom. Napjaimat azzal töltöm, hogy megtanítom a célzófegyverek használatát azoknak, akik hajlandóak tanulni. Ha oktatóra lenne szükséged, szólj, és megtanítom, hogyan használd az íjat, a számszeríjat és a gerelyt.
dlga_archer_talk:archer_challenge|Igen. Mutasd meg, hogy használjam a lőfegyvereket.
dlga_archer_talk:close_window|Nem, ne most.
dlga_archer_challenge:archer_challenge_2|Rendben. Először az íjászatot tanuljuk meg. Az íjászatban nehéz kitűnni, ám ha már elég jó vagy benne, gyorsan és nagy erővel tudsz lőni. Menj, vedd az íjat és a nyilakat és lőj azokra a célpontokra.
dlga_archer_challenge_2:close_window|Rendben. Készen állok.
dlga_archer_challenge_2:close_window.1|Egy perc. Előbb inkább mást csinálnék.
dlga_start:horseman_melee_challenge_2|Remélem, tetszett a lovaglás. Most egy kicsit nehezebb dolgot gyakorlunk. Ragadd meg azt a dárdát és lovagolj körbe a pályán, úgy, hogy mindegyik célpontot legalább egyszer eltalálod.
dlga_start:horseman_melee_challenge_2.1|Szép! Sikerült lóhátról eltalálnod mindegyik célpontot. Ez nem túl könnyű feladat egy kezdőnek. A következő körben íjat és nyilakat fogsz használni, és el kell találnod az út melletti céltáblákat. Ahhoz, hogy sikerrel járj, mindegyik célba legalább egy nyilat bele kell lőnöd.
dlga_start:horsemanship_end|Nagyon jó. Sikerült mindegyik célpontot eltalálnod lóhátról. Lovagolj tovább, gyakorolj minden nap és idővel tapasztalt lovas válik belőled.
dlga_horsemanship_end:close_window|Most menj és beszélj  a közelharcosokkal, vagy az íjász kiképzővel, ha még nem tetted volna meg. Mindent meg kell tanulnod, amit csak lehet, hogy felkészülten védhesd meg magad, ha kell.
dlga_start:horseman_talk|Jó napot! A lovaglást jöttem gyakorolni, de annyira sajognak vén csontjaim, hogy úgy döntöttem, ma pihenőnapot tartok. Ha a lovaglást szeretnéd gyakorolni, vidd csak el a lovam. Jót fog tenni neki egy kis edzés. 
dlga_horseman_talk:horseman_challenge|Igen, szeretném gyakorolni a lovaglást.
dlga_horseman_talk:close_window|Hm. Talán később.
dlga_horseman_challenge:horseman_melee_challenge_2|Jó. Most adok pár feladatot, amelyek során elsajátíthatod a lovaglást és azt, hogy használd fegyvereid lóhátról. Az első feladat egyszerű. Menj ki a lóval a pályára. Olyan lassan, vagy gyorsan menj, ahogy csak szeretnél. Gyere vissza, ha magabiztosan ülsz a nyeregben és kapsz néhány nehezebb feladatot.
dlga_horseman_melee_challenge_2:close_window|Rendben. Készen állok.
dlga_horseman_melee_challenge_2:close_window.1|Egy perc. Előbb más dolgom van.
dlga_tutorial_troop_default:close_window|Hé, én itt gyakorolni próbálok. Menj, beszélj az íjász kiképzővel, ha többet szeretnél megtudni a lőfegyverekről.
dlga_start:lord_prison_break_confirm_3|Változott a terv?
dlga_start:lord_prison_break|Mi folyik itt?
dlga_start:drunk_response|Mit nézel?
dlga_start:drunk_response.1|Engem bámulsz?
dlga_player_duel_response:close_window|Micsoda pazarlás...
dlga_player_duel_response:close_window.1|Inkább ő, mint én.
dlga_drunk_response:drunk_fight_start|Nem vagyok benne biztos... Minden bizonnyal valamiféle állatot.
dlga_drunk_response:drunk_fight_start.1|Bocsáss meg, kérlek, fogadd el bocsánatkérésemet
dlga_drunk_fight_start:close_window|Letörlöm azt a vigyort a képedről!
dlga_drunk_response:drunk_player_high_renown|Van fogalmad róla, ki vagyok én?
dlga_drunk_player_high_renown:drunk_fight_start|És kit érdekel?
dlga_drunk_player_high_renown:drunk_player_high_renown|Öhm... Ami azt illeti... Igen, nagyon is jól tudom, ki vagy {uram/hölgyem}. Kérlek, légy kegyes és bocsásd meg nekem. Nyilván az ital tette. Most távozom.
dlga_drunk_player_high_renown:drunk_fight_start.1|Miért, ha küzdeni akarsz, ám legyen!
dlga_drunk_player_high_renown:close_window|Meggondoltam. Most tágulj innen!
dlga_start:fistfight_response|Olyan {fickónak/nőszemélynek} tűnsz, aki elbír pár kemény ütést, és adni sem rest, ha kell. Lenne egy üzleti ajánlatom számodra.
dlga_fistfight_response:fistfight_response_2|Mit szólsz?
dlga_fistfight_response_2:fistfight_response_2a|Remek. Örülök, hogy érdekel. Íme, a terv... Egy kissé bonyolult, szóval jól figyelj.
dlga_fistfight_response_2a:fistfight_response_3|Te ezzel a fickóval csetepatét kezdeményezel, itt. Semmi fegyver, semmi páncél. Én hátradőlök, és fogadásokat kötök, a hasznot megosztom a győztessel. Ha veszítünk, én állom. Semmit sem veszíthetsz, persze, egy kis vért kivéve.
dlga_fistfight_response_3:fistfight_response_4|Persze nem tudjuk úgy megszervezni, mint egy arénabeli csörtét, ahol mindenki előre teszi meg tétjét. Bejönnek, idevonzza őket a hangzavar, feltesznek pár dénárt arra, akit győztesnek tippelnek. Azonos szorzót adok mindenkinek, különben túl furfangosnak tűnne azok számára, akik már legurítottak három kancsó sört. 
dlga_fistfight_response_4:fistfight_response_4a|Amint látod, az benne a furfang, hogy a lehető legtovább elhúzzuk azt az időt, amikor úgy néz ki, vesztésre állsz és az emberek ellened fogadnak. Aztán gyorsan feltámadsz és nyersz, még mielőtt észbe kapnának. Úgy kereshetünk a legjobban, ha majdnem a földre kerülsz, aztán talpra ugrasz és lenyomod a másik fickót. Persze, ahhoz, hogy te és én is pénzt keressünk, a végén nyerned kell.  
dlga_fistfight_response_4a:fistfight_response_5|Persze nem húzhatod túl sokáig a harcot, mert az emberek bundát fognak gyanítani. Valamelyikőtöknek mindig be kell kapnia egy-egy ütést. Nem érdekel, kinek a vére, de vérnek kell folynia.
dlga_fistfight_response_5:fistfight_response_5a|És még egy dolog... a cimborám, az ellenfeled, nem bonyolítja túl a dolgokat. Egyenesen neked fog rontani, a sallangokat neked kell hozzáadnod.
dlga_fistfight_response_5a:fistfight_response_confirm|Nos, mit gondolsz?
dlga_fistfight_response_confirm:close_window.1|Van jobb dolgom is.
dlga_start:ramun_introduce_1|Szép napot, {fiatalember/ifjú hölgy}.;
dlga_ramun_introduce_1:ramun_introduce_2|Bocsáss meg, kereskedőnek néznélek, de nem látom sehol az árudat.
dlga_ramun_introduce_1:close_window|Nem érdekes.
dlga_ramun_introduce_2:ramun_introduce_3|Kereskedő? Ó, igen, bizony az vagyok. Ám az árum egy kicsit más, mint a megszokottak. Etetni és itatni kell kétszer egy nap, és elszökik, ha nem figyelek rá.
dlga_ramun_introduce_3:ramun_introduce_4|Jószág?
dlga_ramun_introduce_4:ramun_introduce_5|Olyasmi. Szívesen hívom úgy magam: az ember, aki eme óceán minden hajóját mozgatja. A hajókat evezők hajtják, és tudod, az evezőkhöz emberek kellenek, akik húzzák, különben nem jutnak előre. Itt jövök én a képbe.
dlga_ramun_introduce_5:ramun_introduce_6|Gályarabszolgák!
dlga_ramun_introduce_6:ramun_introduce_7|Most már érted! Egy ilyen kereskedőváros nem élhet nélkülük. A hajók minden úton elvesztenek pár embert, így mindig magas az igény. A kapitányok hozzám fordulnak, és jól fizetnek.
dlga_ramun_introduce_7:ramun_introduce_8|És honnan szerzed be a rabszolgákat?
