menu_start_game_0|Üdvözöllek a Mount & Blade-ben, kalandor! Mielőtt belekezdenél, alkoss magadnak egy karaktert! A játékban bemutatott tradicionális középkori társadalmakban a harci és politikai tisztségeket általában nemes férfiak töltötték be. Ez természetesen nem azt jelenti, hogy a játékhoz nem választhatsz női hőst, vagy közembert. A játék kezdetén a nemesek könnyebben jutnak előrébb, de ugyanúgy elérhető marad az összes cél a nők és a polgárok számára is - egy nagyobb kihívást rejtő kezdet után a játék is sokkal érdekesebb és izgalmasabb lehet.
mno_continue|Folytatás...
mno_go_back|Vissza
menu_start_phase_2|Történeteket hallasz Calradiáról, az egymással harcoló rivális királyságok földjéről, lovagok és zsoldosok, bérgyilkosok és kalandorok lakhelyéről, ahol mindenki az életét kockáztatja a gazdagságért, ahol csak a pénz, a hatalom és a dicsőség számít... Hiszel benne, hogy ezen a nagy veszélyeket rejtegető, ugyanakkor nagy lehetőségekkel is kecsegtető földön múltadat hátrahagyva új életet kezdhetsz. Úgy érzed, jövőd kulcsát a kezedben tartva, szabadon választhatod meg, mit miért teszel, és bárhogyan is lesz, nagyszerű kalandok elé nézel. A Calradiáról és királyságairól hallott történetektől megbabonázva... 
mno_town_1|egy karavánhoz csatlakozol, ami Pravenbe, a Swadiai Királyságba tart.
mno_town_2|egy karavánnal Reyvadinba utazol, a Vaegir Királyságba.
mno_town_3|egy karavánnal Tulgába utazol, a Khergit Kánságba.
mno_town_4|Sargothba hajózol, a Nord Királyságba.
mno_town_5|Jelkalába hajózol, a Rhodok Királyságba.
mno_town_6|egy karavánnal Sharizba, a Sarranida Szultánságba utazol.
menu_start_game_3|Válassz kerettörténetet:
mno_go_back|Vissza
menu_tutorial|Egy rétre érkezel, ahol a helyiek épp a fegyverforgatást gyakorolják. Ha csatlakozol, fejlesztheted harci képességeidet. 
mno_continue|Folytatás...
mno_go_back_dot|Vissza
menu_reports|A hős hírneve: {reg5}^Megbecsültség: {reg6}^Sereg harci szelleme: {reg8}^Sereg maximális létszáma: {reg7}^
mno_view_character_report|Karakterjelentés megtekintése.
mno_view_party_size_report|Sereg létszámáról készült jelentés megtekintése.
mno_view_npc_mission_report|Társak küldetéseiről készült jelentés megtekintése.
mno_view_weekly_budget_report|Heti pénzügyi jelentés megtekintése.
mno_view_morale_report|Sereg harci szelleméről készült jelentés megtekintése
mno_lord_relations|A rokoni kapcsolatban lévő urak listájának megtekintése.
mno_courtship_relations|Udvarlási viszonyok megtekintése.
mno_view_faction_relations_report|Érdekcsoportok közötti viszonyok megtekintése.
mno_resume_travelling|Utazás folytatása.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|A csata véget ért. {s1} Sereged {reg5} ellenséget mészárolt le, miközben {reg6} egységet veszített a küzdelem során. . Személyesen {reg7} embert öltél meg a harcban. 
mno_continue|Folytatás.
menu_start_game_1|Válaszd ki a hősöd nemét!
mno_start_male|Férfi
mno_start_female|Nő
mno_go_back|Vissza
menu_start_character_1|Sok évvel ezelőtt jöttél világra, egy messzi országban. Apád valaha...
mno_start_noble|elszegényedett nemes volt.
mno_start_merchant|utazó kereskedő volt.
mno_start_guard|sokat megélt katona volt.
mno_start_forester|vadász volt.
mno_start_nomad|pusztai nomád volt.
mno_start_thief|tolvaj volt.
mno_go_back|Vissza
menu_start_character_2|{s10}^^ Alighogy járni és beszélni tudtál, már élénken tanulmányoztad a téged körülvevő világot. Fiatalkorodban... 
mno_page|apródként szolgáltál egy nemes úr udvarában.
mno_apprentice|kézműves-inasként dolgoztál.
mno_stockboy|bolti eladó voltál.
mno_urchin|utcagyerekként éltél.
mno_nomad|a pusztában éltél.
mno_go_back|Vissza.
menu_start_character_3|{s11}^^ Felnőtté válásod természetesen változásokat hozott. Ekkor vált belőled...
mno_squire|földesúr.
mno_lady|udvarhölgy.
mno_troubadour|trubadúr.
mno_student|egyetemi hallgató.
mno_peddler|házaló kereskedő.
mno_craftsman|kovács.
mno_poacher|orvvadász.
mno_go_back|Vissza.
menu_start_character_4|{s12}^^De hamarosan mindent hátrahagyva úgy határoztál, ezentúl kalandozóként próbálsz érvényesülni. Döntésedben jelentős szerepet játszott... 
mno_revenge|a személyes bosszú.
mno_death|kedvesed elvesztése.
mno_wanderlust|a vándorlás utáni vágy.
mno_disown|hogy elüldöztek otthonodból.
mno_greed|a pénzéhség és a hatalomvágy.
mno_go_back|Vissza.
menu_choose_skill|{s13}
mno_begin_adventuring|Kezdd meg a kalandor életedet és indulj el a sorsod útján.
