str_no_string|NINCS SZÖVEG!
str_empty_string| 
str_yes|Igen.
str_no|Nem.
str_blank_string| 
str_noone|senki
str_s50_and_s51|{s50} és {s51}
str_s52_and_s51|{s52} és {s51}
str_s5_s_party|{s5} serege
str_given_by_s1_at_s2|{s1} adta {s2} közelében.
str_given_by_s1_in_wilderness|{s1} adta a mezőn.
str_s7_raiders|{s7} zsiványok
str_bandits_eliminated_by_another|A bajkeverő banditákat egy másik csapat eliminálta.
str_msg_battle_won|Megnyerted a csatát! Nyomd le a TAB gombot a kilépéshez...
str_tutorial_map1|Véletlenszerű
str_randomize|Most a birodalom térképét látod. Ha el akarsz jutni valahová, be akarsz lépni egy városba, vagy üldözni akarsz valakit, kattints a bal egérgombbal a megfelelő pontra. Ha a csapatod nem mozog, vár vagy pihen, az idő sem múlik. Ha valahol várakozni akarsz, egyszerűen nyomd le, és tartsd lenyomva a szóköz billentyűt.
str_charge|Megbízatás
str_color|Szín
str_flip_horizontal|Vízszintes tükrözés
str_flip_vertical|Függőleges tükrözés
str_hold_fire|Tüzelés beszüntetése
str_blunt_hold_fire|Tüzelés enyhítése/beszüntetése
str_tutorial_ammo_refilled|Lövedék feltöltve.
str_tutorial_failed|Ezúttal legyőzettél, de ne ess kétségbe! Kövesd pontosan az utasításokat, és legközelebb sikerrel jársz. Nyomd meg a TAB gombot, hogy visszalépj a menübe, és újraindíthasd ezt az oktatórészt.
str_finished|(Kész)
str_delivered_damage|Okozott sebzés: {reg60}
str_archery_target_hit|Távolság: {reg61} yard. Pontszám: {reg60}
str_use_baggage_for_inventory|Harc közben a málhádat - melyet a kiindulási helyeden találhatsz - használva érheted el a készletedet.
str_cant_use_inventory_now|Most nem nyithatod meg a készletet.
str_cant_use_inventory_arena|Az arénában nem nyithatod meg a készletet.
str_cant_use_inventory_disguised|Álruhába öltözve nem nyithatod meg a készletet.
str_cant_use_inventory_tutorial|A kiképzőtáborban nem nyithatod meg a készletet.
str_1_denar|1 dénár
str_reg1_denars|{reg1} dénár
str_january_reg1_reg2|{reg2}. január {reg1}.
str_february_reg1_reg2|{reg2}. február {reg1}.
str_march_reg1_reg2|{reg2}. március {reg1}.
str_april_reg1_reg2|{reg2}. április {reg1}.
str_may_reg1_reg2|{reg2}. május {reg1}.
