ip_morale|Harci szellem
ip_morale_text|A harci szellem egy seregben lévő katonák képességeit és akaraterejét jelzi, amely összegzi mindazt a kitartást, bátorságot és fegyelmet, amire a csata és a menetelés jelentette megerőltetéssel kapcsolatosan szükségük van. Nem jelent egyet a katonák jókedvével. Az elit katonák lehet, hogy morgolódnak és nyavalyognak a hadjáratok nehézségein, ám végül egységbe kovácsolódnak, amikor kezdetét veszi az ütközet. Másfelől, ha a parancsnok mindent megad embereinek, amit azok akarnak, azok elpuhulhatnak és már az ellenség támadása előtt feladhatják a küzdelmet.^^ A harci szellem leginkább a sereg csaták során tanúsított viselkedésére hat ki, meghatározza, milyen agresszíven rontanak a katonák az ellenségre és milyen valószínűséggel törnek és futamodnak meg, ha kedvezőtlenül alakul a csata menete. A harci szellem befolyással van a sereg menetelési sebességére is, mivel a kevésbé motivált sereg lassabban mozog, mert tagjai nem fizikai teljesítőképességük határán egyensúlyoznak, sokkal többször tartanak pihenőt és várják be a lemaradókat. Végül, a nagyon alacsony harci szellemű seregben gyakoribb a dezertálás.^^ Néhány tényező, ami befolyásolja a harci szellemet, ösztönös. Például egy karizmatikus parancsnok, aki megnyert csatáiról híres, önbizalommal tölti el katonáit. Azok a vezetők, akik bőséges és változatos étkezést tudnak biztosítani, időben fizetnek, kimutatják, hogy törődnek embereik jólétével és kevésbé valószínű, hogy katasztrófába vezetik a sereget.^^ Más tényezők kevésbé intuitívak, különösen azok, amelyek egy sereg csapatszellemére, összetartására vonatkoznak. Egy kisebb, egymáshoz szorosabban kötődő seregben például az emberek még a túlerővel dacolva is keményen fognak küzdeni, nehogy bajtársaik gyávának gondolják őket. Másfelől, egy nagy seregben kisebb az összetartó erő, mivel a parancsnoknak kevesebb ideje jut emberei felügyeletére, panaszaik meghallgatására és vitáik feloldására. A gyakori csaták erősítik a katonák közötti köteléket, míg a hosszú, harc nélküli időszakok alatt a katonák elunják magukat és sokat vitáznak.^^ A harci szellemről készült jelentés, amit a jelentések gomb lenyomásával érhetsz el, érzékelteti az embereid harci szelemére ható tényezőket.    
ip_economy|Gazdaság
ip_economy_text|Calradia városainak és falvainak egy sor különböző árucikkre van szüksége, hogy egészségesek és termékenyek maradhassanak. A legfontosabb ezek közül az élelem. A gabona Calradia fő terménye, de az embereknek zsírra és fehérjére is szükségük van hús, hal vagy sajt formájában. Majdnem ugyanakkora munka tartósítani a húst, mint előállítani, így a sóra is nagy mennyiségben lesz szükség. Az élelem után következik a ruházat: a nehéz gyapjú, a könnyebb lenvászon, vagy a luxuscikknek számító bársony. Végül az embereknek szerszámokra, eszközökre is szükségük van, amelyekkel kereskedhetnek: vasáru, fazekas termékek, bőráruk és persze a fegyverek, páncélok és lovak.^^A legtöbb mezőgazdasági terméket a falvak állítják elő, míg a városi kézművesek az olyan javak előállítására szakosodtak, mint a ruhaanyagok és vasáruk. Persze az ország különböző vidékein különböző erőforrások állnak rendelkezésre. Következésképpen Calradiában a gazdagság kulcsa a kereskedelem, mind a falvak, mind a városok, mind pedig a jelentősebb városok között.^^ Ha a kereskedelem gördülékenyen működik, az áruk mindenhol kaphatóak és elérhetőek lesznek, a központok lakossága egészséges és energikus lesz, és özönlenek a bevándorlók a közeli régiókból. A központ többet termel, többet fogyaszt és több adót képes fizetni urainak. Ha a kereskedelem leáll, a munkások a falvakból és a városokból kiáramlanak és máshol keresnek munkát, a gazdasági aktivitás pedig stagnálni fog. Így az uralkodók érdeke is, hogy megvédjék a kereskedelmi útvonalakat a háborúktól és a zsiványoktól. Ugyanakkor az okos kalmár olyan városokat keres, amelyek elszigetelődtek az ország többi részétől, így szép ki haszonra tehet szert a kiegyensúlyozatlan árak miatt.^^ Mivel a falusiak rendszerint a városi piacokon tervezik értékesíteni árujukat, a falusi piacok csendes helyek, a falusiak olcsón vesznek és drágán adnak. A komoly kalmárok a városokra összpontosítanak, ahol haszonra tehetnek szert, bár nyilván lesznek olyanok, akik pihenőt tartanak egy-egy faluban készleteik feltöltése végett.^^Ha többet akarsz megtudni a régió gazdagságát befolyásoló tényezőkről, beszélhetsz a város céhmesterével. További információt szerezhetsz járókelőktől is, ám ők általában csak saját áruikkal kapcsolatban tudnak felvilágosítást adni.
ip_courtship|Udvarlás
ip_courtship_text|Szóba kerülhet, hogy beházasodj Calradia nemesi családjai valamelyikébe. A házasság nem feltétlenül szükséges a felemelkedéshez, de lehetőséget biztosít a játékos számára, hogy javítsa viszonyát a főurakkal és trónigénnyel állhasson elő.^^ A házassággal kapcsolatos elvárások nem azonosak férfiak és nők tekintetében. A férfi szereplő rendszerint a hagyományos udvarlás útját választja. Hírnevet szerez magának a calradiai arisztokrácia köreiben, jó viszonyt alakít ki a menyasszony szüleivel, vagy gyámjaival, majd a helyi szokások szerint kéri meg a hölgy kezét. Ha türelmetlenné válsz, beiktathatsz kitérőket, ám ennek kihatásai lesznek a más főurakkal ápolt viszonyaidra.^^ A férfi szereplőnek szem előtt kell tartania, hogy a többi főúr vetélytársként tekint rá királyság hölgyeinek kegyeiért folytatott versenyben. Mindemellett a hölgyek ízlése is kiszámíthatatlan, és a játékos is kerülhet olyan helyzetbe, hogy szerelme nem viszonozza érzelmeit. A románc Calradiában sem mindig virágzik. Természetesen te is folyamodhatsz más, kevésbé úriemberre valló eszközökhöz az áhított hölgy szívének elnyerése érdekében, de ennek komoly kihatása lehet hírnevedre.^^ Az udvarlás ösvényén elindulva először bele kell folynod a calradiai arisztokrácia társadalmi életébe, ellátogatni lakomákra, lovagi tornákra. A vándortrubadúrok és költők is hasznos információforrást jelenhetnek az udvarlással kapcsolatban, és mindig ismerik a legújabb pletykákat.^^ A női szereplők is megházasodhatnak, de szem előtt kell tartaniuk, hogy Calradia társadalma roppant mód hagyománytisztelő és a kalandorlét nem éppen megszokott életmód egy hölgy részéről. A női szereplőnek eltarthat egy darabig, mire talál egy megfelelőképpen nyílt gondolkodású főurat, aki nőül veszi.^^ Persze ennek a jó oldala az, hogy a női szereplőnek nem kell végigmennie az udvarlás kimunkált rítusain és akár jobban is járhat a házassággal, mint párja. Egy női kalandor számára a házasság gyors utat jelenthet a hatalomba, és egy kellőképpen gátlástalan szereplő férjét eszközként is használhatja politikai ambíciói kiteljesítéséhez. 
ip_politics|Politika
ip_politics_text|Calradia birodalmai, bár különböző kultúrával rendelkeznek, mind hasonló politikai berendezkedéssel bírnak, ennek neve feudalizmus. A feudalizmus az egyének kapcsolatán alapszik: a vazallus hűbérurának tett hűségesküjén. Az esküért cserébe a vazallus általában hűbérbirtokot kap, egy darab földet, amelynek jövedelmét serege felállítására használhatja, amellyel hűbérura oldalán száll harcba annak háborúi során. A hűbérúr köteles megvédeni vazallusait és igazságosan bánni velük.^^Elméletben legalábbis így kellene működnie. A gyakorlatban a vazallusok nem mindig érdekcsoportjaik érdekét szem előtt tartva cselekszenek, különösen, mivel egymással is gyakran civódnak. A nemesek személyiségei eltérőek, és néha ezek konfrontálódnak. Az is előfordulhat, hogy két, egykor baráti viszonyt ápolt nemes egy vereség, vagy hanyatlás okán összevész, vagy akár azon, hogy ugyanannak a hölgynek csapják a szelet. A féltékenység felmerülhet a király kegyeiért folytatott versengés során is, esetleg újonnan elfoglalt földek, vagy az áhított tábornagyi tisztség (ő az a főúr, aki a nagyszabású hadjáratokat készíti elő) kiosztása kapcsán.^^Ha Calradia egyik birodalma háborút indít egy másik ellen, minden királyságok politikai egysége is ugyanolyan fontos a végkimenetel szempontjából, mint a katonák száma és minősége. Az összetartó királyságban a nemesek nagy erőket egyesítenek, hogy elsöpörjék ellenfeleiket. Egy kicsinyes civódásokkal megosztott királyságban a főurak esetleg nem reagálnak a tábornagy hívó szavára, vagy ha nem megy jól a hadjárat, hajlamosak elveszni saját ügyeikben. Az érdekcsoportok politikai összetartó ereje akkor is hatással van a hadviselésre, amikor épp nem folytatnak hadjáratot. Egy megosztott érdekcsoport esetében a főurak kisebb valószínűséggel fognak együtt portyázni és őrjáratozni, vagy egymás segítségére sietni.^^Ha úgy tűnik, a nemesek inkább civódnak és perlekednek, amikor az ellenség már a láthatáron van, ne feledd, hogy végső esetben a nemes nem elsősorban érdekcsoportjához, vagy kultúrájához hű, hanem magához és családjához. Ha a nemes attól tart, hogy érdekcsoportja összeomlik, vagy ha hűbérura elhanyagolja, rendszerint talál okot arra, hogy visszavonja  hűségesküjét és átálljon a másik oldalra. Ezt mindig célszerű észben tartanod, mivel mindig adódnak lehetőségek, hogy az elégedetlen egykori ellenségeidből szövetségest faragj.
ip_character_backgrounds|Karakter hátterek
ip_character_backgrounds_text|Calradiában egy sor különböző társadalmi háttér közül választhatsz. A választás nemcsak kezdeti képességeidet és felszerelésedet határozza meg, de kalandori életpályádat is.^^A háborút és a politikát Calradiában hagyományosan az arisztokrata férfiak uralják. Egy nemesi származású szereplőt egész gyakran hívnak meg a "klubba", ám a nők és a közemberek további akadályokba ütközhetnek e téren. Ha nemes férfiként kezded meg a játékot, azt akár "könnyű" nehézség fokozatnak is veheted. Nemes asszonyként, vagy köznépi származású férfiként már nehezebb dolgod lesz, míg köznépi származású nőként kezdve a játékot szembesülhetsz a legnagyobb kihívással.^^Ugyanakkor a női nemnek is megvannak a kezdeti előnyei. A női szereplő már pusztán a fegyverbe vonulással magára vonja a figyelmet, így gyorsabban építheti fel karrierjét férfitársainál. Mindemellett egy nőnek hagyományosan könnyebb dolga van házasságkötéssel feljebb jutni a társadalmi ranglétrán, mint egy férfinak és egy nő többet is profitálhat egy stratégiai jellegű szövetség okán kötött házasságból, mint férfi párja.^^Végül, ne feledd, hogy a játék nem korlátozza felemelkedésedet a társadalmi ranglétrán a származás alapján. Nemes, vagy közember, férfi, vagy nő, házas, vagy egyedülálló, bárki Calradia új uralkodójává válhat, ha megvan benne a kellő bátorság, elég szerencsés, vagy élelmes.  
ip_military_campaigns|Katonai hadjáratok
