imod_plain|egyszerű %s
imod_cracked|megrepedt %s
imod_rusty|rozsdás %s
imod_bent|elhajlott %s
imod_chipped|törött %s
imod_battered|szétvert %s
imod_poor|szegény %s
imod_crude|nyers %s
imod_old|régi %s
imod_cheap|olcsó %s
imod_fine|finom %s
imod_well_made|jó minőségű %s
imod_sharp|éles %s
imod_balanced|kiegyensúlyozott %s
imod_tempered|edzett %s
imod_deadly|halálos %s
imod_exquisite|kitűnő %s
imod_masterwork|mesteri %s
imod_heavy|nehéz %s
imod_strong|erős %s
imod_powerful|hatalmas %s
imod_tattered|rongyos %s
imod_ragged|kopott %s
imod_rough|durva %s
imod_sturdy|robusztus %s
imod_thick|vastag %s
imod_hardened|keményített %s
imod_reinforced|megerősített %s
imod_superb|remek %s
imod_lordly|előkelő %s
imod_lame|béna %s
imod_swaybacked|görbe hátú %s
imod_stubborn|makacs %s
imod_timid|félénk %s
imod_meek|szelíd %s
imod_spirited|talpraesett %s
imod_champion|bajnoki %s
imod_fresh|friss %s
imod_day_old|egynapos %s
imod_two_day_old|kétnapos %s
imod_smelling|bűzlő %s
imod_rotten|rothadt %s
imod_large_bag|nagy halom %s
