pt_none|senkise
pt_rescued_prisoners|Kiszabadított rabok
pt_enemy|Ellenség
pt_hero_party|Hősök csoportja
pt_village_defenders|Falubeli önkéntesek
pt_cattle_herd|Marhagulya
pt_looters|Fosztogatók
pt_manhunters|Fejvadászok
pt_steppe_bandits|Pusztai zsiványok
pt_taiga_bandits|Tundrai zsiványok
pt_desert_bandits|Sivatagi zsiványok
pt_forest_bandits|Erdei zsiványok
pt_mountain_bandits|Hegyi zsiványok
pt_sea_raiders|Tengeri rablók
pt_deserters|Szökevények 
pt_merchant_caravan|Kereskedő karaván
pt_troublesome_bandits|Veszélyes zsiványok
pt_bandits_awaiting_ransom|Váltságdíjra váró zsiványok
pt_kidnapped_girl|Elrabolt lány
pt_village_farmers|Falusi földművesek
pt_spy_partners|Rosszarcú utazók
pt_runaway_serfs|Szökött jobbágyok
pt_spy|Egyszerű városi polgár
pt_sacrificed_messenger|Feláldozott futár
pt_forager_party|Rekvirálók
pt_scout_party|Felderítők
pt_patrol_party|Őrjárat
pt_messenger_party|Futár
pt_raider_party|Rablók
pt_raider_captives|Rablók foglyai
pt_kingdom_caravan_party|Karaván
pt_prisoner_train_party|Rabszállító
pt_default_prisoners|Közönséges rabok
pt_routed_warriors|Elfogott zsiványok
pt_center_reinforcements|Utánpótlás
pt_kingdom_hero_party|Hadsereg
pt_steppe_bandit_lair|Pusztai zsiványok búvóhelye
pt_taiga_bandit_lair|Tundrai zsiványok búvóhelye
pt_desert_bandit_lair|Sivatagi zsiványok búvóhelye
pt_forest_bandit_lair|Erdei zsiványok tábora
pt_mountain_bandit_lair|Hegyi zsiványok rejteke
pt_sea_raider_lair|Tengeri rablók kikötője 
pt_looter_lair|Emberrablók rejteke
pt_leaded_looters|Fosztogatók csoportja
