qstr_Next_Page|Következő oldal
qstr_Game_Rules:^|Szabályok:^
qstr_0|0
qstr_Show_game_rules|Szabályok mutatása
qstr_Continue...|Tovább...
qstr_Candidate_#1:_{s1}|1. jelölt: {s1}
qstr_Candidate_#2:_{s1}|2. jelölt: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3}, {s4} ura, új marsallt kíván választani és gyűlésre hívja hűbéreseit. A jelöltek: {s1} és {s2}.
qstr_Who_do_you_wish_to_s|Kit kívánsz támogatni?
qstr_{s1}_gives_his_suppo|{s1} azt szeretné, ha {s2} lenne a választott.
qstr_Number_of_Supporters|Támogatók száma: {reg0}
qstr_{s2}_has_heard_his_v|{s2} meghallgatta a hűbéresi gyűlést. Ezek után {s1} lett {s3} marsallja.
qstr_Action|Cselekvés
qstr_Mount|Lóra
qstr_Attack_Type|Támadásfajta
qstr_Stand_Ground|Őrizd a pozíciót!
qstr_Charge|Támadás!
qstr_Follow_Me|Kövessetek!
qstr_Hold_This_Position|Tartsd a pozíciót!
qstr_Spread_Out|Szétszóródni!
qstr_Stand_Closer|Közelebb!
qstr_Fall_Back|Vissza!
qstr_Advance|Előrenyomulás!
qstr_Dismount|Lóról le!
qstr_Fire_At_Will|Egyestűz!
qstr_Hold_Your_Fire|Tüzet szüntess!
qstr_Use_Blunt_Weapons|Ütőfegyverek használata
qstr_Use_Any_Weapon|Szabad fegyverhasználat
qstr_Ready|Kész
qstr_Wounded|Sebesült
qstr_Dead|Halott
qstr_Number_of_men_knocke|Elesettek száma: {reg1}
qstr_Number_of_men_left:_|Életben maradtak száma: {reg1}
qstr_Opponents_Beaten:_{r|Legyőzött ellenfelek: {reg1}
qstr_Opponents_Remaining:|Megmaradt ellenfelek: {reg1}
qstr_Remain_in_retirement|Visszavonult életmód folytatása
qstr_Go_back_to_the_adven|Kalandozás folytatása.
qstr_You_have_retired_at_|A {reg4}. szint elérését, és {reg5} nap kalandozást követően vonultál vissza.
qstr_Effect_on_Score|Hatás az eredményre
qstr_Settlements_owned_by|Birtokolt  települések: {reg0}
qstr_Friendly_Settlements|Szövetséges települések: {reg0}
qstr_Hostile_Settlements:|Ellenséges települések: {reg0}
qstr_Friendly_Lords:_{reg|Baráti földesurak: {reg0}
qstr_Enemy_Lords:_{reg0}|Ellenséges földesurak: {reg0}
qstr_Victories:_{reg0}|Győzelmek: {reg0}
qstr_Defeats:_{reg0}|Vereségek: {reg0}
qstr_Quests_Completed:_{r|Befejezett küldetések: {reg0}
qstr_Companions_Found:_{r|Társak: {reg0}
qstr_Companions_Lost/Depa|Kivált/elhagyott társak: {reg0}
qstr_Wealth:_{reg0}_denar|Vagyon: {reg0} dénár
qstr_Inventory:_{reg0}_de|Felszerelés: {reg0} dénár
qstr_Renown:_{reg0}|Hírnév: {reg0}
qstr_Experience:_{reg0}|Tapasztalat: {reg0}
qstr_Days_Passed:_{reg0}|Eltöltött napok: {reg0}
qstr_Difficulty:_{reg0}%|Nehézségi szint: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|ÖSSZES PONTSZÁM: {reg0}
qstr_None|Nincs
qstr_{s1}_of_{s3}_was_def|{s1}, {s3} elvesztette a csatát, de sikerült elmenekülnie.
qstr_{s54}_is_a_claimant_|{s54} {s56} trónjának várományosa.
qstr_nowhere|sehová
qstr_{s57}_and_{s58}|{s57} és {s58}
qstr_{reg3?She:He}|{reg3?Ő:Ő}
qstr_The_town_of_{s50}|{s50} városa
qstr_The_village_of_{s50}|{s50} falu {s52} közelében
qstr_{s51}_belongs_to_{s1|{s51} {s1}, {s2} tulajdona.^
qstr_{s7}_and_{s8}|{s7} és {s8}
qstr_{s2}It_has_no_villag|{s2}Nincsenek falvai.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?A falvai:A faluja} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Gazdagsága: {s50}
qstr_noone|senki
qstr_{s9}_and_{s10}|{s9} és {s10}
qstr_{s5}_has_been_defeat|{s5} vereséget szenvedett!
qstr_{s7}_opened_the_gate|{s7} kinyitotta a kaput
qstr_{s7}_closed_the_gate|{s7} bezárta a kaput
qstr_+{reg1}_to_party_mor|+{reg1} harci szellem pont
qstr_Requires_{reg1}_inte|Az elolvasása {reg1}. szintű intelligenciát igényel.
qstr_Reading_Progress:_{r|Elolvasott mennyiség: {reg1}%
qstr_wound_treament|sebek ellátása
qstr_trainer|kiképzés
qstr_surgery|sebészet
qstr_+1_to_{s1}_while_in_|{s1}: +1 pont, míg a készletben van
qstr_Move_here|Mozgatás ide
qstr_View_notes|Feljegyzések megtekintése
qstr_Accompany|Elkísér
qstr_killed|elesett
qstr_wounded|sebesült
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ÖSSZESEN: {reg3} ({s2})
qstr_^None|^Nincs
qstr_nothing|semmi
qstr_{reg0}_village{reg1?|{reg0} község
qstr_{reg0}_castle{reg1?s|{reg0} vár
qstr_{reg0}_castle{reg1?s:|{reg0} vár és {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} város
qstr_{reg0}_town{reg1?s:}_|{reg0} város és {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} város, {s0}
qstr_Your_opponents_are_r|Ellenfeleid felkészültek a küzdelemre.
qstr_Try_to_destroy_as_ma|Próbálj meg minél több célpontot megsemmisíteni! Két és fél perced van az út megtisztítására.
qstr_Stay_behind_the_line|Mindig maradj a vonal mögött, és lőj a célpontokra! Lehetőség szerint egyszer se tévessz!
qstr_Battle_Advantage_=_{|Kezdőelőny a csatában = {reg0}.
qstr_{s9}_wants_you_to_re|{s9} azt akarja, hogy ellenkező utasításig tarts a seregével.
qstr__Being_Raided_|(Portyázók támadják)
qstr__Looted_|(Kifosztották)
qstr__Under_Siege_|(Ostrom alatt)
qstr_The_village_of_{s1}_|{s1} községet kifosztotta {s2}.
qstr_{s3}_is_no_longer_un|{s3} már nem áll ostrom alatt.
qstr_Small_bands_of_enemi|Kisebb ellenséges csoport tűnt fel {s1} közelében.
