dlga_award_fief_to_vassal:award_fief_to_vassal_defer|Przełożę mianowanie władcy, dopóki nie usłyszę opinii poddanych
dlga_award_fief_to_vassal_defer:close_window|Jak sobie życzysz, {panie/moja pani}. Możesz zdecydować o tym później.
dlga_award_fief_to_vassal_2:close_window|Jak sobie życzysz, {panie/pani}. {reg6?Ja zostaję:{reg7?Ty zostajesz:{s11} zostaje}} {reg3?nową panią:nowym panem} miejscowości {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} pozostaje miejscem bez zarządcy. Kogo mam tam osadzić w roli nadzorcy?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|Proszę, {s65}, pragnę by miejscowość o nazwie {s1} należała do mnie. (lenna: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, uważam, że miejscowość o nazwie {s1} powinna należeć do ciebie. (lenna: {s0})
dlga_center_captured_rebellion_2:close_window|Hm. W porządku, {playername}. Wysoce cenię twoje rady. {reg6?Ja zostaję:{reg7?Ty zostajesz:{s11} zostaje}} {reg3?nową panią:nowym panem} miejscowości {s1}.
dlga_start:fighter_talk|Witaj. Właśnie doskonalimy swoje umiejętności bojowe w sparingu. Przyłącz się do nas, a nauczymy cię kilku sztuczek. Jeśli uznasz, że trzeba ci coś wyjaśnić - pytaj, a ja postaram się odpowiedzieć na twoje pytania.
dlga_start:fighter_talk.1|Co chcesz ćwiczyć?
dlga_fighter_pretalk:fighter_talk|Powiedz mi, jakiego treningu ci trzeba.
dlga_fighter_talk:fighter_talk_train_attack|Chcę poćwiczyć atakowanie.
dlga_fighter_talk:fighter_talk_train_parry|Chcę poćwiczyć blokowanie bronią.
dlga_fighter_talk:fighter_talk_train_combat|Urządźmy sobie sparing.
dlga_fighter_talk:close_window|[Wyjdź]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|Istnieją cztery podstawowe kierunki ataku. Atak znad głowy, z prawej, z lewej oraz pchnięcie. Teraz powiem ci, jak atakować, a ty postaraj się wykonać właściwy atak. ^^(Poruszaj myszką, naciskając lewy przycisk myszy, by określić kierunek ataku. Na przykład, aby zadać cios znad głowy, w chwili naciśnięcia przycisku myszy, porusz nią pionowo w górę. Ikony na ekranie pomogą ci wykonać prawidłową akcję.)
dlga_fighter_talk_train_attack_2:close_window|Zaczynajmy.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Właściwie to chcę poćwiczyć coś innego.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|W odróżnieniu od blokowania tarczą, parowanie ciosów za pomocą broni powstrzymuje tylko ataki z jednego kierunku. Jeśli, na przykład, osłonisz górę, odeprzesz tylko ataki znad głowy. ^^(Aby blokować, musisz przytrzymać prawy przycisk myszy.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|Zacznę cię teraz atakować różnymi rodzajami ciosów i będę czekać, dopóki nie ustawisz bloku w odpowiednim kierunku. Postaraj się to zrobić jak najszybciej. ^^(Łatwo wykonać to ćwiczenie po włączeniu opcji automatycznego wybierania kierunku zasłony, włączonej w ustawieniach domyślnych gry. Jeśli wejdziesz do menu opcji i wybierzesz tryb obrony z użyciem ruchu myszy lub za pomocą klawiatury, konieczne stanie się wybieranie kierunku zasłony. To trudniejsze, ale gra staje się większym wyzwaniem. Niniejszy trening jest bardzo przydatny, jeśli korzystasz z jednej z tych opcji.)
dlga_fighter_talk_train_parry_3:close_window|Możemy zaczynać.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Właściwie, to chcę zrobić coś innego.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Sparing to doskonały sposób na przygotowanie się do prawdziwej walki. Będziemy bić się z użyciem broni ćwiczebnej, póki ktoś nie padnie na ziemię. Można się przy tym posiniaczyć, ale to lepsze niż postradać życie w prawdziwym starciu.
dlga_fighter_talk_train_combat_2:close_window|Możemy zaczynać.
dlga_fighter_talk_train_combat_2:fighter_pretalk|Właściwie, to chcę zrobić coś innego.
dlga_start:fighter_parry_try_again|Dobrze. Udało ci się zablokować moje ataki. Możesz powtarzać to ćwiczenie, starając się reagować jak najszybciej, aż nabierzesz pewności, że dobrze znasz się na obronie. Chcesz spróbować jeszcze raz?
dlga_start:fighter_parry_try_again.1|Nie poszło za dobrze, co? (Pamiętaj, musisz przytrzymać prawy przycisk myszy, aby efektywnie zablokować cios.) Chcesz spróbować jeszcze raz?
dlga_fighter_parry_try_again:fighter_talk_train_parry|Tak. Spróbujmy raz jeszcze.
dlga_fighter_parry_try_again:fighter_talk_leave_parry|Nie, chyba mi wystarczy.
dlga_start:fighter_parry_warn|Ej, ćwiczymy zasłony! Masz blokować moje ataki, a nie atakować mnie!
dlga_fighter_parry_warn:fighter_talk_train_parry|Przepraszam. Spróbujmy jeszcze raz.
dlga_fighter_parry_warn:fighter_talk_leave_parry|Przepraszam, ale muszę już zakończyć ćwiczenia.
dlga_fighter_talk_leave_parry:close_window|Dobrze. Jak sobie życzysz.
dlga_start:fighter_combat_try_again|Nie poszło za dobrze, co? Nie martw się za bardzo, ale następnym razem spróbuj uniknąć powtórzenia tych samych błędów. Chcesz jeszcze potrenować?
dlga_fighter_combat_try_again:fighter_talk_train_combat|Tak. Poćwiczmy jeszcze.
dlga_fighter_combat_try_again:fighter_talk_leave_combat|Nie, to mi wystarczy.
dlga_fighter_talk_leave_combat:close_window|Dobrze. Odezwij się do mnie, gdy zmienisz zdanie.
dlga_start:fighter_combat_try_again.1|Niezły sparing. Udało ci się mnie pokonać, ale w przyszłości popiszę się większą ostrożnością. Chcesz spróbować jeszcze raz?
dlga_start:fighter_talk.2|Bardzo dobrze. Nauczył{eś/aś} się, jak atakować z dowolnie wybranego przez ciebie kierunku. Jeśli chcesz, możemy to przećwiczyć jeszcze raz, lub możemy przejść do innego ćwiczenia.
dlga_start:archer_challenge_2|Nieźle, całkiem nieźle! Chyba znasz już podstawy łucznictwa. Spróbuj teraz tego samego z kuszą. Weź kuszę i bełty, i spróbuj trafić w tamte cele. Z kuszy łatwiej strzelać niż z łuku, ale po każdym strzale trzeba ją przeładować.
dlga_start:archer_challenge_2.1|Dobrze. Kusza też nie stanowi dla ciebie problemu. Następnie czeka cię nauka korzystania z broni miotanej. Podnieś oszczepy i spróbuj trafić w cele.
dlga_start:ranged_end|Znasz już podstawy obsługi broni dystansowej. Reszta przyjdzie wraz z praktyką. Ćwicz codziennie, a z czasem znajdziesz się w gronie najlepszych strzelców Calradii.
dlga_ranged_end:close_window|Teraz możesz porozmawiać z nauczycielami walki wręcz lub z instruktorem jazdy konnej, jeśli jeszcze nie udało ci się tego zrobić.
dlga_start:archer_talk|Witaj! Nauczam ludzi, jak władać bronią dystansową. Jeśli trzeba ci instruktora, daj mi znać, a pokażę ci, jak korzystać z łuku, kuszy i oszczepów.
dlga_archer_talk:archer_challenge|Tak, pokaż mi, jak korzystać z broni dystansowej.
dlga_archer_talk:close_window|Na razie dziękuję.
dlga_archer_challenge:archer_challenge_2|Pierwsze ćwiczenie polega na nauce strzelania z łuku. Łuk to niełatwa we władaniu broń, ale kiedy już posiądziesz tę trudną sztukę, będziesz strzelać szybko i efektywnie. Weź łuk i strzały, i postaraj się zestrzelić tamte cele.
dlga_archer_challenge_2:close_window|Dobrze. Jestem {gotów/gotowa}.
dlga_archer_challenge_2:close_window.1|Chwileczkę, najpierw muszę zrobić coś innego.
dlga_start:horseman_melee_challenge_2|Mam nadzieję, że podobała ci się przejażdżka. Teraz pora zrobić coś trudniejszego. Łap za tamtą lancę i zacznij jeździć po torze, uderzając nią w każdy cel co najmniej raz.
dlga_start:horseman_melee_challenge_2.1|Dobrze! Udało ci się celnie uderzyć wszystkie tarcze. Kolejnym wyzwaniem będzie użycie łuku i strzał, by trafić w tarcze znajdujące się przy drodze. Umieść strzałę w każdej z nich.
dlga_start:horsemanship_end|Bardzo dobrze. Udało ci się trafić z siodła we wszystkie cele. Wsiadaj na konia codziennie, a będziesz doskonałym jeźdźcem.
dlga_horsemanship_end:close_window|Teraz możesz porozmawiać z nauczycielami walki wręcz lub z instruktorem łucznictwa, jeśli jeszcze nie udało ci się tego zrobić.
dlga_start:horseman_talk|Witaj! Chciałem pojeździć dziś konno, ale moje stare kości bolą mnie tak bardzo, że postanowiłem sobie odpuścić. Jeśli chcesz potrenować jeździectwo, możesz skorzystać z mojego wierzchowca. Przyda mu się trochę ruchu.
dlga_horseman_talk:horseman_challenge|Tak, chętnie poćwiczę jeździectwo.
dlga_horseman_talk:close_window|Może później.
dlga_horseman_challenge:horseman_melee_challenge_2|Dobrze. Teraz pora na kilka ćwiczeń, które nauczą cię jeździć i korzystać z broni w siodle. Pierwsze zadanie będzie łatwe. Przejedź się kilka razy po torze. Możesz jechać tak wolno, jak chcesz. Wróć, kiedy uznasz się za w miarę pewnego siebie jeźdźca.
dlga_horseman_melee_challenge_2:close_window|Dobrze. Jestem {gotów/gotowa}.
dlga_horseman_melee_challenge_2:close_window.1|Chwileczkę, najpierw muszę zrobić coś innego.
dlga_tutorial_troop_default:close_window|Próbuję tu ćwiczyć. Idź porozmawiać z instruktorem łucznictwa, jeśli chcesz dowiedzieć się czegoś o broni dystansowej.
dlga_start:lord_prison_break_confirm_3|Czy nastąpiła zmiana planów?
dlga_start:lord_prison_break|Co się dzieje?
dlga_start:drunk_response|Na co patrzysz?
dlga_start:drunk_response.1|Na mnie patrzysz?
dlga_player_duel_response:close_window|Taka strata...
dlga_player_duel_response:close_window.1|Lepiej on niż ja...
dlga_drunk_response:drunk_fight_start|Nie mam pewności... Chyba na jakieś zwierzę...
dlga_drunk_response:drunk_fight_start.1|Wybacz mi - przyjmij, proszę, moje przeprosiny...
dlga_drunk_fight_start:close_window|Zetrę ci ten uśmieszek z twojej facjaty!
dlga_drunk_response:drunk_player_high_renown|Czy ty wiesz, kim ja jestem?
dlga_drunk_player_high_renown:drunk_fight_start|A czy mnie to obchodzi?
