str_no_string|NO STRING!
str_empty_string| 
str_yes|Tak.
str_no|Nie.
str_blank_string| 
str_noone|nikt
str_s50_and_s51|{s50} i {s51}
str_s52_and_s51|{s52} i {s51}
str_s5_s_party|Oddział, którym dowodzi {s5}
str_given_by_s1_at_s2|Dane przez: {s1} w: {s2}
str_given_by_s1_in_wilderness|Dane przez: {s1} w polu
str_s7_raiders|{s7} Najeźdźcy
str_bandits_eliminated_by_another|Kłopotliwi bandyci zostali wyeliminowani przez inny oddział.
str_msg_battle_won|Bitwa wygrana! Naciśnij klawisz Tab, aby wyjść...
str_tutorial_map1|Znajdujesz się na mapie świata. Kliknij lewym przyciskiem na miejsce, aby przenieść w nie oddział, wejść do wybranego miasta lub ścigać wybrany oddział. Czas na mapie krainy nie będzie płynąć, jeśli oddział będzie stać w miejscu lub czekać. Naciśnij i przytrzymaj Spację, aby zaczekać w dowolnym miejscu.
str_randomize|Losuj
str_charge|Opłata
str_color|Kolor
str_flip_horizontal|Odwróć poziomo
str_flip_vertical|Odwróć pionowo
str_hold_fire|Wstrzymaj ogień
str_blunt_hold_fire|Zmniejsz / Wstrzymaj ogień
str_tutorial_ammo_refilled|Amunicja uzupełniona.
str_tutorial_failed|Tym razem cię pokonano, ale nie przejmuj się. Wykonaj uważnie polecenia, a następnym razem ci się powiedzie. Naciśnij klawisz Tab, aby powrócić do menu, w którym możesz powtórzyć ten samouczek.
str_finished|Nie poszło za dobrze, co? (Pamiętaj, musisz przytrzymać prawy przycisk myszy, aby efektywnie zablokować cios.) Chcesz spróbować jeszcze raz?
str_delivered_damage|Obrażenia zadane: {reg60}.
str_archery_target_hit|Odległość: {reg61} jardów. Wynik: {reg60}
str_use_baggage_for_inventory|Użyj swojego bagażu, aby przejść do ekwipunku podczas bitwy (na pozycji początkowej).
str_cant_use_inventory_now|Nie można teraz uzyskać dostępu do ekwipunku.
str_cant_use_inventory_arena|Nie można uzyskać dostępu do ekwipunku na arenie.
str_cant_use_inventory_disguised|Nie można uzyskać dostępu do ekwipunku w przebraniu.
str_cant_use_inventory_tutorial|Nie można uzyskać dostępu do ekwipunku w obozie szkoleniowym.
str_1_denar|1 denar
str_reg1_denars|{reg1} denarów
str_january_reg1_reg2|{reg1} Stycznia {reg2}
str_february_reg1_reg2|{reg1} Lutego {reg2}
str_march_reg1_reg2|{reg1} Marca {reg2}
str_april_reg1_reg2|{reg1} Kwietnia {reg2}
str_may_reg1_reg2|{reg1} Maja {reg2}
str_june_reg1_reg2|{reg1} Czerwca {reg2}
str_july_reg1_reg2|{reg1} Lipca {reg2}
str_august_reg1_reg2|{reg1} Sierpnia {reg2}
str_september_reg1_reg2|{reg1} Września {reg2}
str_october_reg1_reg2|{reg1} Października {reg2}
str_november_reg1_reg2|{reg1} Listopada {reg2}
str_december_reg1_reg2|{reg1} Grudnia {reg2}
str_town_nighttime| Jest późna noc i uczciwi ludzie opuścili już ulice.
str_door_locked|Drzwi są zamknięte.
str_castle_is_abondened|Wygląda na to, że zamek nie jest zajęty.
str_town_is_abondened|Miasto nie ma garnizonu, który by je chronił.
str_place_is_occupied_by_player|To miejsce kontrolują twoje własne wojska.
str_place_is_occupied_by_enemy|To miejsce kontrolują wrogie wojska.
str_place_is_occupied_by_friendly|To miejsce kontrolują sojusznicze wojska.
str_do_you_want_to_retreat|Czy na pewno chcesz się wycofać?
str_give_up_fight|Porzucić walkę?
str_do_you_wish_to_leave_tutorial|Czy chcesz opuścić samouczek?
str_do_you_wish_to_surrender|Czy chcesz się poddać?
str_can_not_retreat|Nie można się wycofać, wróg jest blisko!
str_s1_joined_battle_enemy|{s1} dołącza do bitwy po stronie wroga.
str_s1_joined_battle_friend|{s1} dołącza do bitwy po twojej stronie.
str_entrance_to_town_forbidden|Strażnicy miejscy wypatrują intruzów i wygląda na to, że nie dasz rady przejść przez bramę nie przyciągając uwagi.
str_sneaking_to_town_impossible|Strażnicy miejscy zostali zaalarmowani. Nie dasz rady przedostać się przez bramę, niezależnie od tego, jak dobrze się przebierzesz.
str_battle_won|Wygrywasz bitwę!
str_battle_lost|Przegrywasz bitwę!
str_attack_walls_success|Po krwawej walce twoi dzielni żołnierze przejmują mury z rąk wroga.
str_attack_walls_failure|Twoi żołnierze atakując mury padają falami, a ci, którzy pozostali, szybko uciekają i dezerterują.
str_attack_walls_continue|Rozpoczyna się krwawa walka i obie strony walczą równie zacięcie. Pomimo wysiłków twoich wojsk, zamek pozostaje w rękach wroga.
str_order_attack_success|Twoi ludzie walczą dzielnie i pokonują wroga.
str_order_attack_failure|Obserwujesz bitwę z rozpaczą, kiedy wróg wycina twoich żołnierzy i z łatwością eliminuje pozostałych.
str_order_attack_continue|Pomimo przedłużającej się potyczki, twoim żołnierzom nie udało się odnieść decydującego zwycięstwa.
str_join_order_attack_success|Twoi ludzie walczą wraz z sojusznikami, dzieląc się chwałą i rozbijając wroga.
str_join_order_attack_failure|Obserwujesz bitwę z rozpaczą, kiedy wróg wycina twoich żołnierzy i z łatwością eliminuje pozostałych.
str_join_order_attack_continue|Pomimo przedłużającej się potyczki, ani twoi żołnierze, ani sojusznicy nie odnoszą decydującego zwycięstwa nad przeciwnikiem.
str_siege_defender_order_attack_success|Żołnierze z garnizonu bronią murów z najwyższą odwagą, rozbijając natarcie wroga i zręcznie zamieniając jego porażkę, a w konsekwencji w pełen odwrót.
str_siege_defender_order_attack_failure|Atak szybko przeobraża się w rozlew krwi. Bohaterskie wysiłki na nic się nie zdają. Słabszy liczebnie garnizon nie może utrzymać murów i wróg sprawia, że każdy ostatni obrońca musi chwycić za miecz.
str_siege_defender_order_attack_continue|Powtórne, krwawe ataki na mury nie kończą się zdobyciem ani kawałka ziemi, ale pozostaje zbyt wielu wrogów, aby obrońcy mogli ogłosić prawdziwe zwycięstwo. Oblężenie trwa.
str_hero_taken_prisoner|{s1} ({s3}) został wzięty do niewoli przez {s2}.
str_hero_freed|{s1} ({s3}) został wypuszczony z niewoli przez {s2}.
str_center_captured|{s2} zdobywa miejscowość o nazwie {s1}, dotychczas kontrolowaną przez {s3}.
str_troop_relation_increased|Twoje stosunki z osobą o imieniu {s1} uległy polepszeniu z {reg1} na {reg2}.
str_troop_relation_detoriated|Twoje stosunki z osobą o imieniu {s1} uległy pogorszeniu z {reg1} na {reg2}.
str_faction_relation_increased|Twoje stosunki z państwiem o nazwie {s1} uległy polepszeniu z {reg1} na {reg2}.
str_faction_relation_detoriated|Twoje stosunki z państwiem o nazwie {s1} uległy pogorszeniu z {reg1} na {reg2}.
str_party_gained_morale|Twój oddział zdobywa {reg1} morale.
str_party_lost_morale|Twój oddział traci {reg1} morale.
str_other_party_gained_morale|{s1} zyskuje {reg1} morale.
str_other_party_lost_morale|{s1} traci {reg1} morale.
str_qst_follow_spy_noticed_you|Szpieg cię zauważył! Teraz ucieka!
str_father|ojciec
str_husband|mąż
str_wife|żona
str_daughter|córka
str_mother|matka
str_son|syn
str_brother|brat
str_sister|siostra
str_he|on
str_she|ona
str_s3s_s2|{s2} {s3}
str_s5_is_s51|{s5} jest {s51}.
str_s5_is_the_ruler_of_s51|{s5} jest władcą miejsca zwanego {s51}. 
str_s5_is_a_nobleman_of_s6|{s5} należy do arystokratów reprezentujących {s6}. 
str_relation_mnus_100|Mściwy
str_relation_mnus_90|Mściwy
str_relation_mnus_80|Mściwy
str_relation_mnus_70|Nienawidzący
str_relation_mnus_60|Nienawidzący
str_relation_mnus_50| Wrogo nastawiony
str_relation_mnus_40|  Rozgniewany
str_relation_mnus_30|    Niechętny
str_relation_mnus_20|      Narzekający
str_relation_mnus_10|        Podejrzliwy
str_relation_plus_0|         Obojętny
str_relation_plus_10|          Współpracujący
str_relation_plus_20|           Serdeczny
str_relation_plus_30|            Życzliwy
str_relation_plus_40|             Wspierający
str_relation_plus_50|              Przyjazny
str_relation_plus_60|               Wdzięczny
str_relation_plus_70|                 Lubiący
str_relation_plus_80|                  Lojalny
str_relation_plus_90|                   Oddany
str_relation_mnus_100_ns|{s60} jest względem ciebie mściwy.
str_relation_mnus_90_ns|{s60} jest względem ciebie mściwy.
str_relation_mnus_80_ns|{s60} jest względem ciebie mściwy.
str_relation_mnus_70_ns|{s60} nienawidzi ciebie.
str_relation_mnus_60_ns|{s60} nienawidzi ciebie.
str_relation_mnus_50_ns|{s60} jest wrogo do ciebie nastawiony.
str_relation_mnus_40_ns|{s60} jest wściekły na ciebie.
str_relation_mnus_30_ns|{s60} jest tobie niechętny.
str_relation_mnus_20_ns|{s60} narzeka na ciebie.
str_relation_mnus_10_ns|{s60} podchodzi do ciebie z podejrzliwością.
str_relation_plus_0_ns|{s60} traktuje cię obojętnie.
str_relation_plus_10_ns|{s60} jest nastawiony na współpracę z tobą.
str_relation_plus_20_ns|{s60} jest dla ciebie serdeczny.
str_relation_plus_30_ns|{s60} traktuje cię z życzliwością.
str_relation_plus_40_ns|{s60} jest gotów cię wspierać.
str_relation_plus_50_ns|{s60} traktuje cię przyjaźnie.
str_relation_plus_60_ns|{s60} jest tobie wdzięczny.
str_relation_plus_70_ns|{s60} lubi ciebie.
str_relation_plus_80_ns|{s60} jest wobec ciebie lojalny.
str_relation_plus_90_ns|{s60} jest ci oddany.
str_relation_reg1| Stosunki: {reg1}
str_center_relation_mnus_100|Mieszkańcy szczerze cię nienawidzą
str_center_relation_mnus_90|Mieszkańcy bardzo cię nienawidzą
str_center_relation_mnus_80|Mieszkańcy darzą cię silną nienawiścią
str_center_relation_mnus_70|Mieszkańcy cię nienawidzą
str_center_relation_mnus_60|Mieszkańcy darzą cię nienawiścią
str_center_relation_mnus_50|Mieszkańcy są nastawieni do ciebie wyjątkowo wrogo
str_center_relation_mnus_40|Mieszkańcy są nastawieni do ciebie bardzo wrogo
str_center_relation_mnus_30|Mieszkańcy są do ciebie wrogo nastawieni
str_center_relation_mnus_20|Mieszkańcy są przeciwko tobie
str_center_relation_mnus_10|Mieszkańcy są do ciebie niechętnie nastawieni
str_center_relation_plus_0|Mieszkańcy traktują cię obojętnie
str_center_relation_plus_10|Mieszkańcy cię akceptują 
str_center_relation_plus_20|Mieszkańcy są nastawieni do współpracy
str_center_relation_plus_30|Mieszkańcy są gotowi cię wspierać
str_center_relation_plus_40|Mieszkańcy chcą cię wspierać
str_center_relation_plus_50|Mieszkańcy bardzo chcą cię wspierać
str_center_relation_plus_60|Mieszkańcy są wobec ciebie lojalni
str_center_relation_plus_70|Mieszkańcy są wobec ciebie bardzo lojalni
str_center_relation_plus_80|Mieszkańcy są tobie oddani
str_center_relation_plus_90|Mieszkańcy są tobie całkowicie oddani
str_town_prosperity_0|Biedota w mieście {s60} jest nie do zniesienia
str_town_prosperity_10|Nędzne miasto {s60} jest całkowicie opuszczone.
str_town_prosperity_20|Miasto {s60} wygląda na biedne, opuszczone miejsce.
str_town_prosperity_30|Miasto {s60} wygląda na biedne i zaniedbane.
str_town_prosperity_40|Miasto {s60} walczy z kryzysem.
str_town_prosperity_50|Miasto {s60} jest zupełnie niegodne uwagi.
str_town_prosperity_60|Miasto {s60} rozwija się.
str_town_prosperity_70|Prosperujące miasto {s60} jest wręcz zatłoczone.
str_town_prosperity_80|Miasto {s60} wygląda na bogate i dobrze utrzymane.
str_town_prosperity_90|Miasto {s60} jest zasobne i zaludnione bogatymi mieszkańcami.
str_town_prosperity_100|Migoczące miasto {s60} otwarcie pokazuje swoje wielkie bogactwo.
str_village_prosperity_0|Biedota w wiosce {s60} jest nie do zniesienia
str_village_prosperity_10|Wioska {s60} wygląda na biedną i zaniedbaną.
str_village_prosperity_20|Wioska {s60} wygląda na bardzo biedną i opuszczoną.
str_village_prosperity_30|Wioska {s60} wygląda na biedną i źle utrzymaną.
str_village_prosperity_40|Wioska {s60} walczy z kryzysem i biedą.
str_village_prosperity_50|Wioska {s60} jest zupełnie niegodna uwagi.
str_village_prosperity_60|Wioska {s60} rozwija się.
str_village_prosperity_70|Wioska {s60} dobrze prosperuje.
str_village_prosperity_80|Wioska {s60} wygląda na bogatą i dobrze utrzymaną.
str_village_prosperity_90|Wioska {s60} wygląda na bardzo bogatą i prosperującą.
