p_zendar|Zendar
p_town_1|Sargoth
p_town_2|Tihr
p_town_3|Veluca
p_town_4|Suno
p_town_5|Jelkala
p_town_6|Praven
p_town_7|Uxkhal
p_town_8|Reyvadin
p_town_9|Khudan
p_town_10|Tulga
p_town_11|Curaw
p_town_12|Wercheg
p_town_13|Rivacheg
p_town_14|Halmar
p_town_15|Yalen
p_town_16|Dhirim
p_town_17|Ichamur
p_town_18|Narra
p_town_19|Shariz
p_town_20|Durquba
p_town_21|Ahmerrad
p_town_22|Bariyye
p_castle_1|Zamek Culmarr
p_castle_2|Zamek Malayurg
p_castle_3|Zamek Bulugha
p_castle_4|Zamek Radoghir
p_castle_5|Zamek Tehlrog
p_castle_6|Zamek Tilbaut
p_castle_7|Zamek Sungetche
p_castle_8|Zamek Jeirbe
p_castle_9|Zamek Jamiche
p_castle_10|Zamek Alburq
p_castle_11|Zamek Curin
p_castle_12|Zamek Chalbek
p_castle_13|Zamek Kelredan
p_castle_14|Zamek Maras
p_castle_15|Zamek Ergellon
p_castle_16|Zamek Almerra
p_castle_17|Zamek Distar
p_castle_18|Zamek Ismirala
p_castle_19|Zamek Yruma
p_castle_20|Zamek Derchios
p_castle_21|Zamek Ibdeles
p_castle_22|Zamek Unuzdaq
p_castle_23|Zamek Tevarin
p_castle_24|Zamek Reindi
p_castle_25|Zamek Ryibelet
p_castle_26|Zamek Senuzgda
p_castle_27|Zamek Rindyar
p_castle_28|Zamek Grunwalder
p_castle_29|Zamek Nelag
p_castle_30|Zamek Asugan
p_castle_31|Zamek Vyincourd
p_castle_32|Zamek Knudarr
p_castle_33|Zamek Etrosq
p_castle_34|Zamek Hrus
p_castle_35|Zamek Haringoth
p_castle_36|Zamek Jelbegi
p_castle_37|Zamek Dramug
p_castle_38|Zamek Tulbuk
p_castle_39|Zamek Slezkh
p_castle_40|Zamek Uhhun
p_castle_41|Zamek Jameyyed
p_castle_42|Zamek Teramma
p_castle_43|Zamek Sharwa
p_castle_44|Zamek Durrin
p_castle_45|Zamek Caraf
p_castle_46|Zamek Weyyah
p_castle_47|Zamek Samarra
p_castle_48|Zamek Bardaq
p_village_1|Yaragar
p_village_2|Burglen
p_village_3|Azgad
p_village_4|Nomar
p_village_5|Kulum
p_village_6|Emirin
p_village_7|Amere
p_village_8|Haen
p_village_9|Buvran
p_village_10|Mechin
p_village_11|Dusturil
p_village_12|Emer
p_village_13|Nemeja
p_village_14|Sumbuja
p_village_15|Ryibelet
p_village_16|Shapeshte
p_village_17|Mazen
p_village_18|Ulburban
p_village_19|Hanun
p_village_20|Uslum
p_village_21|Bazeck
p_village_22|Shulus
p_village_23|Ilvia
p_village_24|Ruldi
p_village_25|Dashbigha
p_village_26|Pagundur
p_village_27|Glunmar
p_village_28|Tash Kulun
p_village_29|Buillin
p_village_30|Ruvar
p_village_31|Ambean
p_village_32|Tosdhar
p_village_33|Ruluns
p_village_34|Ehlerdah
p_village_35|Fearichen
p_village_36|Jayek
p_village_37|Ada Kulun
p_village_38|Ibiran
p_village_39|Reveran
p_village_40|Saren
p_village_41|Dugan
p_village_42|Dirigh Aban
p_village_43|Zagush
p_village_44|Peshmi
p_village_45|Bulugur
p_village_46|Fedner
p_village_47|Epeshe
p_village_48|Veidar
p_village_49|Tismirr
p_village_50|Karindi
p_village_51|Jelbegi
p_village_52|Amashke
p_village_53|Balanli
p_village_54|Chide
p_village_55|Tadsamesh
p_village_56|Fenada
p_village_57|Ushkuru
p_village_58|Vezin
p_village_59|Dumar
p_village_60|Tahlberl
p_village_61|Aldelen
p_village_62|Rebache
p_village_63|Rduna
p_village_64|Serindiar
p_village_65|Iyindah
p_village_66|Fisdnar
p_village_67|Tebandra
p_village_68|Ibdeles
p_village_69|Kwynn
p_village_70|Dirigsene
p_village_71|Tshibtin
p_village_72|Elberl
p_village_73|Chaeza
p_village_74|Ayyike
p_village_75|Bhulaban
p_village_76|Kedelke
p_village_77|Rizi
p_village_78|Sarimish
p_village_79|Istiniar
p_village_80|Vayejeg
p_village_81|Odasan
p_village_82|Yalibe
p_village_83|Gisim
p_village_84|Chelez
p_village_85|Ismirala
p_village_86|Slezkh
p_village_87|Udiniad
p_village_88|Tulbuk
p_village_89|Uhhun
p_village_90|Jamiche
p_village_91|Ayn Assuadi
p_village_92|Dhibbain
p_village_93|Qalyut
p_village_94|Mazigh
p_village_95|Tamnuh
p_village_96|Habba
p_village_97|Sekhtem
p_village_98|Mawiti
p_village_99|Fishara
p_village_100|Iqbayl
p_village_101|Uzgha
p_village_102|Shibal Zumr
p_village_103|Mijayet
p_village_104|Tazjunat
p_village_105|Aab
p_village_106|Hawaha
p_village_107|Unriya
p_village_108|Mit Nun
p_village_109|Tilimsal
p_village_110|Rushdigh
p_salt_mine|Kopalnia soli
p_four_ways_inn|Gospoda 'Cztery Trakty'
p_test_scene|scena testowa
p_battlefields|pola bitew
p_dhorak_keep|Twierdza Dhorak
p_training_ground|Obóz szkoleniowy
p_training_ground_1|Obóz szkoleniowy
p_training_ground_2|Obóz szkoleniowy
p_training_ground_3|Obóz szkoleniowy
p_training_ground_4|Obóz szkoleniowy
p_training_ground_5|Obóz szkoleniowy
p_steppe_bandit_spawn_point|Stepy
p_taiga_bandit_spawn_point|Lasy tundry
p_forest_bandit_spawn_point|Lasy
p_mountain_bandit_spawn_point|Wzgórza
p_sea_raider_spawn_point_1|Wybrzeże
p_sea_raider_spawn_point_2|Wybrzeże
p_desert_bandit_spawn_point|Pustynie
