pt_none|brak
pt_rescued_prisoners|Grupa uwolnionych jeńców
pt_enemy|Wróg
pt_hero_party|Oddział bohatera
pt_village_defenders|Obrońcy wioski
pt_cattle_herd|Stado bydła
pt_looters|Banda łupieżców
pt_manhunters|Grupa łowców głów
pt_steppe_bandits|Szajka bandytów ze stepów
pt_taiga_bandits|Szajka bandytów z tundry
pt_desert_bandits|Szajka bandytów z pustyni
pt_forest_bandits|Szajka bandytów z lasu
pt_mountain_bandits|Szajka bandytów z gór
pt_sea_raiders|Banda korsarzy
pt_deserters|Grupa dezerterów
pt_merchant_caravan|Karawana kupiecka
pt_troublesome_bandits|Szajka natrętnych bandytów
pt_bandits_awaiting_ransom|Banda czekająca na okup
pt_kidnapped_girl|Porwana dziewczyna
pt_village_farmers|Grupa wieśniaków
pt_spy_partners|Grupa niepozornych podróżników
pt_runaway_serfs|Grupa uciekających sług
pt_spy|Zwykły mieszczanin
pt_sacrificed_messenger|Poświęcony posłaniec
pt_forager_party|Plądrująca drużyna
pt_scout_party|Zwiad
pt_patrol_party|Patrol
pt_messenger_party|Posłaniec
pt_raider_party|Najeźdźcy
pt_raider_captives|Jeńcy najeźdźców
pt_kingdom_caravan_party|Karawana
pt_prisoner_train_party|Transport jeńców
pt_default_prisoners|Grupa zwykłych jeńców
pt_routed_warriors|Grupa uciekinierów
pt_center_reinforcements|Grupa wsparcia
pt_kingdom_hero_party|Oddział wojenny
pt_steppe_bandit_lair|Koczowisko bandytów ze stepów
pt_taiga_bandit_lair|Koczowisko bandytów z tundry
pt_desert_bandit_lair|Koczowisko bandytów z pustyni
pt_forest_bandit_lair|Obóz bandytów z lasu
pt_mountain_bandit_lair|Kryjówka bandytów z gór
pt_sea_raider_lair|Okręt korsarzy
pt_looter_lair|Kryjówka porywaczy
pt_leaded_looters|Banda złodziei
