qst_deliver_message|Dopilnuj, by {s13} otrzymał wiadomość
qst_deliver_message_to_enemy_lord|Dopilnuj, by {s13} otrzymał wiadomość
qst_raise_troops|Wyszkól {reg1} {s14}
qst_escort_lady|{s13} winna być odeskortowana do miejscowości {s14}
qst_deal_with_bandits_at_lords_village|Uratuj wioskę {s15} przed panoszącymi się tam bandytami
qst_collect_taxes|Zbierz podatki z miejscowości {s3}
qst_hunt_down_fugitive|Odszukaj bandytę zwanego {s4}
qst_kill_local_merchant|Zabij miejscowego kupca w miejscowości {s3}
qst_bring_back_runaway_serfs|Sprowadź uciekających poddanych
qst_follow_spy|Podążaj za szpiegiem na spotkanie
qst_capture_enemy_hero|Porwij lorda z miejscowości {s13}
qst_lend_companion|{s3} na służbie u osoby o imieniu {s9}
qst_collect_debt|{s3} jest dłużny osobie o imieniu {s9}
qst_incriminate_loyal_commander|Obciąż winą lojalnego dowódcę, którym jest {s13}, {s16}
qst_meet_spy_in_enemy_town|Spotkaj się ze szpiegiem w miejscowości {s13}
qst_capture_prisoners|Przyprowadź {reg1} więźniów, którymi winni być {s3}
qst_lend_surgeon|{s1} pragnie wypożyczyć twojego chirurga o imieniu {s3}
qst_follow_army|Podążaj za armią, której dowódcą jest {s9}
qst_report_to_army|Złóż raport marszałkowi, {s13}
qst_deliver_cattle_to_army|Dostarcz {reg3} szt. bydła do miejscowości {s3}
qst_join_siege_with_army|Dołącz do oblężenia miejscowości {s14}
qst_screen_army|Osłaniaj marsz armii, na której czele stoi {s13}
qst_scout_waypoints|Przeprowadź zwiad w miejscowości {s13}, {s14} i {s15}
qst_rescue_lord_by_replace|Uratuj osobę o imieniu {s13} z miejscowości {s14}
qst_deliver_message_to_prisoner_lord|Dostarcz wiadomość osobie o imieniu {s13} w miejscowości {s14}
qst_duel_for_lady|Rzuć wyzwanie Próby Sił osobie zwanej {s13}
qst_duel_courtship_rival|Rzuć wyzwanie Próby Sił osobie zwanej {s13} (opcjonalnie)
qst_duel_avenge_insult|Rzuć wyzwanie Próby Sił osobie zwanej {s13}
qst_move_cattle_herd|Przepędź bydło do miejscowości {s13}
qst_escort_merchant_caravan|Eskortuj karawanę do miejscowości {s8}
qst_deliver_wine|Dostarcz {s6}, w ilości {reg5} beczek, do miejscowości {s4}
qst_troublesome_bandits|Pozbądź się kłopotliwych bandytów
qst_kidnapped_girl|Dziewczyna porwana dla okupu
qst_persuade_lords_to_make_peace|Dopilnuj, aby dwaj lordowie nie przeszkodzili w zawarciu pokoju
qst_deal_with_looters|Rozpraw się z grabieżcami
qst_deal_with_night_bandits|Rozpraw się z nocnymi bandytami
qst_deliver_grain|Dostarcz zboże do miejscowości {s3}
qst_deliver_cattle|Dostarcz {reg5} szt. bydła do miejscowości {s3}
qst_train_peasants_against_bandits|Wyszkol chłopów z wioski {s13} do walki z bandytami
qst_eliminate_bandits_infesting_village|Odbij wioskę {s7} z rąk bandytów
qst_visit_lady|Odwiedź damę
qst_formal_marriage_proposal|Formalna propozycja zaślubin
qst_obtain_liege_blessing|Formalna propozycja zaślubin
qst_wed_betrothed|Poślub wybrankę
qst_wed_betrothed_female|Poślub wybrańca
qst_join_faction|Złóż przysięgę wasalską władcy o imieniu {s1}
qst_rebel_against_kingdom|{s13} oczekuje twojej pomocy w drodze do przejęcia władzy w państwie o nazwie {s14}
qst_consult_with_minister|Konsultuj z ministrem
qst_organize_feast|Zorganizuj ucztę
qst_resolve_dispute|Rozstrzygnij spór
qst_offer_gift|Przyjmij prezent
qst_denounce_lord|Potęp lorda
qst_intrigue_against_lord|Knuj intrygi przeciw lordowi
qst_track_down_bandits|Wytrop bandytów
qst_track_down_provocateurs|Wytrop prowokatorów
qst_retaliate_for_border_incident|Weź odwet za incydent graniczny
qst_raid_caravan_to_start_war|Zaatakuj neutralną karawanę, by wywołać wojnę
qst_cause_provocation|Wywołaj wojnę między dwoma królestwami poprzez prowokację
qst_rescue_prisoner|Uratuj lub wykup więźnia
qst_destroy_bandit_lair|Zniszcz kryjówkę rozbójników
qst_collect_men|Zbierz pięciu ludzi
qst_learn_where_merchant_brother_is|Dowiedz się, gdzie bandyci przetrzymują zakładników.
qst_save_relative_of_merchant|Zaatakuj kryjówkę bandytów
qst_save_town_from_bandits|Obroń miasto przed bandytami
qst_quests_end|Koniec zadań
