skl_trade|Handel
skl_trade_desc|Z każdym kolejnym poziomem tej umiejętności marża handlowa zmniejsza się o 5%% (umiejętność oddziału).
skl_leadership|Przywództwo
skl_leadership_desc|Z każdym kolejnym poziomem tej umiejętności liczba ludzi, którymi możesz dowodzić, zwiększa się o 5, podwyższa się morale, a koszty utrzymania armii obniżają się o 5%% (umiejętność przywódcy).
skl_prisoner_management|Zarządzanie więźniami
skl_prisoner_management_desc|Z każdym kolejnym poziomem tej umiejętności maksymalna liczba jeńców zwiększa się o %d (umiejętność przywódcy).
skl_reserved_1|Zarezerwowana umiejętność 1
skl_reserved_1_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_2|Zarezerwowana umiejętność 2
skl_reserved_2_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_3|Zarezerwowana umiejętność 3
skl_reserved_3_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_4|Zarezerwowana umiejętność 4
skl_reserved_4_desc|Ta umiejętność jest zarezerwowana.
skl_persuasion|Perswazja
skl_persuasion_desc|Umiejętność ta pomaga Ci przeciągać ludzi na swoją stronę (osobista umiejętność).
skl_engineer|Inżynieria
skl_engineer_desc|Umiejętność ta pomaga Ci w budowie machin oblężniczych i szybsze przyswajanie nowych umiejętności (umiejętność oddziału).
skl_first_aid|Pierwsza pomoc
skl_first_aid_desc|Każdy kolejny poziom tej umiejętności przywraca bohaterom 5%% zdrowia utraconego podczas wykonywania zadania (umiejętność oddziału).
skl_surgery|Chirurgia
skl_surgery_desc|Z każdym kolejnym poziomem tej umiejętności każdy z członków oddziału otrzymuje 4%% szansy na przeżycie w przypadku śmiertelnej rany (umiejętność oddziału).
skl_wound_treatment|Opatrywanie ran
skl_wound_treatment_desc|Z każdym kolejnym poziomem tej umiejętności szybkość leczenia oddziału wzrasta o 20%% (umiejętność oddziału).
skl_inventory_management|Logistyka
skl_inventory_management_desc|Z każdym kolejnym poziomem tej umiejętności pojemność Twojego zasobnika zwiększa się o 6 punktów (umiejętność przywódcy).
skl_spotting|Czujność
skl_spotting_desc|Z każdym kolejnym poziomem tej umiejętności pole widzenia oddziału zwiększa się o 10%% (umiejętność oddziału).
skl_pathfinding|Wyszukiwanie drogi
skl_pathfinding_desc|Z każdym kolejnym poziomem tej umiejętności prędkość przemieszczania się oddziału po mapie zwiększa się o 3%% (umiejętność oddziału).
skl_tactics|Taktyka
skl_tactics_desc|Każdy parzysty poziom tej umiejętności podwyższa początkową przewagę w walce o 1 (umiejętność oddziału).
skl_tracking|Tropienie
skl_tracking_desc|Śledzenie staje się efektywniejsze (umiejętność oddziału).
skl_trainer|Szkolenie
skl_trainer_desc|Raz na dzień każdy z bohaterów oddaje trochę doświadczenia tym członkom oddziału, których umiejętności są niższe od bohaterskich. Zdobywane doświadczenie: {0,4,10,16,23,30,38,46,55,65,80} (osobista umiejętność).
skl_reserved_5|Zarezerwowana umiejętność 5
skl_reserved_5_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_6|Zarezerwowana umiejętność 6
skl_reserved_6_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_7|Zarezerwowana umiejętność 7
skl_reserved_7_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_8|Zarezerwowana umiejętność 8
skl_reserved_8_desc|Ta umiejętność jest zarezerwowana.
skl_looting|Plądrowanie
skl_looting_desc|Z każdym kolejnym poziomem tej umiejętności liczba zdobyczy będzie powiększana o 10%% (umiejętność oddziału).
skl_horse_archery|Strzelanie z konia
skl_horse_archery_desc|Pozwala strzelcom konnym na dokładniejsze strzelanie, zadawanie większych strat i rzadsze spadanie z siodła (osobista umiejętność).
skl_riding|Jazda wierzchem
skl_riding_desc|Pozwala na jazdę na szlachetniejszych koniach, zwiększa prędkość jazdy i zwinność konia (osobista umiejętność).
skl_athletics|Atletyka
skl_athletics_desc|Zwiększa prędkość biegania (osobista umiejętność).
skl_shield|Posługiwanie się tarczą
skl_shield_desc|Obniża straty podczas uderzenia w tarczę (o 8%% z każdym kolejnym poziomem), zwiększa prędkość posługiwania się tarczą i strefę ochrony (osobista umiejętność).
skl_weapon_master|Posługiwanie się bronią
skl_weapon_master_desc|Ułatwia naukę i podwyższa poziom władania bronią. Wyróżnia się następujące poziomy: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420 (osobista umiejętność).
skl_reserved_9|Zarezerwowana umiejętność 9
skl_reserved_9_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_10|Zarezerwowana umiejętność 10
skl_reserved_10_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_11|Zarezerwowana umiejętność 11
skl_reserved_11_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_12|Zarezerwowana umiejętność 12
skl_reserved_12_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_13|Zarezerwowana umiejętność 13
skl_reserved_13_desc|Ta umiejętność jest zarezerwowana.
skl_power_draw|Potężny naciąg
skl_power_draw_desc|Pozwala postaci na posługiwanie się potężnymi łukami. Z każdym kolejnym poziomem tej umiejętności (maksymalnie - 4 plus parametr potężnego strzału w przypadku samego łuku) straty, zadawane za pomocą łuku, zwiększają się o 14%% (osobista umiejętność).
skl_power_throw|Siła rzutu
skl_power_throw_desc|Z każdym kolejnym poziomem tej umiejętności efektywność obrażeń rzutu zwiększa się o 10%%. Poza tym zasięg rażenia zwiększa się o 1 krok co 2 poziomy.
skl_power_strike|Potężny cios
skl_power_strike_desc|Z każdym kolejnym poziomem tej umiejętności straty, zadawane bronią do walki w zwarciu, zwiększają się o 8%% (osobista umiejętność).
skl_ironflesh|Żelazna skóra
skl_ironflesh_desc|Z każdym kolejnym poziomem tej umiejętności poziom zdrowia podwyższa się o 2 (osobista umiejętność).
skl_reserved_14|Zarezerwowana umiejętność 14
skl_reserved_14_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_15|Zarezerwowana umiejętność 15
skl_reserved_15_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_16|Zarezerwowana umiejętność 16
skl_reserved_16_desc|Ta umiejętność jest zarezerwowana.
skl_reserved_17|Zarezerwowana umiejętność 17
