menu_start_game_0|Добро пожаловать в Mount and Blade: Warband". Прежде чем начать игру, вам необходимо создать своего персонажа. Помните, что в традиционном средневековом обществе, изображенном в игре, в войне и политике обычно доминируют мужчины знатного происхождения. Однако это не означает, что вам не следует играть за женского персонажа или простолюдина. За мужчин благородного происхождения будет несколько легче начать, но все персонажи могут достичь тех же высот, то есть игра может быть более интересной, если она сложнее в начале.
mno_continue|Продолжить...
mno_go_back|Назад
menu_start_phase_2|Вы прибываете в Кальрадию - мир, раздираемый войнами между молодыми государствами, которые непрестанно сражаются за власть и земли. Это настоящий рай для рыцарей и наемников, головорезов и искателей приключений - для всех тех, кто готов рисковать своей жизнью в погоне за богатством, могуществом или славой... Опасности поджидают Вас на каждом шагу, но где искать удачу, если не здесь! Сейчас вы стоите на высоком холме, осматриваете земли внизу и чувствуете, что Ваша судьба зависит только от Вас. Все дороги Кальрадии открыты для вас, и что бы вы ни выбрали - впереди удивительные приключения.
mno_town_factionleader|Your country's capital ({s1})
mno_town_1|Присоединиться к каравану до Правена, в королевство Свадию.
mno_town_2|Присоединиться к каравану до Рейвадина, в королевство Вегиров.
mno_town_3|Присоединиться к каравану до Тульги, в Хергитское ханство.
mno_town_4|Сесть на корабль до Саргота, в королевство Нордов.
mno_town_5|Сесть на корабль до Джелкалы, в королевство Родоков.
menu_start_game_3|Выберите сценарий:
menu_tutorial|Вы приближаетесь к полю, где местные воины упражняются с оружием. Здесь вы можете потренироваться, чтобы улучшить свои боевые навыки.
mno_go_back_dot|Назад.
menu_reports|Известность персонажа: {reg5}^Рейтинг чести: {reg6}^Мораль отряда: {reg8}^Предельный размер отряда: {reg7}^
mno_show_pps_menu|View faction internal politics menu.
mno_show_pas_menu|View faction military management menu.
mno_show_weather_report|View weather report.
mno_reports_to_faction_technologies|View your faction military technologies.
mno_view_character_report|Просмотреть данные о персонаже.
mno_view_party_size_report|Просмотреть данные о численности отряда.
mno_view_npc_mission_report|Просмотреть задание спутника.
mno_view_weekly_budget_report|Просмотреть недельную смету.
mno_view_morale_report|Просмотреть данные о моральном состоянии отряда.
mno_action_view_troop_trees|View factions troop trees.
mno_action_view_world_map|World Map
mno_lord_relations|Вывести список отношений со знакомыми лордами.
mno_courtship_relations|Просмотреть успехи в ухаживаниях.
mno_view_faction_relations_report|Просмотреть данные об отношениях с фракциями.
