str_no_string|НЕТ СТРОК!
str_empty_string|
str_yes|Да
str_no|Нет
str_blank_string|
str_noone|никого
str_s50_and_s51|{s50} и {s51}
str_s52_and_s51|{s52} и {s51}
str_s5_s_party|{s5} с отрядом
str_given_by_s1_at_s2|Получил {s1} в {s2}
str_given_by_s1_in_wilderness|Получил {s1} вне города
str_s7_raiders|{s7} разбойники
str_bandits_eliminated_by_another|Назойливых бандитов уничтожил другой отряд.
str_msg_battle_won|Битва выиграна! Нажмите клавишу Tab, чтобы выйти...
str_tutorial_map1|Перед вами карта местности. Щелкните по нужной точке левой кнопкой мыши, чтобы переместить ваш отряд, войти в город или догнать выбранный отряд. Когда вы не движетесь, чего-то ждете или отдыхаете, - время на карте останавливается. Вы можете остановиться в любом месте, для этого нажмите и задержите клавишу Пробел.
str_randomize|Случайно
str_charge|Атака
str_color|Цвет
str_flip_horizontal|Перевернуть по горизонтали
str_flip_vertical|Перевернуть по вертикали
str_hold_fire|Не стрелять
str_blunt_hold_fire|Стой! / Не стрелять
str_tutorial_ammo_refilled|Боезапас пополнен.
str_tutorial_failed|В этот раз вы проиграли, но расстраиваться не стоит. Точно следуйте инструкциям, и в следующий раз все получится. Нажмите клавишу Tab, чтобы вернуться в меню и пройти обучение еще раз.
str_finished|Закончено
str_delivered_damage|Нанесено {reg60} урона.
str_archery_target_hit|Расстояние - {reg61} ярдов. Счет: {reg60}
str_use_baggage_for_inventory|Во время боя вы можете брать вещи из сундука (он находится на начальной позиции).
str_cant_use_inventory_now|Вещи сейчас недоступны.
str_cant_use_inventory_arena|На арене пользоваться вещами нельзя.
str_cant_use_inventory_disguised|Вы замаскированы и не можете пользоваться вещами.
str_cant_use_inventory_tutorial|В тренировочном лагере нельзя пользоваться инвентарем.
str_1_denar|1 динар
str_reg1_denars|{reg1} динар
str_january_reg1_reg2|{reg1} января, {reg2}
str_february_reg1_reg2|{reg1} февраля, {reg2}
str_march_reg1_reg2|{reg1} марта, {reg2}
str_april_reg1_reg2|{reg1} апреля, {reg2}
str_may_reg1_reg2|{reg1} мая, {reg2}
str_june_reg1_reg2|{reg1} июня, {reg2}
str_july_reg1_reg2|{reg1} июля, {reg2}
str_august_reg1_reg2|{reg1} августа, {reg2}
str_september_reg1_reg2|{reg1} сентября, {reg2}
str_october_reg1_reg2|{reg1} октября, {reg2}
str_november_reg1_reg2|{reg1} ноября, {reg2}
str_december_reg1_reg2|{reg1} декабря, {reg2}
str_town_nighttime| Сейчас поздняя ночь, и честных людей на улице не встретишь.
str_door_locked|Дверь заперта.
str_castle_is_abondened|Похоже, этот замок никем не занят.
str_town_is_abondened|У этого города нет защитников.
str_place_is_occupied_by_player|Это место занято вашими войсками.
str_place_is_occupied_by_enemy|Это место занято вражескими войсками.
str_place_is_occupied_by_friendly|Это место занято дружескими войсками.
str_do_you_want_to_retreat|Вы точно хотите отступить?
str_give_up_fight|Оставить поединок?
str_do_you_wish_to_leave_tutorial|Прекратить обучение?
str_do_you_wish_to_surrender|Сдаться?
str_can_not_retreat|Отступать нельзя, рядом враги!
str_s1_joined_battle_enemy|{s1} присоединяется к битве на стороне врага.
str_s1_joined_battle_friend|{s1} присоединяется к битве на вашей стороне.
str_entrance_to_town_forbidden|Стража выслеживает нарушителей спокойствия, и вам не удастся проскользнуть мимо них.
