ip_morale|Моральное состояние
ip_morale_text|Моральное состояние - это готовность членов отряда переносить трудности, подчиняться требованиям дисциплины, проявлять мужество на поле боя и умение держать себя в форме. Это не то же самое, что «бодрость» или «удовлетворенность» отряда. Элитные воины вполне могут сетовать на тяготы походной жизни, но при этом как один вступать в бой по первому приказу. Если же стараться выполнять все пожелания подчиненных, то можно избаловать их, ослабить мораль и понизить боеготовность отряда, в результате чего он разбежится при виде врага.^^Моральное состояние - это основной фактор, определяющий поведение войск в сражении, их агрессивность и их готовность обратиться в бегство, если сражение будет складываться не в их пользу. Моральное состояние также влияет на скорость передвижения отрядов на марше, поскольку воины с меньшей мотивацией будут идти медленнее, не желая утруждать себя сверх меры, и будут чаще останавливаться, поджидая отставших. Кроме того, в отряде с невысокой моралью будет расти количество дезертиров.^^Некоторые факторы, повышающие мораль, понятны интуитивно. Например, командир с высокой репутацией и выигравший ряд сражений внушает уверенность и своим подчиненным. Предводители, которые снабжают своих солдат разнообразным питанием и вовремя выплачивают им жалование, демонстрируют готовность заботиться о нуждах воинов и стремление честно выполнять свои обязанности.^^Другие факторы не столь очевидны, особенно связь морали со сплоченностью. Например, в маленьких отрядах все хорошо знают друг друга и не хотят показать себя трусами перед лицом товарищей. В больших отрядах, напротив, сплоченность ниже, и командиры уделяют меньше внимания отдельным воинам, не столь охотно выслушивают их жалобы и реже разрешают их споры. Частые сражения укрепляют связи между воинами, тогда как длительные периоды бездействия заставляют их скучать и провоцирую ссоры.^^Нажав на кнопку «Отчеты», вы можете просмотреть данные о моральном состоянии вашего отряда и узнать, какие факторы на него влияют.
ip_economy|Экономика
ip_economy_text|Населению городов и деревень Кальрадии для повседневной жизни требуются самые разнообразные товары. Прежде всего, это пища. Основной пищевой продукт в Кальрадии - зерно, но кроме него людям нужны жиры и белки в виде мяса, рыбы и сыра. Для того чтобы сохранить мясо, требуется почти столько же усилий, сколько и для его производства, так что соль также ценится весьма высоко. После пищи идет одежда: плотная шерсть, более легкий лен и роскошный бархат. И, наконец, людям нужны инструменты и снаряжение: скобяные товары, гончарные и шорные изделия и, конечно же, оружие, доспехи и боевые лошади.^^Основная часть сельскохозяйственной продукции производится в деревнях, тогда как городские мастера специализируются на производстве инструментов или таких товаров, как ткань или изделия из железа. Кроме этого в разных частях страны встречаются разные ресурсы. Отсюда следует, что основа процветания Кальрадии - это торговля, как между деревней и городом, так и между крупными городами.^^Когда налажены торговые связи, товары становятся доступными, население центральных районов живет в достатке и довольстве, а из соседних регионов прибывают переселенцы. Центр больше производит, больше потребляет и отдает больше налогов своим повелителям. Когда же торговля приходит в упадок, население деревень и городов уезжает на заработки в другие места, а экономическая активность падает до нуля. Так что правители заинтересованы в том, чтобы охранять торговые пути от разбойников и военных действий. Но расчетливого торговца зачастую привлекают отдельные изолированные поселения, поскольку он может получить неплохой доход, воспользовавшись повышенным спросом и разницей в ценах.^^Поскольку деревенские жители обычно продают свои товары в городах, деревенские рынки довольно немноголюдны, здесь задешево покупают и задорого продают. Серьезные купцы отправляются за прибылью в город, хотя некоторые отряды сочтут полезным остановиться в деревне, чтобы приобрести необходимые товары.^^Если игрок захочет узнать о том, какие факторы оказывают влияние на благосостояние города, ему нужно поговорить с цеховым мастером этого города. Другие сведения можно узнать у прохожих, хотя они не всегда знают то, что не касается их непосредственной сферы деятельности.
ip_courtship|Ухаживание
ip_courtship_text|Игроки могут породниться с каким-нибудь влиятельным семейством Кальрадии. Для достижения власти и высокого положения в обществе брак вовсе не обязателен, хотя это прекрасная возможность улучшить свои отношения с лордами и выдвинуть притязания на трон.^^Требования для вступления в брак для персонажей разного пола различны. Мужскому персонажу, как правило, придется пройти через традиционный ритуал сватовства. Он должен заслужить себе репутацию в благородных кругах Кальрадии, установить хорошие отношения с родителями или попечителями невесты, а затем ухаживать за дамой согласно местным обычаям. Если вам это надоест, вы можете попытаться ускорить процесс - но обычно в ущерб репутации среди других лордов.^^Не забывайте о том, что руки вашей избранницы могут добиваться и другие благородные женихи государства. Кроме того, вкусы дамы непредсказуемы, и вполне может оказаться и так, что избранница не ответит вам взаимностью. Романтика в Кальрадии, как и везде, не обязательно означает прямой путь к успеху. Конечно, вы можете прибегнуть к менее благородным способам завоевания сердца дамы, но, опять-таки, это будет иметь серьезные последствия для вашей репутации.^^Чтобы ступить на путь ухаживания, вам для начала придется принять участие в социальной жизни кальрадийской аристократии, то есть посещать праздники и турниры. Странствующие трубадуры и поэты также могут служить ценным источником сведений об ухаживании, а заодно и пересказывать последние слухи.^^Женские персонажи могут выходить замуж, но следует иметь в виду, что кальрадийское общество чрезвычайно консервативно, а потому к искательницам приключений здесь относятся не столь благосклонно. Женскому персонажу придется подыскивать себе лорда довольно широких взглядов, готового взять в жены необычную даму.^^С другой стороны, женскому персонажу не нужно следовать традиционному ритуалу ухаживания, да и из самого брака женщина может извлечь гораздо больше выгоды. Для искательницы приключений брак может стать самым быстрым путем к власти, ведь она может при помощи мужа осуществлять свои политические амбиции.
ip_politics|Политика
ip_politics_text|Несмотря на то, что государства Кальрадии различаются по своей культуре, в их основе лежит одна и та же политическая система: феодализм. Феодализм - это, прежде всего, особые отношения между отдельными людьми: вассалы дают клятву верности своему сюзерену. В обмен на эту клятву вассалы обычно получают надел, то есть земельный участок, на доход от которого собирают войска, чтобы поддержать сюзерена во время войны. Сюзерен также обязан защищать своих вассалов и обращаться с ними по справедливости.^^Впрочем, такова теория. На практике же вассалы не всегда действуют в интересах своей фракции, особенно, если ссорятся между собой, что бывает довольно часто. У каждого из них свой характер, и иногда это приводит к конфликтам. Или же, например, былые друзья могут стать врагами, не поделив добычу или посватавшись к одной и той же даме. Особенно остро соперничество ощущается, когда представители знатного сословия стремятся выслужиться перед королем - например, желая получить только что завоеванные земли или должность маршала, который руководит всеми военными кампаниями.^^Когда государства Кальрадии воюют между собой, то успех часто зависит не только от количества и опыта солдат с той или иной стороны, но и от сплоченности военачальников. В сплоченном государстве представители знати выступают против врага единым фронтом. В государстве, раздираемом мелкими склоками, лорды нехотя отвечают на призыв маршала или пытаются уклониться от своих обязанностей, если кампания проходит не очень удачно. Политическая сплоченность фракции влияет и на военные действия вне кампаний. В разобщенном государстве лорды не так охотно объединяются для набегов и патрулей, и не спешат прийти друг к другу на помощь.^^Если вам кажется, что лорды действуют только себе во вред, ссорясь между собой, когда на горизонте видны вражеские войска, не забывайте о том, что главная цель каждого землевладельца - его личная выгода и благосостояние и семьи, а не благосостояние государства. Если землевладелец видит, что государство трещит по швам, или если его сюзерен не обращает внимания на его требования, то он обычно отказывается от клятвы верности и переходит на другую сторону. Игроки могут воспользоваться недовольством своих врагов, превратив их в своих союзников.
ip_character_backgrounds|Биография персонажа
ip_character_backgrounds_text|Игрок может выбрать персонажа самого разного социального происхождения. От биографии персонажа зависят не только его умения и его снаряжение в начале карьеры, но и общий ход событий в жизни искателя приключений.^^Войной и политикой в Кальрадии традиционно занимаются мужчины-аристократы. Соответственно игрок, выбравший в качестве своего персонажа мужчину благородного происхождения, может почувствовать, что многое ему дается сравнительно легко, тогда как игрокам, выбравшим женщину или простолюдина, приходится преодолевать дополнительные препятствия. Игру за мужского персонажа благородного происхождения можно даже в определенной степени назвать «легким уровнем сложности» в начале игры. Начинать игру за благородную женщину или мужчину-простолюдина покажется не так легко, а играть за женщину-простолюдинку - сложнее всего.^^Однако свои преимущества есть и у женских персонажей. Женщина привлекает к себе внимание уже просто взяв в руки оружие, и поэтому заслужить репутацию ей легче, чем мужчине. Кроме того, женщинам традиционно легче взбираться по социальной лестнице, и получают они от стратегического союза больше, чем их коллеги-мужчины.^^И, наконец, не забывайте о том, что в игре нет ограничений по социальному уровню, которого могут добиться персонажи разного происхождения. Дворянин или простолюдин, мужчина или женщина, состоящий в браке или нет - все могут стать правителями Кальрадии, если проявят достаточно смекалки, продемонстрируют доблесть, или им просто повезет.
ip_military_campaigns|Военные кампании
