pt_none|Нет
pt_rescued_prisoners|Спасенные пленники
pt_enemy|Враг
pt_hero_party|Отряд героя
pt_village_defenders|Защитники деревни
pt_cattle_herd|Стадо скота
pt_looters|Грабители
pt_manhunters|Охотники за головами
pt_steppe_bandits|Степные разбойники
pt_taiga_bandits|Таежные разбойники
pt_desert_bandits|Пустынные разбойники
pt_forest_bandits|Лесные разбойники
pt_mountain_bandits|Горные разбойники
pt_sea_raiders|Морские налетчики
pt_deserters|Дезертиры
pt_merchant_caravan|Торговый караван
pt_troublesome_bandits|Назойливые бандиты
pt_bandits_awaiting_ransom|Похитители
pt_kidnapped_girl|Похищенная девушка
pt_village_farmers|Крестьяне
pt_spy_partners|Обычные путешественники
pt_runaway_serfs|Беглые рабы
pt_spy|Обычный горожанин
pt_sacrificed_messenger|Подставной посыльный
pt_forager_party|Отряд фуражиров
pt_scout_party|Разведчики
pt_patrol_party|Патруль
pt_messenger_party|Посыльный
pt_raider_party|Налетчики
pt_raider_captives|Пленные налетчики
pt_kingdom_caravan_party|Караван
pt_prisoner_train_party|Обоз заключенных
pt_default_prisoners|Упущенные пленники
pt_routed_warriors|Обращенный в бегство враг
pt_center_reinforcements|Подкрепления
pt_kingdom_hero_party|Военный отряд
pt_steppe_bandit_lair|Убежище степных разбойников
pt_taiga_bandit_lair|Убежище таежных разбойников
pt_desert_bandit_lair|Убежище пустынных разбойников
pt_forest_bandit_lair|Убежище лесных разбойников
pt_mountain_bandit_lair|Убежище горных разбойников
pt_sea_raider_lair|Убежище морских налетчиков
pt_looter_lair|Убежище похитителей
pt_leaded_looters|Шайка грабителей
