qstr_thawb1_belt1|thawb1 belt1
qstr_banner_ria1|banner ria1
qstr_Next_Page|Следующая страница
qstr_Game_Rules:^|Правила:^
qstr_0|0
qstr_Lv._{reg0}|Lv. {reg0}
qstr_Show_game_rules|Показать правила
qstr_Choose_name_for_your|Choose name for your faction:
qstr_Continue...|Продолжить...
qstr_Candidate_#1:_{s1}|Кандидат №1: {s1}
qstr_Candidate_#2:_{s1}|Кандидат №2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} ({s4}) желает выбрать нового маршала и приглашает его вассалов для совещания. {s1} и {s2} - вероятные кандидаты.
qstr_Who_do_you_wish_to_s|Кого вы желаете поддержать?
qstr_{s1}_gives_his_suppo|{s1} поддерживает {s2}.
qstr_Number_of_Supporters|Количество поддерживающих: {reg0}
qstr_{s2}_has_heard_his_v|{s2} услышал своих вассалов. Им выбран {s1} в качестве маршала {s3}.
qstr_Action|Действия
qstr_Mount|Сесть верхом
qstr_Attack_Type|Тип атаки
qstr_Retreat|Retreat
qstr_Charge|В атаку
qstr_Follow_Me|За мной
qstr_Form_Square|Form Square
qstr_Spread_Out|Рассыпаться
qstr_Stand_Closer|Сдвинуться
qstr_Fall_Back|Отступить
qstr_Advance|Продвинуться
qstr_Dismount|Спешиться
qstr_Fire_At_Will|Стрелять по готовности
qstr_Hold_Your_Fire|Не стрелять
qstr_Use_Ranged_Weapons|Use Ranged Weapons
qstr_Use_Melee_Weapons|Use Melee Weapons
qstr_Ready|В бою
qstr_Wounded|Ранено
qstr_Dead|Убито
qstr_Cannot_form_square:_|Cannot form square: too many companies selected.
qstr_Cannot_form_square:_w|Cannot form square: wrong company types (only line infantry and guard inantry can form square).
qstr_Number_of_men_knocke|Количество сбитых: {reg1}
qstr_Number_of_men_left:_|Количество оставшихся: {reg1}
qstr_Opponents_Beaten:_{r|Выведено из строя противников: {reg1}
qstr_Opponents_Remaining:|Противников в строю: {reg1}
qstr_Remain_in_retirement|В отставку.
qstr_Go_back_to_the_adven|На поиски приключений.
qstr_You_have_retired_at_|Вы ушли в отставку на уровне {reg4} после {reg5}-ти дневных путешествий.
qstr_Effect_on_Score|Влияние на счет
qstr_Settlements_owned_by|Вы владеете поселениями: {reg0}
qstr_Friendly_Settlements|Дружественные поселения: {reg0}
qstr_Hostile_Settlements:|Враждебные поселения: {reg0}
qstr_Friendly_Lords:_{reg|Дружественные лорды: {reg0}
qstr_Enemy_Lords:_{reg0}|Вражеские лорды: {reg0}
qstr_Victories:_{reg0}|Победы: {reg0}
qstr_Defeats:_{reg0}|Поражения: {reg0}
qstr_Quests_Completed:_{r|Выполненные квесты: {reg0}
qstr_Companions_Found:_{r|Привлеченные компаньоны: {reg0}
qstr_Companions_Lost/Depa|Потерянные/ушедшие компаньоны: {reg0}
qstr_Wealth:_{reg0}_pound|Wealth: {reg0} pounds
qstr_Inventory:_{reg0}_po|Inventory: {reg0} pounds
qstr_Renown:_{reg0}|Известность: {reg0}
qstr_Experience:_{reg0}|Опыт: {reg0}
qstr_Days_Passed:_{reg0}|Прошло дней: {reg0}
qstr_Difficulty:_{reg0}%|Сложность: {reg0}%
qstr_TOTAL_SCORE:_{reg0}|Общий счет: {reg0}
qstr_None|Нет
qstr_Deployment_Plan|Deployment Plan
qstr_You_have_{reg1}_comb|You have {reg1} combatants available.
qstr_Combatant|Combatant
qstr_at_start/in_party|at start/in party
qstr_/{reg1}|/{reg1}
qstr_{reg0}|{reg0}
qstr_of_{reg0}_combatants|of {reg0} combatants
qstr_Done|Done
qstr_All_to_max|All to max
