trp_multiplayer_profile_troop_male|сетевая профиль войско мужчина
trp_multiplayer_profile_troop_male_pl|сетевая профиль войска мужчина
trp_multiplayer_profile_troop_female|сетевая профиль войско женщина
trp_multiplayer_profile_troop_female_pl|сетевая профиль войска женщина
trp_temp_troop|Временное войско
trp_temp_troop_pl|Временные войска
trp_find_item_cheat|чит поиска предмета
trp_find_item_cheat_pl|чит поиска предметов
trp_random_town_sequence|Случайное событие в городе
trp_random_town_sequence_pl|Случайные события в городе
trp_tournament_participants|Участники состязаний
trp_tournament_participants_pl|Участники состязаний
trp_tutorial_maceman|Боец с булавой
trp_tutorial_maceman_pl|Бойцов с булавами
trp_tutorial_archer|
trp_tutorial_archer_pl|Лучников
trp_tutorial_swordsman|Мечник
trp_tutorial_swordsman_pl|Мечников
trp_novice_fighter|Начинающий воин
trp_novice_fighter_pl|Начинающих воинов
trp_regular_fighter|Регулярный воин
trp_regular_fighter_pl|Регулярных воинов
trp_veteran_fighter|Воин-ветеран
trp_veteran_fighter_pl|Воинов-ветеранов
trp_champion_fighter|Воин-чемпион
trp_champion_fighter_pl|Воинов-чемпионов
trp_arena_training_fighter_1|Начинающий воин
trp_arena_training_fighter_1_pl|Начинающих воинов
trp_arena_training_fighter_2|Начинающий воин
trp_arena_training_fighter_2_pl|Начинающих воинов
trp_arena_training_fighter_3|Регулярный воин
trp_arena_training_fighter_3_pl|Регулярных воинов
trp_arena_training_fighter_4|Регулярный воин
trp_arena_training_fighter_4_pl|Регулярных воинов
trp_arena_training_fighter_5|Регулярный воин
trp_arena_training_fighter_5_pl|Регулярных воинов
trp_arena_training_fighter_6|Воин-ветеран
trp_arena_training_fighter_6_pl|Воинов-ветеранов
trp_arena_training_fighter_7|Воин-ветеран
trp_arena_training_fighter_7_pl|Воинов-ветеранов
trp_arena_training_fighter_8|Воин-ветеран
trp_arena_training_fighter_8_pl|Воинов-ветеранов
trp_arena_training_fighter_9|Воин-чемпион
trp_arena_training_fighter_9_pl|Воинов-чемпионов
trp_arena_training_fighter_10|Воин-чемпион
trp_arena_training_fighter_10_pl|Воинов-чемпионов
trp_cattle|Скот
trp_cattle_pl|Скот
trp_farmer|Крестьянин
trp_farmer_pl|Крестьян
trp_townsman|Горожанин
trp_townsman_pl|Горожан
trp_watchman|Караульный
trp_watchman_pl|Караульных
trp_caravan_guard|Охранник каравана
trp_caravan_guard_pl|Охранников каравана
trp_mercenary_swordsman|Наемный мечник
trp_mercenary_swordsman_pl|Наемных мечников
trp_hired_blade|Наемный воин
trp_hired_blade_pl|Наемных воинов
trp_mercenary_crossbowman|Наемный арбалетчик
trp_mercenary_crossbowman_pl|Наемных арбалетчиков
trp_mercenary_horseman|Наемный всадник
trp_mercenary_horseman_pl|Наемных всадников
trp_mercenary_cavalry|Наемный конный воин
trp_mercenary_cavalry_pl|Наемных конных воинов
trp_mercenaries_end|mercenaries end
trp_mercenaries_end_pl|mercenaries end
trp_swadian_recruit|Свадийский новобранец
trp_swadian_recruit_pl|Свадийских новобранцев
trp_swadian_militia|Свадийский ополченец
trp_swadian_militia_pl|Свадийских ополченцев
trp_swadian_footman|Свадийский пехотинец
trp_swadian_footman_pl|Свадийских пехотинцев
trp_swadian_infantry|
trp_swadian_infantry_pl|Свадийских воинов
trp_swadian_sergeant|Свадийский сержант
trp_swadian_sergeant_pl|Свадийских сержантов
trp_swadian_skirmisher|Свадийский застрельщик
trp_swadian_skirmisher_pl|Свадийских застрельщиков
trp_swadian_crossbowman|Свадийский арбалетчик
trp_swadian_crossbowman_pl|Свадийских арбалетчиков
trp_swadian_sharpshooter|Свад. меткий арбалетчик
