fac_no_faction|Bağlılık yok
fac_commoners|Avam
fac_outlaws|Kanunsuzlar
fac_neutral|Tarafsızlar
fac_innocents|Masumlar
fac_merchants|Tüccarlar
fac_culture_1|Troop
fac_culture_2|Troop
fac_culture_3|Troop
fac_culture_4|Troop
fac_culture_5|Troop
fac_culture_6|Troop
fac_culture_7|Troop
fac_culture_8|Troop
fac_culture_9|Troop
fac_culture_10|Troop
fac_culture_11|Field Gun Crew Officer
fac_culture_12|Howitzer Crew Officer
fac_culture_13|Heavy Howitzer Crew Officer
fac_culture_14|Field Crew Cannoneer
fac_culture_15|Howitzer Crew Cannoneer
fac_culture_16|MG Operator
fac_culture_17|Field Crew Cannoneer
fac_culture_18|MG Operator
fac_player_faction|Oyuncu
fac_player_supporters_faction|Senin Destekçilerin
fac_kingdom_1|Svadya Krallığı
fac_kingdom_2|Vaegir Krallığı
fac_kingdom_3|Kergit Hanlığı
fac_kingdom_4|Nord Krallığı
fac_kingdom_5|Rodok Krallığı
fac_kingdom_6|Sarranid Sultanlığı
fac_kingdom_7|British Empire
fac_kingdom_8|Kingdom of Netherlands
fac_kingdom_9|Spanish Empire
fac_kingdom_10|Emirate of Tunisia
fac_kingdom_11|Kingdom of Two Sicilies
fac_kingdom_12|Shahdom of Persia
fac_kingdom_13|Switzerland
fac_kingdom_14|Khedivate of Egypt
fac_kingdom_15|Sultanate of Morocco
fac_kingdom_16|Kingdom of Portugal
fac_kingdom_17|Sultanate of Oman
fac_kingdom_18|Kingdom of Denmark
fac_kingdom_19|Papal States
fac_kingdom_20|British Colonies
fac_kingdom_21|Emirate of Afghanistan
fac_kingdom_22|Emirate of Bukhara
fac_kingdom_23|Khanate of Khiva
fac_kingdom_24|Kingdom of Greece
fac_kingdom_25|Romanian Principalities
fac_kingdom_26|Kingdom of Belgium
fac_kingdom_27|Kingdom of Wurttemberg
fac_kingdom_28|Principality of Serbia
fac_kingdom_29|Kingdom of Sweden
fac_kingdom_30|Kingdom of Bavaria
fac_kingdom_31|Kingdom of Hannover
fac_kingdom_32|Emirate of Shammar
fac_kingdom_33|Emirate of Najd
fac_kingdom_usa|United States of America
fac_kingdom_china|Qing Empire
fac_manhunters|Kelle Avcıları
fac_deserters|Firariler
fac_mountain_bandits|Dağ Haydutları
fac_forest_bandits|Orman Haydutları
fac_ccoop_all_stars|All Stars
